Source,Target,Weight
"32","2",7
"32","5",13
"32","8",4
"32","10",5
"32","11",8
"32","16",1
"32","25",9
"32","28",4
"32","34",4
"32","77",5
"32","21",3
"32","76",7
"32","92",1
"32","17",7
"32","18",3
"32","20",4
"32","22",6
"32","9",2
"32","13",4
"32","23",3
"32","19",1
"2","32",6
"2","5",15
"2","10",19
"2","11",10
"2","16",21
"2","25",7
"2","28",17
"2","34",12
"2","21",1
"2","76",2
"2","92",2
"2","1",1
"2","13",1
"2","18",18
"2","23",10
"2","9",3
"2","22",10
"2","7",4
"2","17",6
"2","15",1
"5","32",9
"5","2",20
"5","8",2
"5","10",8
"5","11",4
"5","16",6
"5","25",13
"5","28",12
"5","34",10
"5","77",7
"5","21",20
"5","76",5
"5","92",8
"5","1",4
"5","13",3
"5","18",27
"5","23",4
"5","22",2
"5","20",3
"5","17",9
"5","4",8
"8","2",1
"8","10",5
"8","11",3
"8","16",2
"8","25",3
"8","28",5
"8","34",8
"8","77",9
"8","21",3
"8","76",2
"8","92",13
"8","17",1
"8","18",2
"8","20",1
"8","22",2
"8","9",1
"10","32",2
"10","2",13
"10","5",4
"10","8",4
"10","11",5
"10","16",4
"10","25",2
"10","28",15
"10","34",12
"10","77",3
"10","21",2
"10","92",16
"10","17",14
"10","18",18
"10","20",16
"10","22",8
"10","9",1
"10","7",4
"10","13",4
"10","15",6
"10","23",8
"10","4",6
"10","19",4
"11","5",1
"11","8",1
"11","10",8
"11","16",2
"11","28",5
"11","34",3
"11","21",1
"11","92",4
"11","17",2
"11","18",1
"11","20",1
"11","22",2
"11","13",1
"11","23",3
"11","4",3
"16","2",14
"16","5",1
"16","8",1
"16","10",8
"16","11",1
"16","25",1
"16","28",4
"16","34",2
"16","77",3
"16","76",1
"16","92",1
"16","13",2
"16","17",3
"16","22",7
"16","23",7
"16","7",1
"16","18",2
"16","19",1
"16","20",3
"25","32",11
"25","2",4
"25","5",28
"25","8",4
"25","10",1
"25","11",3
"25","16",2
"25","28",6
"25","34",18
"25","77",9
"25","21",11
"25","92",8
"25","17",6
"25","18",10
"25","20",2
"25","22",5
"25","1",4
"25","13",3
"25","23",3
"25","9",2
"28","32",1
"28","2",8
"28","5",5
"28","8",10
"28","10",14
"28","11",4
"28","16",3
"28","25",1
"28","34",8
"28","77",3
"28","21",3
"28","92",8
"28","17",8
"28","18",15
"28","20",2
"28","22",19
"28","1",1
"28","13",8
"28","23",4
"28","9",4
"28","7",5
"28","15",5
"34","32",5
"34","2",11
"34","5",6
"34","8",12
"34","10",9
"34","11",3
"34","16",1
"34","25",16
"34","28",8
"34","77",11
"34","21",14
"34","76",5
"34","92",10
"34","17",4
"34","18",17
"34","20",6
"34","22",9
"34","9",9
"34","7",2
"77","32",2
"77","8",11
"77","10",7
"77","11",4
"77","16",1
"77","25",9
"77","28",3
"77","34",9
"77","21",1
"77","76",2
"77","92",9
"77","17",1
"77","18",6
"77","20",1
"77","22",1
"21","32",3
"21","2",4
"21","5",7
"21","8",3
"21","10",7
"21","11",1
"21","25",11
"21","28",1
"21","34",17
"21","77",1
"21","76",3
"21","92",22
"21","1",1
"21","13",7
"21","18",17
"21","23",6
"21","9",7
"21","22",7
"21","20",1
"21","7",5
"21","17",2
"21","4",6
"21","19",2
"76","32",1
"76","2",1
"76","5",6
"76","8",6
"76","10",2
"76","34",5
"76","77",1
"76","21",5
"76","92",3
"76","18",6
"76","22",2
"76","9",1
"92","2",1
"92","5",2
"92","8",5
"92","10",10
"92","11",5
"92","25",3
"92","28",7
"92","34",10
"92","77",8
"92","21",22
"92","76",1
"92","17",3
"92","18",12
"92","20",4
"92","22",5
"92","13",2
"92","23",4
"92","9",2
"92","7",5
"92","4",4
"92","19",2
"17","32",5
"17","10",8
"17","18",21
"17","20",17
"17","22",4
"17","25",3
"17","28",3
"17","34",4
"17","77",2
"17","92",5
"17","76",1
"17","2",16
"17","5",6
"17","21",3
"17","13",12
"17","15",1
"17","16",6
"17","23",11
"17","7",2
"17","4",2
"17","19",2
"18","32",1
"18","10",26
"18","17",9
"18","20",18
"18","22",18
"18","25",21
"18","28",15
"18","34",16
"18","77",1
"18","92",17
"18","8",3
"18","11",4
"18","76",3
"18","2",29
"18","5",13
"18","13",3
"18","21",8
"18","23",5
"18","9",4
"18","7",5
"18","4",7
"18","19",5
"20","10",12
"20","17",21
"20","18",15
"20","22",1
"20","25",2
"20","28",1
"20","34",2
"20","77",1
"20","92",4
"20","11",2
"20","5",2
"20","9",1
"20","21",1
"20","7",1
"20","4",1
"20","23",4
"20","19",6
"20","16",3
"22","10",16
"22","17",2
"22","18",15
"22","20",2
"22","25",2
"22","28",5
"22","34",3
"22","77",2
"22","92",4
"22","8",3
"22","11",2
"22","2",10
"22","5",3
"22","13",5
"22","21",5
"22","23",2
"22","9",1
"22","7",2
"22","16",1
"22","4",2
"1","5",9
"1","13",5
"1","18",2
"1","21",3
"1","23",1
"1","25",4
"1","92",2
"13","1",3
"13","2",7
"13","5",1
"13","11",2
"13","18",4
"13","21",2
"13","23",12
"13","25",2
"13","28",17
"13","92",4
"13","22",1
"13","32",5
"13","10",10
"13","15",6
"13","16",2
"13","17",7
"13","7",1
"23","1",1
"23","2",5
"23","5",9
"23","11",2
"23","13",15
"23","18",7
"23","21",7
"23","25",2
"23","28",8
"23","92",9
"23","22",5
"23","32",1
"23","10",16
"23","15",4
"23","16",7
"23","17",12
"23","4",7
"23","20",5
"23","19",4
"9","2",2
"9","18",2
"9","21",2
"9","28",3
"9","92",1
"9","22",2
"9","20",1
"9","34",2
"7","5",3
"7","18",5
"7","20",1
"7","21",4
"7","22",4
"7","28",1
"7","92",2
"7","2",2
"7","10",3
"7","11",1
"7","13",1
"7","16",1
"7","17",1
"7","23",1
"15","10",2
"15","11",2
"15","13",2
"15","16",2
"15","22",4
"15","23",2
"15","28",5
"4","32",1
"4","5",7
"4","10",1
"4","11",1
"4","17",4
"4","18",7
"4","20",1
"4","21",4
"4","23",6
"4","92",7
"4","12",1
"4","19",1
"4","16",1
"4","7",1
"4","22",3
"19","10",3
"19","18",3
"19","21",1
"19","92",1
"19","16",1
