Source,Target,Weight
"32","2",7
"32","11",4
"32","12",1
"32","21",2
"32","23",2
"32","29",8
"32","77",2
"32","99",3
"32","10",3
"32","70",1
"32","84",5
"32","7",1
"32","3",1
"2","32",8
"2","11",1
"2","12",8
"2","17",4
"2","21",4
"2","23",10
"2","29",13
"2","77",14
"2","99",3
"2","10",4
"2","70",1
"11","2",1
"11","12",3
"11","20",1
"11","21",6
"11","23",2
"11","29",2
"11","77",3
"11","99",4
"11","10",2
"11","7",1
"12","32",2
"12","2",11
"12","11",5
"12","17",1
"12","20",1
"12","21",3
"12","23",5
"12","29",10
"12","77",5
"12","99",9
"12","10",3
"12","70",1
"12","84",2
"12","7",1
"17","2",1
"17","12",1
"17","20",2
"17","23",5
"17","29",2
"17","99",1
"17","10",1
"20","2",1
"20","11",2
"20","12",4
"20","21",1
"20","23",1
"20","29",1
"20","77",1
"20","99",1
"21","32",1
"21","2",2
"21","11",5
"21","12",4
"21","17",3
"21","20",4
"21","23",2
"21","29",7
"21","77",2
"21","99",3
"21","10",5
"21","70",4
"21","84",1
"21","7",1
"23","32",1
"23","2",20
"23","11",5
"23","12",8
"23","17",4
"23","20",3
"23","21",3
"23","29",1
"23","77",6
"23","99",1
"23","10",5
"23","70",1
"23","3",1
"29","32",15
"29","2",10
"29","11",2
"29","12",6
"29","17",1
"29","21",11
"29","23",2
"29","77",6
"29","99",3
"29","10",2
"29","3",1
"77","32",3
"77","2",6
"77","11",8
"77","12",10
"77","17",1
"77","21",3
"77","23",3
"77","29",8
"77","99",2
"77","10",3
"77","70",3
"77","3",1
"99","2",1
"99","11",6
"99","12",2
"99","17",2
"99","20",2
"99","23",2
"99","10",5
"99","70",3
"99","84",2
"10","32",1
"10","2",1
"10","11",3
"10","12",6
"10","21",3
"10","23",3
"10","29",2
"10","77",5
"10","99",9
"10","70",5
"10","7",3
"70","2",2
"70","12",2
"70","21",4
"70","23",1
"70","29",1
"70","77",3
"70","99",3
"70","10",3
"84","12",2
"84","77",1
"84","10",4
"7","10",1
"7","11",1
"7","12",1
"7","21",2
"7","23",3
"7","99",2
"3","12",1
"3","21",1
"3","99",1
"3","70",1
