Source,Target,Weight
"1208","421",3
"1208","1532",5
"1208","414",8
"1208","1187",2
"1208","1186",1
"1208","1248",1
"1208","1210",1
"1208","1190",2
"1208","1533",3
"1208","1536",1
"1208","1594",1
"1208","1595",1
"1208","1188",1
"1208","1189",1
"421","1208",3
"421","1532",13
"421","414",7
"421","1187",1
"421","1186",1
"421","1248",5
"421","1210",4
"421","1211",8
"421","1190",4
"421","1533",2
"421","1535",3
"421","1536",3
"421","1569",3
"421","1594",1
"421","1595",1
"421","1188",1
"421","1189",2
"1532","1208",5
"1532","421",13
"1532","414",18
"1532","1187",2
"1532","1248",3
"1532","1210",2
"1532","1211",3
"1532","1190",5
"1532","1533",6
"1532","1535",2
"1532","1536",3
"1532","1569",1
"1532","1594",2
"1532","1595",2
"1532","1652",1
"414","1208",4
"414","421",4
"414","1532",19
"414","1187",9
"414","1186",1
"414","1248",3
"414","1210",2
"414","1211",3
"414","1190",5
"414","1533",9
"414","1534",1
"414","1535",1
"414","1536",2
"414","1569",3
"414","1594",2
"414","1595",1
"1187","1208",2
"1187","421",1
"1187","1532",2
"1187","414",5
"1187","1186",2
"1187","1248",1
"1187","1210",5
"1187","1211",3
"1187","1190",4
"1187","1533",4
"1187","1534",1
"1187","1535",1
"1187","1536",2
"1187","1569",1
"1187","1188",1
"1186","421",1
"1186","1532",1
"1186","414",1
"1186","1187",1
"1186","1248",2
"1186","1210",2
"1186","1211",1
"1186","1190",2
"1186","1533",1
"1186","1536",1
"1186","1569",1
"1248","1208",1
"1248","421",7
"1248","1532",2
"1248","414",1
"1248","1187",2
"1248","1186",2
"1248","1210",2
"1248","1211",5
"1248","1190",5
"1248","1533",3
"1248","1535",3
"1248","1536",2
"1248","1569",2
"1248","1594",1
"1248","1595",1
"1248","1188",1
"1248","1189",2
"1210","421",4
"1210","1532",1
"1210","414",2
"1210","1187",4
"1210","1186",1
"1210","1248",3
"1210","1211",5
"1210","1190",6
"1210","1533",3
"1210","1534",1
"1210","1535",1
"1210","1536",3
"1210","1569",4
"1210","1595",2
"1210","1188",2
"1210","1189",1
"1211","421",7
"1211","1532",3
"1211","414",1
"1211","1187",3
"1211","1186",2
"1211","1248",6
"1211","1210",4
"1211","1190",3
"1211","1533",3
"1211","1536",2
"1211","1569",2
"1211","1594",1
"1211","1595",3
"1211","1188",1
"1211","1189",1
"1190","1208",1
"1190","421",7
"1190","1532",6
"1190","414",4
"1190","1187",5
"1190","1186",1
"1190","1248",4
"1190","1210",7
"1190","1211",4
"1190","1533",4
"1190","1535",1
"1190","1536",2
"1190","1569",4
"1190","1594",2
"1190","1595",2
"1190","1188",1
"1190","1189",1
"1190","1652",1
"1533","1208",1
"1533","421",2
"1533","1532",5
"1533","414",8
"1533","1187",4
"1533","1186",2
"1533","1248",3
"1533","1210",5
"1533","1211",3
"1533","1190",4
"1533","1535",1
"1533","1536",2
"1533","1569",5
"1533","1594",1
"1533","1595",1
"1533","1189",1
"1533","1188",2
"1534","414",1
"1534","1248",1
"1534","1210",1
"1535","1208",1
"1535","421",2
"1535","1532",1
"1535","414",1
"1535","1187",1
"1535","1186",1
"1535","1248",2
"1535","1190",1
"1535","1595",1
"1536","1208",1
"1536","421",3
"1536","1532",2
"1536","414",3
"1536","1187",2
"1536","1186",1
"1536","1248",1
"1536","1210",3
"1536","1211",2
"1536","1190",3
"1536","1533",1
"1536","1534",1
"1536","1569",1
"1536","1595",1
"1536","1189",1
"1536","1188",1
"1569","421",2
"1569","1532",1
"1569","414",2
"1569","1187",1
"1569","1186",1
"1569","1248",2
"1569","1210",3
"1569","1211",2
"1569","1190",4
"1569","1533",2
"1569","1535",1
"1569","1536",1
"1569","1594",1
"1569","1595",1
"1569","1652",1
"1594","1208",1
"1594","421",2
"1594","1532",2
"1594","414",1
"1594","1248",1
"1594","1569",2
"1594","1210",1
"1594","1211",1
"1594","1533",1
"1594","1595",1
"1594","1535",1
"1594","1187",1
"1594","1190",1
"1595","421",1
"1595","414",1
"1595","1248",2
"1595","1569",2
"1595","1210",2
"1595","1211",2
"1595","1533",1
"1595","1536",1
"1595","1594",1
"1595","1535",1
"1595","1187",1
"1595","1190",2
"1595","1188",1
"1595","1189",1
"1188","1208",2
"1188","421",1
"1188","1187",1
"1188","1248",1
"1188","1210",3
"1188","1211",1
"1188","1190",1
"1188","1595",1
"1188","1189",4
"1188","1569",2
"1188","1533",2
"1188","1536",1
"1189","1208",1
"1189","421",1
"1189","1248",3
"1189","1569",1
"1189","1210",1
"1189","1595",1
"1189","1211",1
"1189","1188",3
"1189","1190",1
"1189","1533",1
"1189","1536",1
"1652","421",1
"1652","1190",1
