Source,Target,Weight
"1","2",1
"1","6",4
"1","9",3
"1","10",2
"1","13",5
"1","17",2
"1","20",2
"1","21",1
"1","24",5
"1","28",4
"1","7",1
"1","27",1
"2","1",2
"2","6",7
"2","9",8
"2","10",17
"2","13",2
"2","17",2
"2","20",3
"2","21",1
"2","24",6
"2","28",13
"2","7",18
"2","12",3
"2","11",1
"2","27",4
"6","1",6
"6","2",4
"6","9",1
"6","10",5
"6","13",4
"6","17",5
"6","20",3
"6","21",7
"6","24",11
"6","28",13
"6","7",1
"6","3",3
"6","11",2
"6","27",2
"9","2",4
"9","10",9
"9","17",4
"9","20",3
"9","21",2
"9","28",3
"9","7",3
"9","12",1
"9","22",3
"9","3",1
"9","11",1
"9","27",4
"10","2",20
"10","6",7
"10","9",7
"10","13",2
"10","17",8
"10","20",16
"10","21",4
"10","24",8
"10","28",11
"10","7",9
"10","27",5
"13","2",6
"13","6",4
"13","9",1
"13","10",1
"13","20",1
"13","24",3
"13","28",3
"17","2",1
"17","6",1
"17","9",2
"17","10",4
"17","20",4
"17","21",4
"17","28",1
"17","7",1
"17","3",3
"20","1",1
"20","2",4
"20","6",2
"20","9",5
"20","10",11
"20","13",1
"20","17",2
"20","21",2
"20","24",10
"20","28",9
"20","7",1
"20","3",2
"21","1",1
"21","2",1
"21","6",4
"21","9",10
"21","10",3
"21","17",1
"21","20",1
"21","24",1
"21","28",7
"21","7",2
"21","22",2
"21","27",4
"24","1",3
"24","2",10
"24","6",4
"24","9",1
"24","10",19
"24","13",2
"24","20",4
"24","21",1
"24","28",7
"24","7",8
"24","12",1
"24","11",3
"24","27",2
"28","1",2
"28","2",21
"28","6",13
"28","9",5
"28","10",10
"28","13",1
"28","17",4
"28","20",11
"28","21",6
"28","24",6
"28","7",8
"28","12",2
"28","3",2
"28","27",6
"7","2",10
"7","6",1
"7","9",6
"7","10",4
"7","17",1
"7","20",2
"7","24",2
"7","28",6
"7","12",2
"7","11",3
"7","27",3
"12","2",1
"12","9",1
"12","21",1
"12","24",4
"12","7",1
"12","22",1
"22","9",2
"22","21",1
"22","12",2
"3","1",1
"3","2",1
"3","6",2
"3","9",1
"3","17",4
"3","20",1
"3","24",1
"3","28",3
"11","2",1
"11","7",2
"11","9",1
"11","10",1
"11","21",1
"11","27",1
"27","2",1
"27","6",2
"27","7",3
"27","9",5
"27","10",5
"27","17",1
"27","24",1
"27","28",3
"27","11",1
"27","21",7
