Source,Target,Weight
"26","4",2
"26","10",2
"26","13",1
"26","15",2
"26","20",6
"26","23",10
"26","27",2
"26","35",1
"26","44",24
"26","2",11
"26","8",2
"26","24",3
"26","3",1
"26","16",6
"26","35",4
"26","25",1
"4","26",4
"4","7",10
"4","10",23
"4","13",18
"4","15",34
"4","20",41
"4","23",14
"4","27",25
"4","35",21
"4","44",14
"4","2",19
"4","8",18
"4","24",18
"4","28",2
"4","3",15
"4","25",15
"4","35",5
"4","16",20
"4","22",2
"7","4",6
"7","10",4
"7","13",8
"7","15",9
"7","20",3
"7","27",4
"7","2",3
"7","8",1
"7","25",2
"7","35",1
"7","16",7
"7","22",3
"7","6",1
"10","4",26
"10","7",8
"10","13",9
"10","15",24
"10","20",12
"10","23",5
"10","27",13
"10","35",5
"10","44",2
"10","2",4
"10","8",14
"10","24",22
"10","3",5
"10","25",5
"10","16",6
"10","6",1
"13","4",12
"13","7",7
"13","10",15
"13","15",28
"13","20",23
"13","23",1
"13","27",13
"13","35",1
"13","44",13
"13","2",3
"13","8",8
"13","24",5
"13","3",1
"15","26",1
"15","4",52
"15","7",9
"15","10",30
"15","13",26
"15","20",51
"15","23",1
"15","27",23
"15","35",6
"15","44",20
"15","2",13
"15","8",2
"15","24",6
"15","28",1
"15","3",1
"15","25",3
"15","35",8
"15","16",5
"20","26",4
"20","4",56
"20","7",6
"20","10",15
"20","13",29
"20","15",48
"20","23",12
"20","27",18
"20","35",6
"20","44",14
"20","2",15
"20","8",18
"20","24",23
"20","28",3
"20","3",10
"20","25",18
"20","35",2
"20","16",17
"20","22",2
"20","6",1
"23","26",5
"23","4",14
"23","10",3
"23","13",1
"23","15",6
"23","20",27
"23","27",2
"23","35",10
"23","44",12
"23","8",4
"23","24",5
"23","16",13
"23","25",6
"27","4",17
"27","7",6
"27","10",14
"27","13",9
"27","15",19
"27","20",11
"27","23",1
"27","35",4
"27","44",1
"27","8",1
"27","24",4
"27","3",1
"27","25",2
"27","35",3
"27","16",5
"35","26",1
"35","4",17
"35","7",1
"35","10",4
"35","15",6
"35","20",5
"35","23",14
"35","27",3
"35","8",5
"35","24",4
"44","26",20
"44","4",18
"44","7",7
"44","10",6
"44","13",21
"44","15",23
"44","20",21
"44","23",7
"44","27",3
"44","35",1
"44","2",16
"44","8",3
"44","24",15
"44","28",10
"44","25",4
"44","35",3
"44","16",13
"44","22",2
"2","26",11
"2","4",15
"2","7",3
"2","10",8
"2","13",3
"2","15",13
"2","20",18
"2","27",4
"2","35",1
"2","44",13
"2","8",5
"2","24",6
"2","28",7
"2","3",5
"2","25",11
"2","35",2
"2","16",13
"2","22",1
"8","4",19
"8","7",1
"8","10",14
"8","13",5
"8","15",6
"8","20",11
"8","27",2
"8","35",4
"8","44",3
"8","2",4
"8","24",6
"8","16",6
"8","25",7
"24","26",2
"24","4",13
"24","7",3
"24","10",23
"24","13",6
"24","15",10
"24","20",14
"24","23",5
"24","27",9
"24","35",3
"24","44",13
"24","2",3
"24","8",6
"24","28",1
"24","3",2
"24","25",3
"24","35",3
"24","16",13
"24","22",1
"28","2",10
"28","4",1
"28","13",2
"28","20",3
"28","24",3
"28","44",4
"28","25",1
"28","35",1
"28","16",1
"28","22",4
"3","28",1
"3","2",6
"3","4",12
"3","10",4
"3","15",3
"3","20",2
"3","24",8
"3","27",4
"3","44",3
"3","7",4
"3","16",3
"25","28",1
"25","2",11
"25","4",23
"25","10",5
"25","15",1
"25","20",17
"25","24",1
"25","27",12
"25","44",3
"25","7",2
"25","26",1
"25","16",11
"25","8",11
"25","22",1
"25","23",12
"35","28",2
"35","2",1
"35","3",1
"35","10",1
"35","15",4
"35","20",3
"35","24",4
"35","27",3
"35","44",7
"35","7",5
"35","26",1
"35","16",3
"35","8",1
"35","22",1
"16","26",4
"16","2",14
"16","3",5
"16","4",14
"16","7",7
"16","10",11
"16","15",8
"16","27",5
"16","35",4
"16","44",13
"16","8",7
"16","24",18
"16","25",24
"16","28",1
"16","20",20
"16","22",5
"16","23",8
"22","4",3
"22","7",5
"22","20",2
"22","24",2
"22","25",1
"22","35",1
"22","13",1
"6","10",1
"6","25",1
"6","7",1
