Source,Target,Weight
"1","2",4
"1","5",6
"1","8",9
"1","14",1
"1","21",1
"1","23",2
"1","26",9
"1","31",15
"1","20",1
"1","7",1
"1","6",2
"2","1",3
"2","5",16
"2","8",9
"2","11",2
"2","14",6
"2","18",2
"2","21",3
"2","23",4
"2","26",2
"2","7",2
"2","25",4
"5","1",7
"5","2",14
"5","8",25
"5","11",2
"5","14",8
"5","18",4
"5","21",12
"5","23",5
"5","26",54
"5","31",2
"5","20",2
"5","28",1
"5","7",3
"5","25",3
"5","6",1
"8","1",2
"8","2",6
"8","5",21
"8","11",8
"8","14",9
"8","18",4
"8","21",18
"8","23",11
"8","26",17
"8","31",25
"8","16",3
"8","20",6
"8","28",1
"8","7",8
"8","25",6
"8","6",3
"11","2",4
"11","5",1
"11","8",4
"11","14",4
"11","18",5
"11","21",3
"11","23",5
"11","31",2
"11","7",1
"11","6",1
"14","2",11
"14","5",12
"14","8",9
"14","18",1
"14","21",2
"14","23",1
"14","26",5
"14","20",3
"14","28",1
"18","2",1
"18","8",5
"18","11",2
"18","14",1
"18","21",4
"18","23",6
"18","31",4
"18","20",2
"18","7",3
"18","25",2
"18","6",1
"21","2",5
"21","5",8
"21","8",27
"21","11",5
"21","14",4
"21","18",4
"21","23",9
"21","26",4
"21","31",7
"21","20",5
"21","28",2
"21","7",4
"21","25",2
"21","6",1
"23","2",4
"23","5",3
"23","8",8
"23","11",5
"23","14",3
"23","18",6
"23","21",13
"23","26",12
"23","31",16
"23","20",1
"23","28",2
"23","7",1
"23","25",1
"23","6",1
"26","1",5
"26","2",4
"26","5",46
"26","8",12
"26","11",1
"26","14",5
"26","18",1
"26","21",5
"26","23",16
"26","31",52
"26","16",2
"26","20",4
"26","7",3
"26","6",1
"31","1",3
"31","2",2
"31","5",4
"31","8",16
"31","11",6
"31","14",2
"31","18",5
"31","21",17
"31","23",26
"31","26",28
"31","7",2
"31","25",1
"16","5",1
"16","8",1
"16","14",1
"16","26",2
"20","1",1
"20","5",3
"20","8",5
"20","14",1
"20","18",1
"20","21",1
"20","23",2
"20","26",2
"20","7",2
"20","6",1
"28","8",1
"28","14",2
"28","23",1
"7","5",3
"7","8",2
"7","18",3
"7","21",6
"7","23",1
"7","25",2
"7","31",1
"7","6",2
"7","11",6
"7","20",2
"25","2",6
"25","5",3
"25","8",1
"25","18",2
"25","21",5
"25","23",3
"25","26",1
"25","31",1
"6","7",2
"6","8",1
"6","21",1
"6","23",2
"6","26",4
