Source,Target,Weight
"770","536",1
"770","641",3
"770","325",1
"770","733",1
"770","327",1
"770","333",1
"770","567",1
"770","34",1
"770","328",1
"770","1346",1
"770","388",1
"770","323",3
"770","331",1
"770","583",1
"536","641",1
"536","325",1
"536","733",1
"536","327",1
"536","333",2
"536","567",2
"536","34",1
"536","328",1
"536","1346",2
"536","642",2
"536","388",1
"536","323",1
"641","770",1
"641","536",1
"641","325",3
"641","733",2
"641","327",1
"641","333",1
"641","567",2
"641","34",4
"641","328",5
"641","1346",2
"641","784",1
"641","642",1
"641","388",1
"641","323",7
"641","437",2
"641","331",2
"641","583",1
"641","1515",1
"641","1671",1
"641","334",2
"641","332",1
"641","1621",1
"325","770",1
"325","536",1
"325","641",2
"325","733",2
"325","333",4
"325","567",2
"325","34",3
"325","328",3
"325","1346",4
"325","331",3
"325","323",4
"325","437",1
"325","1515",1
"325","1621",2
"733","770",1
"733","536",1
"733","641",1
"733","325",2
"733","327",1
"733","333",3
"733","567",3
"733","34",1
"733","328",3
"733","1346",1
"733","642",1
"733","388",3
"733","323",2
"733","437",2
"733","331",2
"733","583",1
"733","1515",1
"733","326",1
"733","1108",1
"327","536",1
"327","641",1
"327","325",1
"327","733",1
"327","333",1
"327","567",1
"327","34",1
"327","328",2
"327","642",1
"327","437",1
"327","583",1
"327","334",1
"333","770",1
"333","536",1
"333","641",1
"333","325",2
"333","733",2
"333","327",1
"333","567",6
"333","34",3
"333","328",5
"333","1346",4
"333","784",1
"333","642",1
"333","388",1
"333","331",3
"333","323",4
"333","437",1
"333","583",2
"333","1515",3
"333","326",1
"333","1621",2
"333","1022",1
"567","536",1
"567","641",2
"567","325",1
"567","733",2
"567","327",2
"567","333",4
"567","34",2
"567","328",5
"567","1346",1
"567","784",1
"567","642",1
"567","388",1
"567","323",2
"567","437",4
"567","331",3
"567","583",2
"567","1515",2
"567","326",1
"567","1108",1
"567","1621",2
"567","334",1
"567","332",1
"34","770",1
"34","641",3
"34","325",4
"34","733",2
"34","327",1
"34","333",3
"34","567",2
"34","328",5
"34","1346",1
"34","388",3
"34","323",4
"34","437",3
"34","1612",2
"34","331",5
"34","583",1
"34","326",1
"34","1621",1
"34","1022",1
"34","334",1
"34","1515",1
"34","332",1
"328","536",1
"328","641",2
"328","325",2
"328","733",2
"328","327",1
"328","333",3
"328","567",8
"328","34",4
"328","1346",3
"328","642",1
"328","388",2
"328","323",4
"328","437",6
"328","331",4
"328","583",3
"328","1515",2
"328","326",1
"328","1108",1
"328","1621",2
"328","1022",1
"328","1671",1
"328","334",3
"328","332",1
"1346","770",1
"1346","536",2
"1346","641",2
"1346","325",1
"1346","733",2
"1346","333",4
"1346","567",2
"1346","34",1
"1346","328",3
"1346","642",1
"1346","388",2
"1346","323",3
"1346","1612",1
"1346","331",1
"1346","583",1
"1346","326",1
"1346","1108",2
"1346","1621",2
"1346","1022",1
"784","333",1
"784","331",1
"784","1621",1
"784","583",1
"784","1515",1
"642","770",1
"642","536",2
"642","641",1
"642","325",1
"642","733",1
"642","333",1
"642","567",1
"642","34",1
"642","328",1
"642","1346",1
"642","388",1
"642","323",1
"642","437",1
"642","331",1
"642","1515",1
"642","326",1
"642","1108",1
"388","770",1
"388","536",2
"388","641",1
"388","733",3
"388","333",3
"388","567",1
"388","34",3
"388","328",2
"388","1346",2
"388","642",1
"388","323",2
"388","437",1
"388","331",2
"388","1621",1
"323","770",2
"323","536",2
"323","641",7
"323","733",4
"323","437",3
"323","642",1
"323","567",2
"323","34",6
"323","328",6
"323","388",2
"323","1346",2
"323","331",1
"323","325",4
"323","333",5
"323","1515",4
"323","326",1
"323","1612",2
"323","1621",1
"323","784",1
"323","1671",2
"323","327",1
"323","334",3
"323","332",1
"437","323",1
"437","641",1
"437","733",2
"437","642",1
"437","567",5
"437","34",2
"437","328",5
"437","388",1
"437","331",1
"437","325",1
"437","333",2
"437","583",3
"437","1515",2
"437","327",2
"437","334",2
"437","332",1
"437","1621",1
"331","770",1
"331","323",1
"331","641",2
"331","325",1
"331","733",2
"331","437",1
"331","333",3
"331","567",5
"331","583",2
"331","326",1
"331","642",1
"331","328",4
"331","1612",1
"331","34",4
"331","388",1
"331","1621",1
"331","1671",1
"331","327",1
"331","334",1
"583","331",2
"583","323",1
"583","641",1
"583","325",1
"583","733",1
"583","437",2
"583","333",1
"583","567",2
"583","1515",2
"583","642",1
"583","328",1
"583","34",1
"583","388",1
"583","1346",1
"583","1621",1
"583","784",1
"583","327",1
"583","334",1
"1515","331",1
"1515","323",3
"1515","641",1
"1515","325",1
"1515","733",1
"1515","437",3
"1515","333",2
"1515","567",2
"1515","583",1
"1515","328",2
"1515","1671",1
"1515","327",1
"1515","334",1
"1515","784",1
"1515","332",1
"1515","1621",1
"326","331",1
"326","323",1
"326","733",1
"326","333",1
"326","567",1
"326","642",1
"326","328",1
"326","1612",1
"1612","331",1
"1612","323",2
"1612","333",1
"1612","34",1
"1612","328",1
"1612","1346",1
"1612","326",1
"1612","642",1
"1612","325",1
"1612","1022",1
"1108","733",1
"1108","333",1
"1108","567",1
"1108","1346",1
"1108","642",1
"1621","331",1
"1621","323",1
"1621","325",1
"1621","333",2
"1621","567",2
"1621","34",1
"1621","328",1
"1621","1346",2
"1621","583",1
"1621","388",1
"1621","1022",1
"1621","437",1
"1621","1515",1
"1621","332",1
"1022","331",1
"1022","1621",1
"1022","333",1
"1022","567",1
"1022","328",1
"1022","1346",1
"1671","331",1
"1671","323",2
"1671","641",1
"1671","437",1
"1671","567",1
"1671","334",1
"1671","1515",1
"1671","1621",1
"334","1671",1
"334","331",1
"334","323",3
"334","641",2
"334","437",3
"334","327",1
"334","567",2
"334","328",3
"334","583",1
"334","1515",1
"334","34",2
"332","437",1
"332","567",1
"332","328",1
"332","1515",1
"332","1621",1
"332","333",1
