Source,Target,Weight
"1","4",35
"1","7",8
"1","8",12
"1","10",12
"1","14",4
"1","17",3
"1","18",12
"1","19",3
"1","20",9
"1","24",11
"1","6",15
"1","11",3
"1","22",4
"1","15",1
"1","2",1
"1","16",7
"1","21",1
"4","1",30
"4","7",22
"4","8",35
"4","10",10
"4","14",7
"4","17",21
"4","18",29
"4","19",10
"4","20",11
"4","24",35
"4","6",55
"4","11",10
"4","29",2
"4","22",1
"4","23",1
"4","15",8
"4","16",7
"4","21",2
"7","1",2
"7","4",9
"7","8",18
"7","10",12
"7","14",14
"7","17",20
"7","18",5
"7","19",27
"7","20",10
"7","24",19
"7","6",11
"7","11",12
"7","22",4
"7","15",3
"7","21",6
"8","1",13
"8","4",26
"8","7",28
"8","10",20
"8","14",18
"8","17",31
"8","18",14
"8","19",28
"8","20",10
"8","24",26
"8","6",24
"8","11",12
"8","29",3
"8","22",12
"8","23",1
"8","15",12
"8","16",5
"8","21",3
"10","1",7
"10","4",5
"10","7",12
"10","8",16
"10","14",47
"10","17",14
"10","18",21
"10","19",14
"10","20",13
"10","24",4
"10","6",4
"10","11",4
"10","29",1
"10","22",7
"10","15",3
"10","16",5
"10","21",3
"14","1",1
"14","4",4
"14","7",13
"14","8",10
"14","10",31
"14","17",20
"14","18",1
"14","19",12
"14","20",5
"14","24",6
"14","6",4
"14","11",6
"14","29",4
"14","22",5
"14","23",1
"14","15",14
"14","16",1
"14","21",3
"17","1",5
"17","4",15
"17","7",17
"17","8",21
"17","10",34
"17","14",24
"17","18",9
"17","19",18
"17","20",9
"17","24",18
"17","6",12
"17","11",14
"17","29",3
"17","22",6
"17","23",1
"17","15",5
"17","16",3
"17","21",6
"18","1",23
"18","4",36
"18","7",1
"18","8",25
"18","10",37
"18","14",3
"18","17",7
"18","19",3
"18","20",3
"18","24",2
"18","6",6
"18","11",2
"18","15",1
"19","1",1
"19","4",13
"19","7",24
"19","8",25
"19","10",17
"19","14",5
"19","17",20
"19","18",2
"19","20",7
"19","24",22
"19","6",7
"19","11",4
"19","29",1
"19","22",1
"19","15",6
"19","2",1
"19","16",1
"19","21",5
"20","4",1
"20","7",13
"20","8",2
"20","10",3
"20","14",10
"20","17",9
"20","18",1
"20","19",9
"20","24",2
"20","5",1
"20","6",1
"20","11",4
"20","2",1
"20","21",3
"24","1",8
"24","4",41
"24","7",10
"24","8",16
"24","10",4
"24","14",8
"24","17",12
"24","18",1
"24","19",37
"24","20",5
"24","6",10
"24","11",29
"24","29",2
"24","22",7
"24","23",1
"24","15",2
"24","21",3
"5","20",1
"6","1",19
"6","4",43
"6","7",8
"6","8",30
"6","10",12
"6","14",10
"6","17",13
"6","18",8
"6","19",9
"6","20",3
"6","24",10
"6","11",3
"6","29",2
"6","15",28
"6","16",4
"6","22",3
"6","21",3
"11","4",6
"11","7",7
"11","8",6
"11","10",3
"11","14",3
"11","17",5
"11","18",1
"11","19",6
"11","20",5
"11","24",17
"11","29",1
"11","22",4
"11","23",2
"11","15",3
"29","8",1
"29","10",3
"29","14",1
"29","17",3
"29","19",3
"29","20",1
"29","6",2
"29","11",2
"29","21",1
"22","1",1
"22","4",4
"22","7",2
"22","8",6
"22","10",6
"22","11",6
"22","17",8
"22","19",2
"22","20",1
"22","24",3
"22","14",6
"22","23",1
"22","6",3
"22","15",2
"23","8",2
"23","11",3
"23","18",1
"23","22",2
"15","1",6
"15","4",11
"15","6",19
"15","7",3
"15","8",6
"15","11",3
"15","17",5
"15","19",9
"15","20",1
"15","24",3
"15","10",3
"15","14",11
"15","22",2
"2","19",1
"2","20",1
"2","24",1
"16","1",6
"16","4",7
"16","6",3
"16","8",7
"16","10",4
"16","14",6
"16","17",4
"16","20",4
"16","22",1
"16","24",2
"16","7",1
"16","19",1
"16","21",1
"21","6",1
"21","7",5
"21","10",1
"21","14",6
"21","17",5
"21","18",1
"21","22",1
"21","24",3
"21","15",1
"21","19",2
"21","29",1
