Source,Target,Weight
"1","4",12
"1","6",3
"1","9",15
"1","10",6
"1","11",5
"1","15",16
"1","16",3
"1","18",7
"1","19",9
"1","29",6
"1","17",2
"1","25",22
"1","23",2
"1","5",6
"1","37",3
"1","26",8
"1","24",2
"1","2",7
"1","37",5
"1","21",2
"4","1",20
"4","6",20
"4","9",4
"4","10",11
"4","11",9
"4","15",24
"4","16",6
"4","18",39
"4","19",35
"4","29",3
"4","20",7
"4","7",4
"4","17",2
"4","25",15
"6","1",5
"6","4",25
"6","9",12
"6","10",20
"6","11",9
"6","15",11
"6","16",9
"6","18",21
"6","19",14
"6","29",15
"6","20",2
"6","7",1
"6","17",3
"6","37",2
"6","25",11
"6","5",5
"9","4",1
"9","6",5
"9","10",29
"9","11",26
"9","15",7
"9","16",9
"9","18",16
"9","19",22
"9","29",15
"9","7",5
"9","17",12
"9","37",2
"9","25",2
"9","5",8
"9","26",6
"9","24",2
"9","14",4
"9","21",5
"9","37",4
"10","4",6
"10","6",14
"10","9",49
"10","11",23
"10","15",6
"10","16",21
"10","18",44
"10","19",36
"10","29",9
"10","7",3
"10","17",19
"10","37",6
"10","25",4
"10","5",14
"10","26",14
"10","2",3
"10","14",5
"10","37",1
"10","21",7
"11","1",2
"11","4",5
"11","6",7
"11","9",28
"11","10",21
"11","15",14
"11","16",6
"11","18",36
"11","19",21
"11","29",9
"11","20",1
"11","7",1
"11","17",8
"11","37",6
"11","25",9
"11","5",12
"11","26",15
"11","24",1
"11","2",5
"11","37",10
"11","14",7
"11","21",4
"15","1",11
"15","4",26
"15","6",15
"15","9",13
"15","10",15
"15","11",15
"15","16",9
"15","18",39
"15","19",26
"15","29",14
"15","20",4
"15","17",6
"15","37",1
"15","25",18
"15","5",9
"15","26",3
"15","14",14
"15","37",16
"15","2",3
"15","21",15
"16","1",1
"16","4",8
"16","6",7
"16","9",10
"16","10",12
"16","11",13
"16","15",1
"16","18",17
"16","19",23
"16","37",1
"16","25",5
"16","5",7
"16","24",2
"18","1",6
"18","4",31
"18","6",20
"18","9",49
"18","10",56
"18","11",44
"18","15",32
"18","16",22
"18","19",49
"18","29",40
"18","20",1
"18","7",17
"18","17",19
"18","37",13
"18","25",42
"18","23",3
"18","5",45
"18","26",14
"18","24",22
"18","2",1
"18","14",6
"18","37",6
"19","1",2
"19","4",36
"19","6",12
"19","9",26
"19","10",42
"19","11",24
"19","15",12
"19","16",31
"19","18",61
"19","29",9
"19","20",2
"19","7",10
"19","17",7
"19","37",3
"19","25",23
"19","23",1
"19","5",16
"19","26",7
"19","24",4
"19","2",1
"19","14",7
"19","37",14
"19","21",10
"29","1",7
"29","4",8
"29","6",24
"29","9",26
"29","10",12
"29","11",16
"29","15",17
"29","16",3
"29","18",31
"29","19",17
"29","20",1
"29","7",9
"29","17",1
"29","25",11
"29","23",1
"29","5",8
"29","14",1
"20","4",6
"20","6",1
"20","9",4
"20","10",2
"20","15",4
"20","16",1
"20","18",2
"20","19",3
"20","29",1
"20","7",1
"20","17",3
"20","37",3
"7","4",4
"7","6",1
"7","9",7
"7","10",3
"7","11",6
"7","15",1
"7","16",1
"7","18",14
"7","19",8
"7","29",4
"7","17",3
"7","37",1
"7","25",4
"7","5",2
"7","24",1
"7","26",4
"7","14",1
"17","6",2
"17","9",11
"17","10",14
"17","11",8
"17","18",15
"17","19",8
"17","29",2
"17","37",2
"17","25",2
"17","23",3
"17","5",11
"17","26",6
"17","14",3
"17","37",2
"37","20",2
"37","6",2
"37","9",7
"37","10",15
"37","11",6
"37","15",6
"37","17",3
"37","18",12
"37","19",6
"37","16",5
"37","25",9
"37","1",5
"37","5",14
"37","23",1
"37","26",1
"37","24",3
"37","29",1
"37","14",1
"25","4",13
"25","6",10
"25","9",7
"25","10",8
"25","11",5
"25","15",10
"25","17",7
"25","18",60
"25","19",23
"25","37",4
"25","7",10
"25","16",7
"25","1",24
"25","29",13
"25","23",1
"25","5",25
"25","26",7
"25","24",8
"25","37",1
"23","10",2
"23","11",1
"23","19",2
"23","17",1
"23","5",2
"5","6",2
"5","9",14
"5","10",30
"5","11",21
"5","16",8
"5","18",61
"5","19",23
"5","25",16
"5","37",12
"5","17",8
"5","23",1
"5","26",9
"5","24",9
"5","7",1
"5","2",2
"5","29",10
"5","15",12
"5","37",1
"26","1",2
"26","5",16
"26","9",16
"26","10",23
"26","11",21
"26","18",24
"26","19",5
"26","25",6
"26","17",11
"26","23",1
"26","7",1
"26","2",2
"26","15",4
"26","14",12
"26","21",14
"24","1",2
"24","5",8
"24","9",2
"24","10",5
"24","11",5
"24","16",3
"24","18",19
"24","19",4
"24","25",7
"24","37",6
"24","7",1
"24","23",1
"24","26",1
"2","1",6
"2","5",3
"2","9",5
"2","10",3
"2","11",5
"2","18",4
"2","19",1
"2","25",2
"2","26",5
"2","17",1
"2","14",9
"2","15",6
"2","21",12
"2","37",2
"14","1",1
"14","9",8
"14","10",4
"14","15",6
"14","17",4
"14","18",5
"14","19",5
"14","25",1
"14","26",10
"14","29",1
"14","7",1
"14","37",2
"14","11",7
"14","37",2
"14","23",1
"14","2",6
"14","21",11
"37","1",4
"37","5",5
"37","10",7
"37","11",9
"37","15",30
"37","17",5
"37","18",5
"37","19",16
"37","25",1
"37","26",1
"37","7",1
"37","14",4
"37","2",3
"37","9",3
"37","21",15
"21","1",2
"21","2",12
"21","9",8
"21","10",5
"21","11",9
"21","14",10
"21","15",13
"21","19",8
"21","26",12
"21","37",12
