Source,Target,Weight
"205","206",2
"205","208",2
"205","209",2
"205","211",1
"205","212",1
"205","213",1
"205","214",1
"205","215",3
"205","216",1
"205","217",1
"205","218",1
"205","622",1
"205","624",1
"205","625",1
"205","698",1
"205","818",1
"206","205",2
"206","208",4
"206","209",1
"206","210",1
"206","211",3
"206","212",2
"206","213",1
"206","214",1
"206","215",5
"206","216",1
"206","217",1
"206","218",2
"206","622",1
"206","623",2
"206","625",2
"206","698",1
"206","818",1
"207","206",1
"207","208",1
"207","211",1
"207","214",1
"207","215",2
"208","205",1
"208","206",4
"208","207",1
"208","209",1
"208","210",1
"208","211",3
"208","212",3
"208","213",1
"208","214",3
"208","215",2
"208","216",1
"208","217",1
"208","218",1
"208","622",1
"208","623",2
"208","624",1
"208","625",2
"208","698",2
"209","205",1
"209","206",1
"209","208",2
"209","210",1
"209","211",1
"209","212",1
"209","214",2
"209","215",1
"209","217",1
"209","623",1
"209","625",1
"210","206",1
"210","207",1
"210","211",1
"210","214",2
"210","624",1
"211","205",1
"211","206",2
"211","208",3
"211","209",1
"211","210",1
"211","212",1
"211","213",2
"211","214",2
"211","215",4
"211","216",1
"211","217",1
"211","218",2
"211","623",1
"211","624",1
"211","625",2
"211","698",1
"212","205",2
"212","206",4
"212","207",1
"212","208",2
"212","209",1
"212","211",2
"212","213",1
"212","214",2
"212","215",1
"212","217",1
"212","218",1
"212","622",1
"212","623",1
"212","624",1
"212","625",3
"212","698",2
"213","205",1
"213","206",1
"213","208",2
"213","209",1
"213","210",1
"213","211",2
"213","212",1
"213","214",2
"213","215",1
"213","218",1
"213","623",1
"213","625",2
"213","698",3
"214","205",2
"214","206",1
"214","207",1
"214","208",3
"214","209",1
"214","210",2
"214","211",3
"214","212",1
"214","213",2
"214","215",1
"214","216",1
"214","217",1
"214","218",1
"214","622",2
"214","623",1
"214","624",1
"214","625",2
"214","698",2
"215","205",1
"215","206",4
"215","207",1
"215","208",2
"215","209",2
"215","211",2
"215","212",1
"215","214",1
"215","217",1
"215","218",2
"215","622",1
"215","625",1
"215","698",1
"216","205",1
"216","206",1
"216","208",1
"216","211",1
"216","212",1
"216","215",1
"216","217",1
"216","625",1
"217","206",1
"217","208",1
"217","209",2
"217","210",1
"217","211",1
"217","212",1
"217","213",1
"217","214",1
"217","215",1
"217","218",1
"217","622",1
"217","625",2
"218","206",1
"218","208",2
"218","211",2
"218","213",1
"218","214",1
"218","215",2
"218","217",1
"218","698",1
"218","625",1
"218","623",1
"622","208",2
"622","209",1
"622","211",1
"622","212",1
"622","213",1
"622","623",1
"622","214",2
"622","215",1
"622","624",1
"622","625",1
"622","698",1
"623","205",1
"623","206",2
"623","208",1
"623","622",1
"623","209",1
"623","211",1
"623","212",1
"623","213",1
"623","214",1
"623","625",1
"623","217",1
"623","218",1
"624","206",1
"624","209",1
"624","214",1
"624","216",1
"624","625",1
"625","205",1
"625","206",2
"625","208",2
"625","622",1
"625","209",1
"625","211",2
"625","212",3
"625","213",2
"625","623",1
"625","214",3
"625","215",2
"625","216",1
"625","698",1
"625","217",1
"625","210",1
"625","218",1
"698","205",2
"698","206",1
"698","622",1
"698","211",2
"698","212",3
"698","217",1
"698","625",3
"698","623",1
"698","214",2
"698","208",2
"698","213",1
"698","215",2
"698","218",1
"818","213",1
