Source,Target,Weight
"1399","1741",7
"1399","1742",1
"1399","153",2
"1399","1404",1
"1399","1743",1
"1399","1744",6
"1399","161",1
"1399","157",1
"1399","1745",1
"1399","1746",1
"1399","156",2
"151","1741",4
"151","1742",1
"151","153",2
"151","1404",1
"151","1743",4
"151","1402",2
"151","157",2
"151","1746",2
"1741","1399",5
"1741","151",4
"1741","1742",5
"1741","153",2
"1741","1743",3
"1741","1744",11
"1741","1402",4
"1741","157",3
"1741","620",1
"1741","1745",1
"1741","1746",1
"1741","156",10
"1742","1399",3
"1742","151",2
"1742","1741",7
"1742","153",5
"1742","1404",1
"1742","1743",3
"1742","1744",12
"1742","161",3
"1742","1402",4
"1742","157",5
"1742","1746",1
"1742","156",6
"1742","1824",3
"1742","155",1
"153","151",3
"153","1741",4
"153","1742",5
"153","1404",2
"153","1743",4
"153","1744",7
"153","161",3
"153","1402",8
"153","157",7
"153","620",1
"153","1745",2
"153","156",2
"153","1824",7
"153","155",3
"1404","151",1
"1404","1742",2
"1404","153",1
"1404","161",1
"1404","1402",4
"1404","157",3
"1404","156",1
"1404","155",1
"1743","151",3
"1743","1741",2
"1743","1742",3
"1743","153",1
"1743","1404",2
"1743","1744",1
"1743","1402",4
"1743","157",2
"1743","156",2
"1744","1399",4
"1744","151",2
"1744","1741",9
"1744","1742",12
"1744","153",8
"1744","1404",2
"1744","1743",1
"1744","161",8
"1744","1402",4
"1744","157",3
"1744","620",1
"1744","1745",1
"1744","1746",1
"1744","156",2
"1744","1824",8
"1744","155",2
"161","1399",2
"161","1742",2
"161","153",1
"161","1404",1
"161","1744",8
"161","1402",2
"161","157",3
"1402","151",3
"1402","1741",4
"1402","1742",3
"1402","153",5
"1402","1404",4
"1402","1743",5
"1402","1744",5
"1402","161",2
"1402","157",5
"1402","1745",2
"1402","1746",2
"1402","156",3
"1402","1824",2
"1402","155",2
"157","1741",2
"157","1742",3
"157","153",4
"157","1404",3
"157","1743",2
"157","1744",1
"157","161",4
"157","1402",3
"157","620",2
"157","1745",1
"157","156",3
"157","1824",3
"157","155",1
"620","1742",1
"620","1744",1
"620","157",1
"1745","151",1
"1745","153",2
"1745","1744",1
"1745","1402",2
"1745","1746",2
"1745","155",2
"1746","151",3
"1746","153",1
"1746","1402",2
"1746","1745",2
"1746","155",2
"156","1741",5
"156","1742",5
"156","153",3
"156","1404",2
"156","1743",4
"156","1744",1
"156","1402",4
"156","157",5
"156","1745",1
"156","1746",2
"1824","1399",2
"1824","1742",3
"1824","153",3
"1824","1404",1
"1824","1744",5
"1824","1402",3
"1824","157",5
"1824","155",2
"155","1741",1
"155","153",2
"155","1404",1
"155","156",2
"155","1824",3
"155","1402",2
"155","1745",1
