Source,Target,Weight
"1","2",1
"1","4",3
"1","5",8
"1","7",1
"1","12",1
"1","17",1
"1","19",7
"1","22",3
"1","24",6
"1","28",5
"1","10",1
"1","21",2
"1","26",3
"1","8",1
"1","6",2
"2","1",5
"2","4",15
"2","5",12
"2","7",3
"2","12",8
"2","17",10
"2","19",3
"2","22",7
"2","24",5
"2","28",3
"2","10",3
"2","16",3
"2","21",1
"2","13",2
"2","8",1
"2","26",1
"2","6",4
"2","14",3
"4","1",1
"4","2",11
"4","5",7
"4","7",17
"4","12",23
"4","17",22
"4","19",34
"4","22",36
"4","24",13
"4","28",17
"4","10",28
"4","16",10
"4","21",12
"4","26",2
"4","8",10
"4","6",11
"4","13",3
"4","14",2
"5","1",8
"5","2",11
"5","4",7
"5","7",5
"5","12",3
"5","19",2
"5","22",6
"5","24",11
"5","28",8
"5","10",3
"5","21",11
"5","26",15
"5","8",1
"5","6",1
"5","13",4
"7","1",2
"7","2",3
"7","4",12
"7","5",12
"7","12",2
"7","17",1
"7","19",7
"7","22",15
"7","24",3
"7","28",10
"7","10",10
"7","21",12
"7","26",7
"7","6",2
"12","1",2
"12","2",8
"12","4",23
"12","5",4
"12","7",3
"12","17",12
"12","19",9
"12","22",13
"12","24",6
"12","28",11
"12","10",7
"12","16",5
"12","13",3
"12","8",3
"12","6",4
"12","14",2
"17","2",3
"17","4",25
"17","7",4
"17","12",7
"17","19",7
"17","22",14
"17","24",4
"17","28",12
"17","10",6
"17","16",1
"17","21",1
"17","6",2
"17","8",1
"17","13",2
"17","18",1
"19","2",2
"19","4",28
"19","5",2
"19","7",9
"19","12",6
"19","17",4
"19","22",31
"19","24",1
"19","28",4
"19","10",16
"19","21",7
"19","8",11
"19","6",3
"22","1",1
"22","2",11
"22","4",33
"22","5",3
"22","7",15
"22","12",11
"22","17",11
"22","19",24
"22","24",4
"22","28",19
"22","10",27
"22","16",5
"22","21",7
"22","26",2
"22","8",9
"22","6",5
"22","13",1
"24","1",10
"24","2",7
"24","4",12
"24","5",10
"24","7",5
"24","12",10
"24","17",4
"24","19",1
"24","22",1
"24","28",14
"24","10",3
"24","16",3
"24","21",4
"24","26",7
"24","13",5
"28","1",5
"28","4",33
"28","5",1
"28","7",6
"28","12",15
"28","17",14
"28","19",20
"28","22",26
"28","24",9
"28","10",16
"28","16",1
"28","21",5
"28","26",9
"28","8",12
"28","13",2
"28","14",2
"10","2",2
"10","4",19
"10","5",1
"10","7",6
"10","12",5
"10","17",10
"10","19",29
"10","22",26
"10","24",1
"10","28",7
"10","16",3
"10","21",5
"10","8",8
"10","6",10
"10","14",1
"16","2",7
"16","4",7
"16","12",5
"16","17",7
"16","19",3
"16","22",3
"16","28",2
"16","10",7
"16","21",1
"16","8",1
"21","1",3
"21","2",5
"21","4",12
"21","5",11
"21","7",14
"21","17",1
"21","19",4
"21","22",9
"21","24",10
"21","28",28
"21","10",15
"21","26",13
"21","8",7
"21","6",13
"26","1",9
"26","4",3
"26","5",7
"26","7",7
"26","10",3
"26","21",23
"26","22",3
"26","24",6
"26","28",16
"26","8",5
"26","6",14
"26","13",3
"26","2",1
"8","4",16
"8","5",2
"8","7",4
"8","10",7
"8","19",6
"8","21",6
"8","22",9
"8","24",2
"8","26",3
"8","28",3
"8","6",4
"8","17",2
"8","2",1
"8","12",1
"8","16",2
"6","1",3
"6","4",6
"6","5",1
"6","8",14
"6","19",6
"6","21",13
"6","22",7
"6","26",5
"6","28",1
"6","10",11
"6","13",1
"6","2",2
"6","12",6
"13","2",6
"13","5",1
"13","7",1
"13","8",1
"13","19",7
"13","21",1
"13","22",3
"13","26",1
"13","28",4
"13","12",3
"13","17",2
"13","18",1
"13","4",6
"13","24",5
"13","16",3
"14","4",1
"14","10",2
"14","12",2
"14","22",3
"14","28",2
