Source,Target,Weight
"13","2",8
"13","3",5
"13","4",3
"13","6",15
"13","7",10
"13","9",3
"13","10",11
"13","14",4
"13","20",5
"13","23",15
"13","8",21
"13","11",3
"13","21",2
"13","16",1
"13","12",2
"13","19",8
"13","22",2
"13","15",1
"13","22",2
"13","3",9
"13","24",6
"13","26",1
"2","13",7
"2","3",29
"2","4",20
"2","6",17
"2","7",7
"2","9",2
"2","10",6
"2","14",27
"2","20",5
"2","23",16
"2","8",9
"2","11",2
"2","21",1
"2","5",19
"2","16",2
"2","19",9
"2","15",3
"2","22",3
"2","3",12
"2","24",2
"2","26",4
"3","2",20
"3","4",4
"3","6",31
"3","7",16
"3","9",8
"3","10",26
"3","14",17
"3","20",4
"3","23",10
"3","8",19
"3","11",4
"3","21",2
"3","5",23
"3","16",4
"3","12",4
"3","19",27
"3","15",5
"4","13",3
"4","2",7
"4","3",5
"4","6",49
"4","7",9
"4","9",2
"4","10",11
"4","14",33
"4","20",24
"4","23",10
"4","8",8
"4","11",4
"4","19",13
"4","22",4
"4","3",22
"4","24",3
"4","26",15
"4","5",9
"6","13",1
"6","2",17
"6","3",35
"6","4",35
"6","7",40
"6","9",27
"6","10",58
"6","14",67
"6","20",22
"6","23",16
"6","8",28
"6","11",9
"6","21",1
"6","5",36
"6","16",7
"6","12",4
"6","19",39
"6","15",2
"6","22",13
"6","17",1
"6","3",60
"6","24",9
"6","26",22
"7","2",2
"7","3",9
"7","4",2
"7","6",46
"7","9",11
"7","10",9
"7","14",16
"7","20",21
"7","23",2
"7","8",8
"7","11",2
"7","5",7
"7","12",2
"7","19",11
"7","15",4
"7","16",4
"7","22",7
"7","3",7
"7","24",2
"9","2",2
"9","3",5
"9","6",21
"9","7",13
"9","10",6
"9","14",7
"9","20",3
"9","8",3
"9","11",1
"9","5",2
"9","17",2
"9","19",4
"9","3",5
"9","24",1
"9","26",5
"10","13",1
"10","2",5
"10","3",12
"10","4",13
"10","6",57
"10","7",13
"10","9",7
"10","14",57
"10","20",42
"10","23",3
"10","8",16
"10","11",1
"10","21",3
"10","5",14
"10","16",2
"10","12",1
"10","19",10
"10","22",1
"10","17",2
"10","22",6
"10","3",22
"10","24",3
"10","26",1
"14","13",2
"14","2",22
"14","3",23
"14","4",23
"14","6",80
"14","7",39
"14","9",16
"14","10",43
"14","20",130
"14","23",41
"14","8",56
"14","11",16
"14","21",8
"14","5",34
"14","16",8
"14","12",2
"14","19",30
"14","22",3
"14","15",9
"14","22",5
"14","17",3
"14","3",18
"14","24",13
"14","26",15
"20","13",8
"20","2",5
"20","3",2
"20","4",23
"20","6",34
"20","7",24
"20","9",10
"20","10",57
"20","14",135
"20","23",35
"20","8",43
"20","11",11
"20","21",3
"20","5",25
"20","16",8
"20","12",2
"20","19",26
"20","22",2
"20","15",8
"20","24",10
"20","26",6
"23","13",14
"23","2",31
"23","3",8
"23","4",15
"23","6",17
"23","7",9
"23","9",3
"23","10",7
"23","14",55
"23","20",31
"23","8",21
"23","11",7
"23","21",3
"23","5",19
"23","16",1
"23","12",6
"23","19",8
"23","22",1
"23","15",3
"23","22",1
"23","1",3
"23","17",2
"23","3",9
"23","24",1
"23","26",4
"8","2",2
"8","3",9
"8","4",2
"8","6",21
"8","7",11
"8","9",11
"8","10",25
"8","14",37
"8","20",23
"8","23",4
"8","11",6
"8","21",5
"8","5",4
"8","16",3
"8","12",1
"8","19",23
"8","22",1
"8","15",1
"8","22",3
"8","17",3
"8","3",2
"8","24",1
"8","26",8
"11","2",1
"11","3",3
"11","4",1
"11","6",9
"11","7",3
"11","10",3
"11","14",8
"11","20",4
"11","23",2
"11","8",8
"11","21",2
"11","5",2
"11","16",5
"11","19",4
"11","22",4
"11","15",4
"11","22",4
"11","3",5
"11","24",1
"11","26",2
"21","3",2
"21","4",1
"21","9",1
"21","10",4
"21","14",3
"21","8",2
"21","5",3
"5","13",2
"5","2",12
"5","3",26
"5","8",12
"5","9",11
"5","10",20
"5","14",46
"5","20",18
"5","21",1
"5","23",19
"5","6",35
"5","11",4
"5","16",3
"5","12",6
"5","19",6
"5","7",14
"5","22",3
"5","3",28
"5","24",5
"5","26",6
"5","4",10
"16","2",1
"16","3",6
"16","5",2
"16","8",8
"16","10",2
"16","14",5
"16","20",3
"16","23",3
"16","6",4
"16","11",3
"16","7",2
"16","19",5
"16","15",3
"16","12",1
"16","22",3
"16","17",2
"12","13",2
"12","3",1
"12","5",11
"12","6",5
"12","8",11
"12","10",1
"12","14",6
"12","19",1
"12","20",1
"12","23",4
"12","7",5
"12","11",1
"12","15",1
"12","22",2
"12","16",2
"12","1",2
"12","17",1
"12","9",1
"19","3",13
"19","5",2
"19","6",25
"19","8",16
"19","10",9
"19","12",1
"19","14",19
"19","20",10
"19","23",2
"19","7",5
"19","11",4
"19","2",1
"19","15",1
"19","16",7
"19","17",1
"19","22",3
"19","4",8
"19","3",10
"19","24",2
"19","26",3
"22","5",5
"22","6",2
"22","8",2
"22","10",1
"22","12",1
"22","14",1
"22","19",1
"22","20",1
"22","11",3
"15","3",7
"15","6",7
"15","7",2
"15","8",3
"15","14",11
"15","19",4
"15","20",8
"15","23",3
"15","11",6
"15","16",6
"15","12",1
"15","22",6
"22","6",20
"22","7",11
"22","8",6
"22","11",6
"22","12",5
"22","14",8
"22","15",2
"22","16",10
"22","19",4
"22","9",1
"22","10",10
"22","2",7
"22","4",4
"1","7",2
"1","8",3
"1","12",2
"1","14",2
"1","16",1
"1","19",2
"1","22",2
"1","9",1
"17","1",2
"17","8",2
"17","14",1
"17","16",4
"17","19",2
"17","22",1
"17","10",3
"3","13",4
"3","2",13
"3","4",26
"3","6",69
"3","8",9
"3","10",28
"3","14",19
"3","19",24
"3","20",2
"3","23",4
"3","11",4
"3","24",3
"3","26",19
"3","5",16
"3","9",11
"3","7",18
"24","13",1
"24","2",3
"24","3",2
"24","4",4
"24","6",6
"24","8",2
"24","10",2
"24","14",8
"24","19",6
"24","20",6
"24","23",1
"24","26",4
"24","5",1
"24","9",4
"24","7",1
"26","2",1
"26","3",13
"26","4",9
"26","6",17
"26","8",9
"26","10",2
"26","14",17
"26","19",5
"26","20",8
"26","23",1
"26","11",3
"26","24",4
"26","5",5
"26","9",2
