Source,Target,Weight
"16","4",8
"16","21",2
"16","28",1
"16","6",1
"3","7",1
"3","10",2
"4","16",2
"4","7",2
"4","10",5
"4","21",5
"4","25",3
"4","28",3
"4","63",5
"4","6",5
"4","20",3
"4","58",1
"4","38",2
"4","2",6
"4","9",2
"7","4",4
"7","10",6
"7","21",2
"7","25",2
"7","28",4
"7","55",4
"7","63",5
"7","6",5
"7","5",1
"7","9",1
"10","3",1
"10","4",2
"10","7",3
"10","25",4
"10","28",4
"10","55",1
"10","63",5
"10","6",5
"10","2",1
"10","5",4
"10","9",4
"21","4",3
"21","10",1
"21","44",1
"21","55",3
"21","63",1
"21","6",1
"21","9",1
"25","16",2
"25","4",3
"25","7",4
"25","10",4
"25","21",3
"25","28",4
"25","55",3
"25","63",3
"25","6",4
"25","20",2
"25","2",4
"25","5",8
"25","9",2
"28","4",6
"28","7",2
"28","10",3
"28","21",1
"28","25",3
"28","55",1
"28","63",6
"28","6",1
"28","20",1
"28","2",5
"28","9",2
"44","21",1
"44","55",1
"55","7",3
"55","10",1
"55","21",2
"55","25",1
"55","28",1
"55","6",1
"55","20",2
"55","5",1
"63","7",5
"63","10",3
"63","25",3
"63","28",3
"63","55",2
"63","6",4
"63","9",2
"6","4",7
"6","7",6
"6","10",1
"6","25",2
"6","28",1
"6","44",1
"6","55",1
"6","63",3
"6","20",2
"6","38",3
"6","2",6
"6","5",3
"6","9",3
"20","4",1
"20","21",2
"20","55",3
"20","63",1
"20","6",4
"20","2",1
"20","5",1
"20","9",3
"38","2",13
"38","4",5
"38","6",1
"38","9",2
"38","20",2
"38","55",2
"2","38",7
"2","4",2
"2","5",9
"2","6",5
"2","7",2
"2","9",2
"2","10",3
"2","25",2
"2","28",4
"2","63",2
"2","55",2
"5","38",2
"5","2",3
"5","4",1
"5","6",2
"5","7",1
"5","9",1
"5","10",6
"5","25",9
"5","20",1
"5","21",1
"5","55",1
"9","2",1
"9","4",1
"9","5",2
"9","6",2
"9","7",3
"9","10",2
"9","25",7
"9","28",1
"9","63",1
"9","20",2
