Source,Target,Weight
"1","5",8
"1","6",5
"1","10",9
"1","22",2
"1","33",1
"1","44",5
"1","77",5
"1","88",1
"1","89",6
"1","33",10
"1","9",5
"1","24",2
"1","2",1
"5","1",14
"5","6",4
"5","8",2
"5","10",8
"5","22",3
"5","33",1
"5","44",17
"5","77",25
"5","88",12
"5","11",4
"5","89",5
"5","9",1
"5","8",1
"5","33",5
"6","1",1
"6","5",8
"6","8",2
"6","10",15
"6","17",3
"6","22",1
"6","44",4
"6","77",13
"6","88",20
"6","11",2
"6","89",5
"6","8",2
"6","33",4
"6","9",1
"6","23",3
"8","5",3
"8","10",2
"8","17",5
"8","22",5
"8","33",3
"8","77",4
"8","88",2
"8","89",2
"10","5",2
"10","6",8
"10","8",3
"10","17",3
"10","22",10
"10","33",1
"10","44",4
"10","77",17
"10","88",10
"10","11",9
"10","15",1
"10","89",19
"10","8",4
"10","33",2
"10","9",4
"10","24",1
"10","2",4
"10","12",3
"10","23",1
"17","6",3
"17","8",2
"17","10",1
"17","22",5
"17","33",1
"17","77",2
"17","88",4
"22","1",1
"22","5",1
"22","6",3
"22","8",2
"22","10",2
"22","17",6
"22","33",6
"22","88",5
"22","11",4
"22","89",10
"22","8",5
"22","33",5
"22","9",2
"33","1",2
"33","5",1
"33","8",5
"33","10",1
"33","17",2
"33","22",9
"33","44",5
"33","77",2
"33","88",6
"33","15",1
"44","1",11
"44","5",21
"44","6",6
"44","10",5
"44","22",11
"44","33",8
"44","77",7
"44","88",20
"44","11",3
"44","89",4
"44","8",6
"44","33",22
"44","9",2
"44","24",2
"44","2",11
"44","20",1
"77","1",3
"77","5",11
"77","6",13
"77","8",2
"77","10",36
"77","17",4
"77","22",4
"77","33",1
"77","44",9
"77","88",16
"77","11",6
"77","89",12
"77","9",1
"77","8",1
"77","33",1
"88","5",23
"88","6",9
"88","8",6
"88","10",14
"88","17",1
"88","22",14
"88","33",8
"88","44",15
"88","77",36
"88","11",5
"88","15",1
"88","89",9
"88","9",1
"88","8",7
"88","33",16
"88","23",4
"11","5",2
"11","6",2
"11","10",11
"11","22",1
"11","44",2
"11","77",3
"11","88",5
"11","15",2
"11","89",8
"11","2",2
"11","8",1
"11","9",1
"11","33",6
"15","6",2
"15","10",3
"15","33",1
"15","77",1
"15","89",1
"15","8",7
"15","33",5
"15","9",4
"15","24",4
"15","28",1
"89","6",4
"89","8",1
"89","10",16
"89","22",4
"89","77",4
"89","88",5
"89","11",4
"89","15",1
"89","8",5
"89","33",1
"89","9",2
"89","2",2
"89","28",2
"89","23",4
"9","22",1
"8","5",2
"8","6",2
"8","10",7
"8","22",4
"8","33",8
"8","44",4
"8","77",3
"8","88",7
"8","89",1
"8","9",4
"8","15",7
"8","24",2
"8","2",1
"8","11",1
"33","1",13
"33","5",5
"33","6",2
"33","8",11
"33","10",1
"33","22",8
"33","44",15
"33","77",1
"33","88",9
"33","89",6
"33","9",2
"33","15",6
"33","24",10
"33","2",1
"33","11",5
"33","12",3
"33","28",1
"33","23",5
"9","6",3
"9","8",1
"9","10",2
"9","22",1
"9","33",1
"9","89",2
"9","15",3
"9","11",1
"9","12",1
"24","1",2
"24","10",6
"24","33",3
"24","44",6
"24","9",2
"24","15",4
"24","2",4
"24","11",4
"24","12",2
"24","20",1
"24","28",2
"2","8",2
"2","10",6
"2","11",1
"2","24",4
"2","44",6
"2","89",3
"12","9",1
"12","10",1
"12","15",3
"12","33",3
"12","44",1
"12","89",1
"12","20",1
"20","2",1
"20","15",1
"20","12",2
"28","2",1
"28","33",1
"28","44",2
"23","6",1
"23","33",6
"23","44",1
"23","89",5
