Source,Target,Weight
"16","2",2
"16","8",3
"16","10",1
"16","14",5
"16","20",4
"16","21",12
"16","22",13
"16","23",5
"16","33",20
"16","62",1
"16","7",2
"16","13",8
"16","9",1
"16","5",1
"16","55",3
"16","3",4
"2","16",4
"2","8",11
"2","10",7
"2","14",8
"2","20",5
"2","21",13
"2","22",10
"2","23",17
"2","33",13
"2","62",5
"2","7",4
"2","13",1
"2","9",1
"2","5",4
"2","42",3
"2","55",2
"8","16",2
"8","2",10
"8","10",8
"8","14",9
"8","20",12
"8","21",19
"8","22",40
"8","23",16
"8","33",13
"8","62",10
"8","7",8
"8","13",5
"8","9",14
"8","77",5
"8","5",11
"8","42",8
"8","3",5
"8","55",5
"10","2",3
"10","8",8
"10","14",9
"10","20",9
"10","21",2
"10","22",11
"10","23",8
"10","33",2
"10","62",11
"10","13",1
"10","9",1
"10","77",1
"14","16",1
"14","2",2
"14","8",6
"14","10",11
"14","20",5
"14","21",1
"14","22",1
"14","23",12
"14","33",13
"14","62",24
"14","7",8
"14","13",9
"14","9",1
"14","77",5
"14","5",4
"14","42",9
"14","25",1
"14","34",1
"20","2",3
"20","8",8
"20","10",4
"20","14",3
"20","21",2
"20","22",2
"20","23",8
"20","33",2
"20","62",8
"20","7",2
"20","13",1
"20","9",1
"20","77",1
"20","5",1
"20","42",5
"20","55",2
"21","16",16
"21","2",10
"21","8",21
"21","10",6
"21","14",6
"21","20",1
"21","22",21
"21","23",12
"21","33",35
"21","62",4
"21","7",2
"21","13",3
"21","9",6
"21","77",2
"21","5",6
"21","42",1
"21","34",3
"21","55",3
"22","16",5
"22","2",14
"22","8",33
"22","10",12
"22","14",2
"22","20",5
"22","21",18
"22","23",6
"22","33",14
"22","62",6
"22","7",14
"22","13",10
"22","9",5
"22","77",3
"22","5",15
"22","42",10
"22","55",4
"22","3",2
"23","16",1
"23","2",11
"23","8",17
"23","10",11
"23","14",17
"23","20",13
"23","21",7
"23","22",7
"23","33",11
"23","62",16
"23","7",8
"23","13",1
"23","9",4
"23","5",3
"23","42",1
"23","3",7
"23","55",4
"23","25",2
"33","16",23
"33","2",18
"33","8",14
"33","10",7
"33","14",26
"33","20",1
"33","21",27
"33","22",15
"33","23",11
"33","62",6
"33","7",6
"33","13",1
"33","9",4
"33","77",1
"33","5",8
"33","42",2
"33","55",2
"33","3",4
"62","16",2
"62","2",1
"62","8",14
"62","10",10
"62","14",17
"62","20",8
"62","21",4
"62","22",7
"62","23",15
"62","33",3
"62","7",19
"62","13",8
"62","9",3
"62","5",9
"62","42",7
"62","55",2
"62","25",2
"7","2",2
"7","8",8
"7","14",6
"7","20",6
"7","22",8
"7","23",3
"7","33",1
"7","62",15
"7","13",13
"7","9",1
"7","77",2
"7","5",7
"7","42",12
"7","55",2
"7","3",1
"7","25",1
"13","8",4
"13","14",3
"13","20",1
"13","22",5
"13","23",1
"13","62",7
"13","7",14
"13","9",1
"13","77",5
"13","5",8
"13","42",6
"13","3",1
"13","25",3
"9","16",1
"9","2",1
"9","8",11
"9","10",2
"9","14",2
"9","20",1
"9","21",7
"9","22",9
"9","23",3
"9","33",6
"9","13",3
"9","7",1
"9","5",4
"9","42",4
"9","55",2
"9","3",1
"9","25",3
"77","8",7
"77","10",1
"77","14",3
"77","20",1
"77","22",1
"77","23",1
"77","33",2
"77","62",2
"77","9",1
"77","13",2
"77","7",3
"5","16",1
"5","7",19
"5","8",11
"5","13",10
"5","14",17
"5","22",12
"5","33",7
"5","42",8
"5","62",13
"5","20",4
"5","23",4
"5","77",1
"5","2",2
"5","55",9
"5","3",4
"5","9",6
"5","25",1
"5","34",2
"42","16",1
"42","5",3
"42","7",13
"42","8",4
"42","13",6
"42","14",2
"42","22",10
"42","33",1
"42","62",7
"42","20",4
"42","2",1
"42","55",5
"42","9",1
"42","25",3
"55","16",13
"55","2",2
"55","5",7
"55","7",2
"55","13",1
"55","14",1
"55","22",5
"55","33",2
"55","42",2
"55","3",3
"55","9",1
"55","25",3
"55","8",2
"55","20",2
"55","23",2
"55","34",6
"55","21",1
"3","16",13
"3","5",5
"3","13",4
"3","14",2
"3","22",1
"3","33",4
"3","55",7
"3","62",2
"3","9",1
"3","8",6
"3","20",2
"3","23",2
"25","5",1
"25","7",1
"25","13",1
"25","14",1
"25","22",1
"25","42",1
"25","55",3
"25","62",4
"25","20",1
"25","21",1
"34","7",1
"34","14",1
"34","20",2
"34","21",4
"34","23",1
