Source,Target,Weight
"1","3",49
"1","4",9
"1","5",11
"1","8",2
"1","9",6
"1","10",3
"1","11",5
"1","18",21
"1","20",8
"1","24",13
"1","14",39
"1","6",13
"1","15",9
"1","21",1
"1","23",16
"3","1",44
"3","4",34
"3","5",49
"3","8",8
"3","9",11
"3","10",34
"3","11",9
"3","18",22
"3","20",24
"3","24",24
"3","12",2
"3","14",81
"3","6",93
"3","15",15
"3","17",2
"3","19",2
"3","23",18
"3","26",1
"3","7",3
"4","1",2
"4","3",38
"4","5",52
"4","8",12
"4","9",20
"4","10",51
"4","11",17
"4","18",20
"4","20",11
"4","24",8
"4","14",23
"4","6",97
"4","15",10
"4","17",1
"4","19",1
"4","21",4
"4","23",6
"4","26",2
"5","1",9
"5","3",46
"5","4",43
"5","8",59
"5","9",14
"5","10",76
"5","11",56
"5","18",45
"5","20",25
"5","24",19
"5","12",2
"5","14",76
"5","6",59
"5","15",6
"5","17",4
"5","21",11
"5","23",29
"5","7",6
"8","1",3
"8","3",12
"8","4",21
"8","5",52
"8","9",26
"8","10",44
"8","11",83
"8","18",83
"8","20",10
"8","24",9
"8","14",15
"8","6",22
"8","21",8
"8","23",5
"8","17",2
"9","3",1
"9","4",17
"9","5",16
"9","8",14
"9","10",28
"9","11",35
"9","18",10
"9","20",2
"9","24",1
"9","12",1
"9","14",1
"9","6",16
"9","15",1
"9","17",7
"9","19",1
"9","21",4
"9","23",1
"9","7",2
"10","1",1
"10","3",18
"10","4",28
"10","5",58
"10","8",67
"10","9",20
"10","11",56
"10","18",16
"10","20",14
"10","24",7
"10","12",1
"10","14",8
"10","6",65
"10","23",2
"10","15",2
"10","21",1
"10","26",4
"10","7",5
"11","1",1
"11","3",15
"11","4",25
"11","5",29
"11","8",65
"11","9",49
"11","10",76
"11","18",56
"11","20",24
"11","24",2
"11","12",1
"11","14",11
"11","6",17
"11","15",3
"11","17",3
"11","19",1
"11","21",15
"11","23",6
"11","7",1
"18","1",9
"18","3",16
"18","4",14
"18","5",63
"18","8",90
"18","9",23
"18","10",13
"18","11",121
"18","20",11
"18","24",18
"18","14",57
"18","6",5
"18","15",8
"18","28",3
"18","23",11
"18","21",6
"18","26",5
"18","7",2
"20","3",21
"20","4",21
"20","5",26
"20","8",5
"20","9",12
"20","10",21
"20","11",27
"20","18",11
"20","24",1
"20","12",1
"20","14",10
"20","6",23
"20","15",1
"20","17",9
"20","21",6
"20","23",7
"20","26",2
"20","7",12
"24","1",9
"24","3",34
"24","4",7
"24","5",11
"24","8",21
"24","9",1
"24","10",2
"24","11",8
"24","18",26
"24","20",5
"24","14",7
"24","6",3
"12","5",1
"12","8",1
"12","10",2
"12","11",1
"12","18",1
"12","20",1
"12","14",1
"12","6",8
"14","1",34
"14","3",74
"14","4",25
"14","5",51
"14","8",36
"14","9",8
"14","10",12
"14","11",22
"14","18",77
"14","20",18
"14","24",11
"14","12",2
"14","6",54
"14","15",14
"14","17",7
"14","28",8
"14","21",4
"14","23",21
"14","7",3
"6","1",8
"6","3",53
"6","5",45
"6","9",25
"6","11",20
"6","14",42
"6","15",10
"6","17",20
"6","18",16
"6","20",28
"6","4",103
"6","19",6
"6","28",1
"6","8",13
"6","21",3
"6","23",4
"6","10",108
"6","26",4
"6","7",6
"6","12",6
"15","1",5
"15","3",21
"15","5",8
"15","6",10
"15","9",1
"15","11",3
"15","14",14
"15","17",2
"15","18",22
"15","20",2
"15","4",7
"15","28",7
"15","21",3
"15","23",10
"15","10",1
"15","26",7
"17","5",6
"17","6",27
"17","9",5
"17","11",2
"17","14",1
"17","20",8
"17","4",1
"17","28",1
"17","8",2
"19","6",2
"19","9",2
"19","14",1
"19","4",1
"28","3",1
"28","6",2
"28","11",2
"28","14",3
"28","15",6
"28","18",2
"28","20",2
"28","4",1
"28","19",1
"28","21",1
"21","4",2
"21","5",5
"21","6",4
"21","8",11
"21","9",11
"21","11",31
"21","14",6
"21","20",2
"21","23",10
"21","15",4
"21","10",1
"21","18",5
"21","26",3
"23","1",5
"23","4",3
"23","5",24
"23","6",2
"23","8",9
"23","11",10
"23","14",18
"23","20",13
"23","21",23
"23","15",19
"23","17",1
"23","3",18
"23","18",24
"23","26",2
"26","1",1
"26","3",1
"26","4",6
"26","6",5
"26","9",2
"26","10",1
"26","11",2
"26","18",2
"26","20",1
"26","23",5
"26","21",4
"7","5",5
"7","6",9
"7","9",2
"7","10",6
"7","11",2
"7","14",5
"7","18",2
"7","20",1
"7","3",3
"7","12",1
