Source,Target,Weight
"1488","252",13
"1488","1758",11
"1488","991",5
"1488","1493",2
"1488","1613",2
"1755","1488",3
"1755","1490",3
"1755","1756",10
"1755","992",6
"1755","252",6
"1755","77",2
"1755","1758",9
"1755","991",16
"1755","1493",6
"1755","1613",4
"1490","1755",5
"1490","1756",7
"1490","992",8
"1490","252",10
"1490","77",14
"1490","1758",12
"1490","991",19
"1490","1493",5
"1490","1031",3
"1490","1613",5
"1490","1759",3
"1756","1755",4
"1756","1490",5
"1756","992",6
"1756","252",8
"1756","77",7
"1756","991",5
"1756","1493",6
"1756","1613",3
"1756","1759",2
"992","1755",7
"992","1490",10
"992","1756",7
"992","252",4
"992","77",2
"992","1758",3
"992","991",8
"992","1493",6
"992","1613",3
"252","1488",7
"252","1755",9
"252","1490",22
"252","1756",9
"252","992",4
"252","77",13
"252","1758",20
"252","991",23
"252","1493",7
"252","1613",6
"252","1759",3
"77","1488",4
"77","1755",2
"77","1490",6
"77","1756",4
"77","992",3
"77","252",15
"77","1757",2
"77","1758",2
"77","991",3
"77","1493",4
"77","1613",3
"1757","1490",2
"1757","992",2
"1758","1488",5
"1758","1755",11
"1758","1490",10
"1758","1756",2
"1758","992",3
"1758","252",30
"1758","77",2
"1758","991",24
"1758","1493",3
"1758","1613",5
"1758","1759",5
"991","1488",4
"991","1755",21
"991","1490",17
"991","1756",7
"991","992",10
"991","252",15
"991","77",5
"991","1758",20
"991","1493",7
"991","1031",5
"991","1613",5
"991","1759",5
"1493","1755",3
"1493","1490",3
"1493","1756",6
"1493","992",5
"1493","252",2
"1493","77",2
"1493","991",3
"1493","1031",2
"1493","1613",3
"1493","1759",2
"1031","1490",2
"1031","1756",2
"1031","1758",4
"1031","991",3
"1031","1493",3
"1031","1613",3
"1031","1759",2
"1613","1755",5
"1613","1490",8
"1613","1756",2
"1613","992",5
"1613","252",3
"1613","77",3
"1613","1758",3
"1613","991",5
"1613","1493",2
"1613","1759",3
"1759","1490",2
"1759","1758",4
"1759","991",2
"1759","1493",3
"1759","1031",5
"1759","1613",4
