Source,Target,Weight
"1","5",1
"1","11",2
"1","21",1
"3","5",2
"3","6",3
"3","7",2
"3","10",3
"3","11",4
"3","17",1
"3","18",5
"3","21",2
"3","26",5
"3","8",2
"3","9",1
"3","23",3
"5","1",4
"5","3",2
"5","6",3
"5","7",1
"5","10",3
"5","11",1
"5","17",8
"5","18",2
"5","21",3
"5","26",3
"5","8",1
"6","3",5
"6","5",1
"6","7",4
"6","10",3
"6","11",3
"6","17",8
"6","21",1
"6","26",1
"6","23",1
"7","5",2
"7","6",8
"7","10",3
"7","11",1
"7","18",2
"7","26",1
"10","1",1
"10","3",4
"10","5",1
"10","6",4
"10","7",4
"10","11",1
"10","17",5
"10","18",5
"10","21",4
"10","26",8
"11","3",4
"11","6",4
"11","18",3
"11","26",1
"17","3",4
"17","5",1
"17","6",2
"17","7",6
"17","10",5
"17","11",1
"17","18",1
"17","21",1
"17","8",2
"18","3",5
"18","5",1
"18","6",2
"18","7",1
"18","10",7
"18","11",2
"18","17",3
"18","21",3
"18","26",7
"18","8",2
"21","1",2
"21","3",4
"21","5",3
"21","6",1
"21","10",2
"21","11",2
"21","18",3
"21","26",6
"21","8",1
"26","1",2
"26","3",5
"26","5",1
"26","6",2
"26","7",3
"26","10",5
"26","11",1
"26","18",13
"26","21",3
"26","8",6
"8","3",1
"8","5",1
"8","18",1
"8","21",1
"8","26",4
"8","9",1
"9","21",1
"9","26",1
"23","6",1
"23","10",2
"23","26",1
