Source,Target,Weight
"1","4",55
"1","7",10
"1","9",3
"1","10",7
"1","13",21
"1","17",52
"1","21",44
"1","25",15
"1","27",29
"1","39",18
"1","11",1
"1","14",3
"1","31",17
"1","19",9
"1","5",15
"1","26",4
"1","8",28
"1","6",7
"1","37",1
"4","1",58
"4","7",55
"4","9",5
"4","10",9
"4","13",9
"4","17",57
"4","21",42
"4","25",9
"4","27",75
"4","39",93
"4","14",1
"4","31",27
"4","19",16
"4","8",37
"4","6",37
"7","1",2
"7","4",25
"7","9",24
"7","10",53
"7","13",20
"7","17",10
"7","21",46
"7","25",33
"7","27",131
"7","39",103
"7","11",1
"7","14",4
"7","31",56
"7","19",18
"7","5",2
"7","26",2
"7","8",5
"7","6",8
"9","1",1
"9","4",3
"9","7",17
"9","10",23
"9","13",5
"9","17",1
"9","21",11
"9","25",15
"9","27",12
"9","39",15
"9","14",1
"9","31",12
"9","5",1
"9","19",14
"9","8",2
"9","6",3
"10","4",7
"10","7",61
"10","9",14
"10","13",68
"10","17",20
"10","21",95
"10","25",36
"10","27",30
"10","39",80
"10","14",3
"10","31",37
"10","15",1
"10","19",27
"10","5",7
"10","26",3
"10","8",13
"10","6",18
"13","1",26
"13","4",20
"13","7",17
"13","9",14
"13","10",88
"13","17",54
"13","21",101
"13","25",34
"13","27",9
"13","39",72
"13","11",1
"13","14",4
"13","31",50
"13","19",18
"13","5",20
"13","26",9
"13","8",30
"13","6",15
"17","1",52
"17","4",61
"17","7",23
"17","9",10
"17","10",31
"17","13",51
"17","21",57
"17","25",22
"17","27",31
"17","39",60
"17","31",21
"17","15",2
"17","19",15
"17","8",25
"17","6",20
"21","1",18
"21","4",55
"21","7",36
"21","9",19
"21","10",130
"21","13",93
"21","17",72
"21","25",42
"21","27",39
"21","39",160
"21","11",5
"21","14",4
"21","31",64
"21","19",36
"21","5",15
"21","26",15
"21","8",44
"21","23",1
"21","6",31
"25","1",1
"25","4",6
"25","7",26
"25","9",11
"25","10",31
"25","13",29
"25","17",12
"25","21",34
"25","27",20
"25","39",40
"25","11",4
"25","14",4
"25","31",17
"25","15",2
"25","19",22
"25","5",5
"25","26",2
"25","8",6
"25","6",11
"27","1",28
"27","4",112
"27","7",140
"27","9",16
"27","10",26
"27","13",15
"27","17",20
"27","21",25
"27","25",33
"27","39",129
"27","14",4
"27","31",65
"27","15",2
"27","19",38
"27","5",3
"27","26",10
"27","8",22
"27","6",27
"27","37",1
"39","1",7
"39","4",44
"39","7",135
"39","9",26
"39","10",108
"39","13",87
"39","17",57
"39","21",147
"39","25",54
"39","27",119
"39","11",5
"39","14",6
"39","31",95
"39","19",66
"39","5",9
"39","26",11
"39","8",47
"39","6",55
"11","4",1
"11","7",4
"11","13",1
"11","17",2
"11","21",1
"11","25",5
"11","27",2
"11","39",1
"11","31",3
"11","6",3
"14","7",4
"14","10",1
"14","13",2
"14","21",2
"14","25",4
"14","27",2
"14","39",5
"14","11",1
"14","31",3
"14","19",6
"14","8",1
"31","1",5
"31","4",20
"31","7",82
"31","9",11
"31","10",62
"31","13",28
"31","17",9
"31","21",64
"31","25",22
"31","27",43
"31","39",92
"31","11",3
"31","14",8
"31","19",32
"31","5",9
"31","26",11
"31","8",18
"31","6",18
"15","1",1
"15","17",1
"15","27",1
"15","39",3
"15","19",2
"15","6",3
"19","1",2
"19","4",7
"19","7",23
"19","10",25
"19","13",30
"19","17",8
"19","21",42
"19","25",18
"19","27",41
"19","31",19
"19","39",55
"19","15",1
"19","5",1
"19","9",14
"19","26",2
"19","14",4
"19","8",10
"19","6",36
"5","1",10
"5","7",3
"5","9",3
"5","10",12
"5","13",13
"5","21",13
"5","26",17
"5","27",1
"5","31",14
"5","39",17
"5","19",10
"5","25",5
"5","8",2
"26","1",8
"26","5",16
"26","7",15
"26","10",3
"26","13",3
"26","21",10
"26","27",12
"26","31",20
"26","39",16
"26","19",3
"26","25",1
"26","8",1
"8","1",24
"8","5",2
"8","7",6
"8","13",31
"8","19",9
"8","21",58
"8","25",9
"8","26",2
"8","27",21
"8","31",15
"8","39",53
"8","9",7
"8","4",37
"8","10",13
"8","17",36
"8","6",39
"8","11",1
"6","1",3
"6","4",26
"6","8",33
"6","10",29
"6","13",11
"6","17",16
"6","19",35
"6","21",37
"6","25",10
"6","27",38
"6","39",50
"6","15",1
"6","7",20
"6","9",5
"6","11",3
"6","31",13
"37","6",1
