Source,Target,Weight
"1897","294",1
"1897","221",2
"1897","299",1
"1897","1673",1
"1897","302",2
"294","1897",1
"294","295",2
"294","221",1
"294","1898",1
"294","1899",2
"294","299",2
"294","1673",1
"294","302",5
"294","1900",1
"294","1901",1
"294","648",1
"294","639",2
"294","296",5
"294","1967",1
"294","138",1
"294","1990",1
"295","294",1
"295","829",3
"295","221",4
"295","1898",1
"295","1899",2
"295","299",2
"295","306",1
"295","1673",1
"295","302",4
"295","1901",3
"295","648",1
"295","296",2
"295","138",4
"295","2020",1
"295","81",1
"295","1967",1
"829","1897",1
"829","295",2
"829","221",4
"829","1898",1
"829","1899",1
"829","299",2
"829","306",3
"829","1673",2
"829","302",1
"829","1900",1
"829","1901",2
"829","648",1
"829","639",1
"829","296",2
"829","1967",1
"829","138",1
"829","81",1
"221","1897",2
"221","294",1
"221","295",5
"221","829",8
"221","1898",1
"221","1899",6
"221","299",2
"221","306",2
"221","1673",4
"221","302",9
"221","1900",1
"221","1901",2
"221","639",9
"221","296",2
"221","1967",1
"221","138",6
"221","1990",1
"221","2020",1
"221","81",1
"1898","295",1
"1898","829",1
"1898","221",1
"1898","1899",1
"1898","299",2
"1898","1673",2
"1898","1901",1
"1898","648",1
"1898","296",2
"1898","1967",1
"1898","138",1
"1898","2020",1
"1899","294",5
"1899","295",3
"1899","829",3
"1899","221",7
"1899","299",5
"1899","306",1
"1899","1673",2
"1899","302",5
"1899","1900",1
"1899","1901",3
"1899","648",1
"1899","639",2
"1899","296",4
"1899","1967",2
"1899","138",3
"1899","1990",1
"1899","2020",1
"299","1897",1
"299","294",2
"299","295",2
"299","829",2
"299","221",2
"299","1898",2
"299","1899",3
"299","306",1
"299","1673",2
"299","302",3
"299","1901",2
"299","648",1
"299","639",1
"299","296",3
"299","1967",2
"299","138",2
"299","1990",1
"306","295",1
"306","829",2
"306","221",1
"306","1898",1
"306","1899",1
"306","299",2
"306","302",1
"306","1901",1
"306","296",1
"306","1990",1
"1673","294",1
"1673","295",1
"1673","829",1
"1673","221",2
"1673","1898",1
"1673","1899",3
"1673","299",2
"1673","306",1
"1673","302",1
"1673","1900",1
"1673","1901",2
"1673","296",1
"1673","1967",2
"1673","138",3
"1673","1990",1
"1673","2020",1
"302","1897",2
"302","294",4
"302","295",4
"302","829",2
"302","221",13
"302","1898",1
"302","1899",9
"302","299",3
"302","1673",2
"302","1900",1
"302","1901",3
"302","639",5
"302","296",4
"302","1967",2
"302","138",5
"302","2020",1
"302","81",1
"1900","829",1
"1900","221",1
"1900","299",1
"1900","1673",1
"1900","1901",1
"1900","296",1
"1900","1967",1
"1900","138",1
"1901","294",1
"1901","295",2
"1901","829",3
"1901","221",3
"1901","1898",1
"1901","1899",2
"1901","299",1
"1901","306",1
"1901","1673",2
"1901","302",1
"1901","1900",1
"1901","648",1
"1901","296",3
"1901","1967",1
"1901","138",3
"1901","1990",1
"1901","2020",1
"1901","81",1
"648","294",1
"648","829",1
"648","1898",1
"648","1899",1
"648","299",1
"648","302",1
"648","1900",1
"648","1901",1
"648","296",1
"639","294",2
"639","221",9
"639","296",2
"639","1967",1
"639","1899",3
"639","1900",1
"639","138",2
"639","1673",1
"639","1901",1
"639","302",5
"639","1898",1
"639","299",1
"639","829",2
"639","648",1
"639","1990",1
"639","295",1
"296","639",1
"296","294",5
"296","221",2
"296","1967",2
"296","1899",3
"296","1900",1
"296","138",5
"296","1673",2
"296","1901",2
"296","302",3
"296","1898",1
"296","299",3
"296","829",1
"296","1990",1
"296","295",3
"296","306",1
"296","81",1
"1967","639",1
"1967","294",2
"1967","221",1
"1967","296",3
"1967","1899",2
"1967","1900",1
"1967","138",3
"1967","1673",1
"1967","1901",1
"1967","302",2
"1967","1898",1
"1967","299",1
"1967","829",1
"1967","648",1
"1967","295",1
"1967","81",1
"138","639",2
"138","221",4
"138","296",7
"138","1967",2
"138","1899",1
"138","1900",1
"138","1673",6
"138","1901",3
"138","302",3
"138","299",2
"138","1990",1
"138","295",3
"138","81",1
"1990","221",1
"1990","296",1
"1990","1899",1
"1990","1901",1
"1990","648",1
"1990","295",1
"1990","306",1
"2020","221",1
"2020","1899",1
"2020","1673",1
"2020","1901",1
"2020","295",1
"2020","1898",1
"81","639",1
"81","295",1
"81","829",1
"81","221",1
"81","296",1
"81","138",1
"81","302",1
