Source,Target,Weight
"21","2",9
"21","3",4
"21","4",13
"21","6",1
"21","16",1
"21","17",4
"21","18",1
"21","19",3
"21","30",1
"21","27",1
"21","29",1
"2","21",2
"2","3",2
"2","6",12
"2","11",4
"2","16",9
"2","17",4
"2","18",5
"2","19",1
"2","30",9
"2","9",5
"2","27",2
"2","29",2
"3","21",3
"3","2",3
"3","4",19
"3","6",7
"3","11",1
"3","16",6
"3","17",1
"3","18",7
"3","19",15
"3","29",1
"4","21",8
"4","2",3
"4","3",28
"4","6",10
"4","11",2
"4","16",15
"4","17",12
"4","18",1
"4","19",5
"4","30",2
"4","29",1
"6","21",2
"6","2",6
"6","3",6
"6","4",10
"6","11",1
"6","16",20
"6","17",13
"6","18",4
"6","19",5
"6","30",3
"6","9",2
"6","29",2
"11","3",1
"11","6",2
"11","16",1
"11","17",1
"11","18",2
"11","30",3
"16","21",3
"16","2",7
"16","3",7
"16","4",10
"16","6",13
"16","11",1
"16","17",13
"16","18",3
"16","19",4
"16","30",8
"16","9",2
"16","29",3
"17","21",4
"17","2",14
"17","3",4
"17","4",9
"17","6",7
"17","11",1
"17","16",10
"17","18",4
"17","19",2
"17","30",8
"17","27",1
"17","29",1
"18","2",4
"18","3",2
"18","4",1
"18","6",5
"18","11",2
"18","16",3
"18","17",1
"18","19",2
"18","30",3
"18","27",1
"18","29",2
"19","2",1
"19","3",7
"19","4",6
"19","6",3
"19","11",2
"19","16",4
"19","17",1
"19","18",8
"19","30",2
"19","29",3
"30","21",1
"30","2",7
"30","4",2
"30","6",7
"30","11",2
"30","16",8
"30","17",3
"30","18",5
"30","19",2
"9","2",1
"9","3",1
"9","4",1
"9","6",1
"9","17",1
"9","18",2
"9","19",1
"27","2",2
"27","3",1
"27","29",1
"29","2",2
"29","3",1
"29","6",2
"29","16",1
"29","19",4
"29","30",1
"29","9",1
