Source,Target,Weight
"494","495",7
"494","496",2
"494","497",2
"494","498",4
"494","499",1
"494","500",2
"494","501",1
"494","502",4
"494","503",2
"494","504",4
"494","505",2
"494","506",1
"494","600",1
"494","804",1
"494","805",1
"495","494",5
"495","496",5
"495","497",8
"495","498",2
"495","499",2
"495","500",1
"495","501",1
"495","502",7
"495","503",4
"495","504",5
"495","505",2
"495","506",2
"495","507",1
"495","600",1
"495","749",1
"496","494",2
"496","495",5
"496","497",8
"496","498",7
"496","499",5
"496","500",4
"496","501",2
"496","502",5
"496","503",3
"496","504",6
"496","505",2
"496","506",1
"496","507",1
"496","600",1
"496","803",1
"496","805",1
"497","494",2
"497","495",6
"497","496",7
"497","498",4
"497","499",3
"497","500",3
"497","501",1
"497","502",7
"497","503",5
"497","504",7
"497","505",3
"497","506",2
"497","507",2
"497","600",1
"497","803",1
"497","804",1
"497","805",1
"498","494",3
"498","495",2
"498","496",5
"498","497",3
"498","499",4
"498","500",11
"498","501",2
"498","502",2
"498","503",3
"498","504",7
"498","505",3
"498","506",1
"498","507",1
"498","600",1
"498","803",1
"499","495",1
"499","496",4
"499","497",2
"499","498",3
"499","500",2
"499","501",2
"499","502",4
"499","503",4
"499","504",3
"499","505",2
"499","506",1
"499","507",1
"499","803",1
"499","805",1
"500","495",1
"500","496",4
"500","497",2
"500","498",6
"500","499",1
"500","501",1
"500","502",1
"500","503",1
"500","504",3
"500","505",3
"500","506",2
"500","507",1
"500","600",1
"501","495",1
"501","496",1
"501","497",1
"501","498",2
"501","499",1
"501","500",2
"501","502",2
"501","503",2
"501","504",2
"501","505",1
"501","506",1
"501","600",1
"502","494",2
"502","495",6
"502","496",6
"502","497",11
"502","498",3
"502","499",3
"502","500",1
"502","501",2
"502","503",6
"502","504",2
"502","505",2
"502","506",1
"502","507",2
"502","600",1
"502","804",1
"503","494",1
"503","495",2
"503","496",5
"503","497",4
"503","498",2
"503","499",5
"503","500",2
"503","501",2
"503","502",4
"503","504",1
"503","505",1
"503","506",1
"503","507",1
"503","600",1
"503","803",1
"503","805",1
"504","494",6
"504","495",6
"504","496",3
"504","497",7
"504","498",7
"504","499",3
"504","500",4
"504","501",1
"504","502",2
"504","503",2
"504","505",1
"504","506",1
"504","507",1
"504","600",1
"505","494",1
"505","495",1
"505","496",2
"505","497",2
"505","498",2
"505","499",2
"505","500",2
"505","501",1
"505","502",2
"505","503",2
"505","504",1
"505","506",1
"505","507",1
"505","600",1
"505","803",1
"506","495",1
"506","496",1
"506","497",2
"506","498",1
"506","499",1
"506","500",1
"506","501",1
"506","502",2
"506","503",1
"506","504",1
"506","505",1
"507","495",1
"507","496",1
"507","497",1
"507","498",1
"507","499",1
"507","500",1
"507","502",3
"507","503",1
"507","506",1
"600","494",1
"600","496",1
"600","497",1
"600","498",1
"600","499",1
"600","502",1
"600","503",1
"600","504",1
"600","505",1
"600","803",1
"803","494",1
"803","505",1
"803","497",1
"803","498",1
"803","500",1
"803","502",1
"803","600",1
"803","804",1
"803","499",1
"803","805",1
"804","496",1
"804","497",1
"804","803",1
"804","503",1
"804","499",1
"805","494",1
"805","496",1
"805","497",1
"805","503",1
"805","804",1
