Source,Target,Weight
"1","8",4
"1","9",1
"1","16",1
"1","17",5
"1","19",11
"1","20",1
"1","27",2
"1","96",5
"1","6",2
"1","81",1
"1","83",5
"1","15",4
"1","22",3
"1","11",1
"4","1",2
"4","8",17
"4","10",5
"4","16",6
"4","17",12
"4","19",10
"4","20",1
"4","27",10
"4","96",1
"4","6",7
"4","81",6
"4","83",3
"4","15",2
"4","22",7
"4","11",4
"8","1",1
"8","4",17
"8","9",6
"8","10",3
"8","16",5
"8","17",13
"8","19",7
"8","20",5
"8","27",9
"8","96",4
"8","6",9
"8","81",3
"8","83",4
"8","15",7
"8","22",8
"8","11",1
"9","4",3
"9","8",1
"9","10",1
"9","16",2
"9","17",2
"9","20",2
"9","27",4
"9","6",1
"10","1",1
"10","4",2
"10","8",2
"10","9",1
"10","16",4
"10","17",1
"10","20",4
"10","27",2
"10","6",3
"10","81",1
"10","22",1
"10","11",1
"16","4",6
"16","8",3
"16","9",2
"16","10",3
"16","17",2
"16","19",1
"16","20",3
"16","96",2
"16","6",10
"16","83",4
"16","22",4
"17","1",4
"17","4",9
"17","8",15
"17","9",3
"17","10",2
"17","16",4
"17","19",7
"17","20",6
"17","27",2
"17","96",1
"17","6",3
"17","81",8
"17","83",4
"17","15",4
"19","1",6
"19","4",3
"19","8",14
"19","16",2
"19","17",12
"19","20",2
"19","27",6
"19","96",4
"19","6",7
"19","81",2
"19","83",4
"19","15",4
"19","22",8
"19","11",1
"20","4",6
"20","8",5
"20","9",4
"20","10",2
"20","16",5
"20","17",5
"20","19",1
"20","27",8
"20","6",1
"20","83",3
"27","1",2
"27","4",8
"27","8",5
"27","9",2
"27","10",3
"27","16",8
"27","17",1
"27","19",6
"27","20",9
"27","96",4
"27","6",11
"27","81",8
"27","83",6
"27","11",3
"96","1",2
"96","4",4
"96","8",6
"96","9",1
"96","16",2
"96","17",2
"96","19",3
"96","20",1
"96","27",7
"6","4",13
"6","8",9
"6","9",2
"6","10",3
"6","16",9
"6","17",5
"6","19",9
"6","20",3
"6","27",8
"6","81",9
"6","83",8
"6","15",2
"6","22",5
"6","11",1
"81","4",8
"81","8",2
"81","16",2
"81","17",6
"81","19",1
"81","27",6
"81","96",1
"81","6",10
"81","83",2
"81","15",1
"83","4",4
"83","8",4
"83","16",4
"83","17",1
"83","19",1
"83","20",2
"83","27",3
"83","6",11
"83","81",9
"83","22",2
"83","11",1
"15","1",8
"15","4",6
"15","6",1
"15","8",4
"15","17",4
"15","19",7
"15","22",1
"15","81",2
"15","27",1
"22","1",2
"22","4",1
"22","6",6
"22","8",8
"22","15",2
"22","16",7
"22","19",6
"22","81",2
"22","83",8
"22","10",3
"11","4",2
"11","6",3
"11","8",1
"11","83",2
"11","27",3
