Source,Target,Weight
"12","2",5
"12","3",11
"12","4",10
"12","6",3
"12","8",4
"12","9",8
"12","16",2
"12","21",6
"12","22",5
"12","11",5
"12","5",26
"12","25",2
"2","12",3
"2","3",2
"2","4",18
"2","6",16
"2","8",20
"2","9",4
"2","16",11
"2","20",9
"2","22",8
"2","11",8
"2","17",2
"2","5",1
"2","25",2
"3","12",19
"3","2",7
"3","4",8
"3","6",12
"3","8",16
"3","9",7
"3","16",4
"3","20",3
"3","21",19
"3","22",19
"3","11",4
"3","17",7
"3","5",17
"3","25",17
"4","12",7
"4","2",18
"4","3",9
"4","6",3
"4","8",3
"4","9",5
"4","16",7
"4","20",7
"4","21",6
"4","22",10
"4","11",2
"4","17",2
"4","5",11
"4","25",3
"6","12",1
"6","2",22
"6","3",18
"6","4",6
"6","8",14
"6","9",10
"6","16",3
"6","20",18
"6","21",21
"6","22",35
"6","10",1
"6","11",10
"6","17",6
"6","5",5
"6","25",10
"8","12",2
"8","2",6
"8","3",11
"8","6",19
"8","9",14
"8","16",14
"8","20",5
"8","21",20
"8","22",17
"8","11",3
"8","17",3
"8","5",3
"8","25",23
"9","2",4
"9","3",2
"9","6",10
"9","8",11
"9","20",13
"9","21",6
"9","22",5
"9","11",6
"9","17",2
"9","5",1
"9","25",11
"16","12",1
"16","2",12
"16","3",3
"16","4",1
"16","6",5
"16","8",12
"16","9",2
"16","21",9
"16","22",13
"16","17",4
"16","5",2
"16","25",7
"20","2",5
"20","3",6
"20","4",2
"20","6",14
"20","8",4
"20","9",9
"20","16",2
"20","21",6
"20","22",8
"20","11",5
"20","17",1
"20","5",1
"20","25",4
"21","12",6
"21","2",2
"21","3",11
"21","4",3
"21","6",19
"21","8",20
"21","9",7
"21","16",6
"21","20",4
"21","22",11
"21","11",10
"21","17",12
"21","5",10
"21","25",4
"21","15",1
"22","12",4
"22","2",24
"22","3",14
"22","4",9
"22","6",27
"22","8",33
"22","9",12
"22","16",8
"22","20",6
"22","21",19
"22","11",3
"22","17",9
"22","5",22
"22","25",11
"10","3",1
"10","6",1
"11","2",6
"11","3",1
"11","6",9
"11","8",2
"11","9",2
"11","20",5
"11","21",9
"11","22",6
"11","17",3
"11","25",4
"17","2",1
"17","3",4
"17","6",1
"17","8",10
"17","9",3
"17","16",2
"17","20",2
"17","21",7
"17","22",3
"17","25",3
"5","12",10
"5","3",25
"5","4",12
"5","6",12
"5","8",9
"5","9",6
"5","20",1
"5","22",21
"5","25",11
"5","10",1
"5","21",10
"5","11",3
"5","17",1
"5","16",1
"25","2",6
"25","3",13
"25","4",2
"25","5",5
"25","6",14
"25","8",22
"25","9",4
"25","20",7
"25","22",21
"25","15",2
"25","21",7
"25","11",1
"25","17",7
"25","16",4
"15","9",1
