Source,Target,Weight
"31","5",7
"31","6",3
"31","7",1
"31","10",4
"31","13",2
"31","15",2
"31","8",1
"31","27",1
"31","36",3
"31","4",2
"5","31",4
"5","6",10
"5","7",3
"5","13",5
"5","15",5
"5","17",3
"5","24",4
"5","26",2
"5","44",5
"5","8",3
"5","27",2
"5","77",3
"5","36",9
"5","4",4
"5","37",2
"6","5",8
"6","7",5
"6","10",1
"6","13",4
"6","15",1
"6","24",7
"6","26",4
"6","44",11
"6","8",3
"6","77",1
"6","36",1
"6","37",1
"7","6",4
"7","10",2
"7","17",2
"7","26",6
"7","44",8
"7","4",3
"10","7",4
"10","13",2
"10","17",6
"10","24",9
"10","26",2
"10","44",9
"13","31",2
"13","5",6
"13","6",19
"13","7",4
"13","10",3
"13","15",1
"13","17",7
"13","24",3
"13","26",5
"13","44",6
"13","8",5
"13","27",5
"13","77",4
"13","36",3
"13","4",4
"15","31",1
"15","5",5
"15","6",3
"15","7",3
"15","10",4
"15","13",2
"15","17",7
"15","24",2
"15","26",2
"15","44",4
"15","27",1
"17","5",2
"17","6",1
"17","7",3
"17","10",6
"17","13",3
"17","15",2
"17","24",1
"17","26",6
"17","44",3
"17","77",1
"24","5",5
"24","6",6
"24","7",4
"24","10",2
"24","13",8
"24","15",2
"24","17",2
"24","26",13
"24","44",14
"24","27",2
"24","77",2
"24","36",1
"24","4",5
"26","7",4
"26","10",5
"26","13",5
"26","24",6
"26","44",12
"26","8",6
"26","27",6
"26","77",3
"26","36",1
"26","4",2
"26","37",1
"44","5",1
"44","6",6
"44","7",5
"44","10",6
"44","13",8
"44","17",4
"44","24",16
"44","26",8
"44","8",2
"44","27",4
"44","77",2
"44","36",8
"44","4",2
"44","37",1
"8","6",6
"8","13",2
"8","15",1
"8","24",4
"8","26",2
"8","44",3
"8","27",2
"8","77",5
"8","36",2
"27","6",1
"27","7",2
"27","13",3
"27","24",1
"27","26",1
"27","44",3
"27","8",3
"27","77",2
"27","36",1
"27","4",1
"27","37",1
"77","6",1
"77","7",1
"77","13",2
"77","17",3
"77","26",5
"77","44",1
"77","8",1
"77","27",1
"77","4",1
"36","31",2
"36","5",2
"36","13",1
"36","24",2
"36","26",8
"36","27",2
"36","44",4
"36","77",1
"36","4",9
"4","31",2
"4","5",2
"4","13",1
"4","24",5
"4","27",2
"4","36",4
"4","44",4
"4","7",2
"4","37",1
"37","5",1
"37","13",1
"37","26",1
"37","27",1
