Source,Target,Weight
"1","9",4
"1","12",6
"1","15",7
"1","23",9
"1","24",13
"1","25",1
"1","33",36
"1","13",1
"1","27",2
"1","32",2
"1","22",2
"1","4",19
"1","13",1
"1","3",4
"1","5",2
"1","11",1
"7","9",7
"7","10",3
"7","12",17
"7","15",14
"7","18",6
"7","23",15
"7","24",2
"7","25",10
"7","33",15
"7","13",3
"7","20",4
"7","27",11
"7","32",3
"7","22",12
"7","4",11
"7","13",11
"7","3",1
"7","11",4
"7","31",4
"7","8",1
"7","19",3
"9","1",1
"9","7",9
"9","10",15
"9","12",20
"9","15",28
"9","18",3
"9","23",12
"9","24",16
"9","25",7
"9","33",22
"9","13",10
"9","20",6
"9","27",4
"9","32",1
"9","22",16
"9","4",12
"9","13",8
"9","3",6
"9","31",2
"9","36",3
"10","1",1
"10","7",8
"10","9",12
"10","12",5
"10","15",14
"10","18",4
"10","23",11
"10","24",6
"10","25",8
"10","33",10
"10","13",1
"10","20",5
"10","27",5
"10","32",4
"10","4",4
"12","1",7
"12","7",11
"12","9",21
"12","10",2
"12","15",27
"12","18",7
"12","23",8
"12","24",22
"12","25",12
"12","33",25
"12","13",4
"12","20",8
"12","27",24
"12","4",20
"12","22",69
"12","13",23
"12","3",9
"12","5",5
"12","11",5
"12","32",1
"12","36",2
"12","19",2
"15","1",8
"15","7",11
"15","9",21
"15","10",22
"15","12",32
"15","18",3
"15","23",40
"15","24",12
"15","25",9
"15","33",61
"15","13",6
"15","20",1
"15","27",10
"15","32",4
"15","22",12
"15","4",28
"15","13",19
"15","3",15
"15","5",3
"15","11",2
"15","40",1
"15","31",4
"18","7",7
"18","9",2
"18","12",6
"18","15",1
"18","23",1
"18","24",1
"18","25",2
"18","33",1
"18","4",2
"18","3",2
"23","1",6
"23","7",20
"23","9",10
"23","10",18
"23","12",1
"23","15",18
"23","24",3
"23","25",11
"23","33",25
"23","13",1
"23","27",13
"23","32",4
"23","22",1
"23","4",14
"23","13",7
"23","3",4
"23","31",4
"23","8",1
"23","19",3
"24","1",13
"24","7",1
"24","9",19
"24","10",8
"24","12",18
"24","15",11
"24","18",2
"24","23",2
"24","25",4
"24","33",19
"24","13",5
"24","27",3
"24","32",6
"24","22",11
"24","4",25
"24","13",1
"25","7",13
"25","9",8
"25","10",9
"25","12",16
"25","15",8
"25","18",2
"25","23",7
"25","33",8
"25","13",2
"25","20",5
"25","27",6
"25","22",6
"25","4",7
"25","13",16
"25","3",1
"25","11",2
"25","40",1
"25","31",1
"25","8",1
"25","19",4
"33","1",24
"33","7",24
"33","9",31
"33","10",12
"33","12",38
"33","15",52
"33","18",1
"33","23",34
"33","24",25
"33","25",25
"33","13",4
"33","20",3
"33","27",15
"33","32",25
"33","22",23
"33","4",42
"33","13",19
"33","3",18
"33","5",11
"33","11",1
"33","40",4
"33","31",14
"33","8",1
"33","19",7
"13","1",1
"13","7",1
"13","9",7
"13","10",4
"13","12",6
"13","15",7
"13","24",4
"13","25",3
"13","33",2
"13","27",5
"13","32",1
"13","22",6
"20","7",1
"20","9",2
"20","10",1
"20","12",6
"20","15",3
"20","24",2
"20","25",3
"20","27",2
"20","22",16
"20","4",1
"20","13",3
"27","7",7
"27","9",6
"27","10",5
"27","12",11
"27","15",6
"27","23",11
"27","24",4
"27","25",8
"27","33",17
"27","13",5
"27","20",2
"27","32",4
"27","22",9
"27","3",1
"27","4",5
"27","13",4
"27","31",1
"27","8",5
"27","19",3
"32","1",6
"32","9",7
"32","10",3
"32","13",2
"32","15",3
"32","23",4
"32","24",5
"32","25",3
"32","27",5
"32","33",26
"32","7",3
"32","22",11
"32","40",5
"32","4",8
"32","12",5
"32","13",2
"32","31",15
"32","3",1
"32","36",2
"32","8",1
"32","19",1
"22","1",8
"22","9",8
"22","10",2
"22","13",4
"22","15",12
"22","24",10
"22","25",13
"22","27",5
"22","32",1
"22","33",20
"22","7",10
"22","20",19
"22","4",7
"22","12",45
"22","18",5
"22","13",14
"22","3",7
"22","5",3
"22","11",10
"22","31",1
"22","36",1
"22","8",1
"4","1",16
"4","9",14
"4","10",6
"4","12",32
"4","15",43
"4","20",2
"4","22",15
"4","24",17
"4","25",5
"4","33",37
"4","7",13
"4","13",5
"4","18",3
"4","13",14
"4","23",12
"4","3",28
"4","5",1
"4","27",14
"4","40",6
"4","31",2
"4","32",7
"4","36",2
"4","8",6
"4","19",2
"13","4",6
"13","7",14
"13","12",24
"13","15",14
"13","20",1
"13","22",11
"13","23",6
"13","25",9
"13","33",7
"13","3",9
"13","9",9
"13","11",4
"13","27",5
"13","2",1
"13","24",2
"13","36",2
"3","1",3
"3","4",36
"3","7",3
"3","12",14
"3","13",6
"3","15",10
"3","22",5
"3","23",2
"3","25",4
"3","33",26
"3","9",6
"3","18",2
"3","5",5
"3","27",2
"3","31",2
"3","36",3
"5","1",5
"5","3",5
"5","4",2
"5","9",1
"5","12",8
"5","13",1
"5","15",5
"5","22",2
"5","33",11
"5","7",1
"11","9",2
"11","12",3
"11","13",1
"11","15",3
"11","22",4
"11","25",3
"11","7",2
"40","4",5
"40","12",3
"40","15",1
"40","22",1
"40","25",1
"40","31",7
"40","32",4
"40","33",7
"40","7",1
"40","36",2
"40","27",2
"40","8",1
"31","40",10
"31","4",2
"31","9",4
"31","13",4
"31","15",8
"31","25",3
"31","32",14
"31","33",10
"31","3",1
"31","7",2
"31","23",5
"31","27",1
"31","8",1
"36","9",3
"36","12",1
"36","13",3
"36","15",1
"36","3",4
"36","7",1
"8","4",1
"8","7",2
"8","23",2
"8","25",2
"8","27",5
"8","31",1
"8","32",1
"8","33",4
