Source,Target,Weight
"30","3",3
"30","5",32
"30","7",11
"30","9",9
"30","10",5
"30","22",7
"30","26",21
"30","33",15
"30","44",29
"30","77",2
"30","29",2
"30","6",6
"30","22",3
"30","11",2
"30","27",1
"30","28",1
"3","30",6
"3","5",26
"3","7",38
"3","9",1
"3","10",19
"3","22",10
"3","26",27
"3","33",24
"3","44",30
"3","77",2
"3","20",3
"3","29",10
"3","22",6
"3","27",2
"3","28",4
"3","11",1
"5","30",34
"5","3",26
"5","7",37
"5","9",10
"5","10",12
"5","22",5
"5","26",17
"5","33",84
"5","44",86
"5","77",5
"5","18",1
"5","20",1
"5","29",18
"5","6",7
"5","22",2
"5","28",1
"7","30",3
"7","3",29
"7","5",30
"7","9",13
"7","10",38
"7","22",20
"7","26",28
"7","33",75
"7","44",21
"7","77",9
"7","18",3
"7","20",6
"7","29",33
"7","6",7
"7","22",20
"7","11",2
"7","27",5
"9","3",5
"9","5",4
"9","7",15
"9","10",8
"9","22",14
"9","26",4
"9","33",9
"9","44",4
"9","77",1
"9","20",5
"9","29",7
"9","6",1
"9","22",4
"9","28",1
"10","30",5
"10","3",19
"10","5",8
"10","7",43
"10","9",11
"10","22",16
"10","26",27
"10","33",30
"10","44",14
"10","77",3
"10","29",11
"10","6",8
"10","22",7
"22","30",1
"22","3",9
"22","5",4
"22","7",14
"22","9",5
"22","10",21
"22","26",7
"22","33",10
"22","44",4
"22","77",2
"22","20",3
"22","29",10
"26","30",7
"26","3",24
"26","5",18
"26","7",21
"26","9",7
"26","10",43
"26","22",12
"26","33",4
"26","44",55
"26","77",4
"26","20",8
"26","29",13
"26","6",10
"26","22",24
"26","11",3
"26","27",6
"26","28",9
"33","30",19
"33","3",23
"33","5",72
"33","7",75
"33","9",11
"33","10",23
"33","22",19
"33","26",17
"33","44",29
"33","77",11
"33","18",2
"33","20",11
"33","29",34
"33","6",9
"33","22",16
"33","11",2
"33","27",7
"33","28",2
"44","30",20
"44","3",19
"44","5",62
"44","7",21
"44","9",9
"44","10",18
"44","22",12
"44","26",57
"44","33",22
"44","77",1
"44","18",2
"44","20",2
"44","29",9
"44","6",6
"44","22",8
"44","11",1
"44","27",12
"77","5",3
"77","7",9
"77","10",3
"77","22",5
"77","26",1
"77","33",11
"77","18",1
"77","22",1
"77","11",2
"18","7",1
"18","10",1
"18","22",1
"18","26",1
"18","33",2
"18","6",1
"18","22",1
"20","5",1
"20","7",8
"20","9",2
"20","10",1
"20","22",1
"20","26",4
"20","33",9
"20","44",3
"20","29",2
"20","22",4
"29","3",8
"29","5",7
"29","7",33
"29","9",5
"29","10",9
"29","22",4
"29","26",10
"29","33",42
"29","44",7
"29","20",1
"29","6",6
"29","22",6
"29","27",2
"29","28",4
"6","30",6
"6","5",13
"6","7",6
"6","10",4
"6","22",2
"6","26",11
"6","29",3
"6","33",9
"6","44",8
"6","77",2
"22","30",1
"22","5",1
"22","6",1
"22","7",11
"22","9",8
"22","10",11
"22","26",18
"22","29",5
"22","33",15
"22","44",3
"22","11",1
"22","20",6
"22","77",1
"22","18",4
"22","3",8
"22","28",8
"11","7",2
"11","22",5
"11","29",2
"11","33",1
"11","20",1
"27","3",1
"27","7",5
"27","26",4
"27","28",1
"27","33",12
"27","44",8
"28","3",7
"28","7",3
"28","22",11
"28","26",7
"28","29",5
"28","44",2
