Source,Target,Weight
"915","916",5
"915","918",2
"915","919",2
"915","920",2
"915","921",2
"915","922",2
"915","923",1
"915","924",2
"915","925",4
"915","926",1
"916","915",1
"916","917",3
"916","918",1
"916","919",2
"916","920",4
"916","921",2
"916","922",6
"916","923",5
"916","924",4
"916","925",5
"917","915",3
"917","916",2
"917","918",1
"917","919",1
"917","920",4
"917","921",3
"917","923",1
"917","925",2
"918","916",1
"918","917",1
"918","920",1
"918","921",1
"918","922",3
"918","923",3
"918","924",3
"918","925",5
"919","915",1
"919","916",4
"919","918",2
"919","920",1
"919","921",2
"919","922",6
"919","924",3
"919","925",3
"920","915",2
"920","916",3
"920","918",3
"920","919",5
"920","921",2
"920","922",2
"920","923",2
"920","924",3
"920","925",3
"920","926",2
"921","915",1
"921","916",3
"921","917",1
"921","918",3
"921","919",2
"921","920",1
"921","922",4
"921","923",5
"921","924",4
"921","925",2
"922","916",5
"922","917",2
"922","918",2
"922","919",4
"922","920",2
"922","921",1
"922","923",2
"922","924",7
"922","925",5
"922","926",1
"923","915",1
"923","916",2
"923","917",2
"923","918",2
"923","920",3
"923","921",4
"923","922",2
"923","924",4
"923","925",4
"924","915",1
"924","916",4
"924","917",2
"924","918",3
"924","919",4
"924","920",3
"924","921",3
"924","922",6
"924","923",2
"924","925",5
"925","916",2
"925","917",1
"925","918",5
"925","919",3
"925","922",2
"925","923",3
"925","924",2
"925","926",3
"926","916",1
"926","925",1
