Source,Target,Weight
"31","2",7
"31","7",3
"31","8",2
"31","9",9
"31","17",5
"31","23",4
"31","29",10
"31","37",5
"31","6",3
"31","10",3
"31","21",3
"31","19",3
"2","31",15
"2","7",4
"2","8",4
"2","9",5
"2","17",25
"2","23",17
"2","29",6
"2","34",7
"2","37",1
"2","6",16
"2","10",3
"2","25",5
"2","21",20
"2","19",10
"2","30",10
"2","5",9
"2","32",5
"2","49",1
"7","2",6
"7","8",10
"7","9",8
"7","17",9
"7","20",2
"7","29",2
"7","37",3
"7","6",16
"7","10",2
"7","21",5
"7","19",7
"7","32",1
"7","5",5
"7","3",1
"8","2",4
"8","7",6
"8","9",5
"8","17",9
"8","20",7
"8","23",3
"8","29",12
"8","34",6
"8","37",5
"8","6",12
"8","10",1
"8","25",1
"8","21",4
"8","19",3
"8","5",3
"9","2",6
"9","7",7
"9","8",6
"9","17",4
"9","20",5
"9","23",15
"9","29",12
"9","34",10
"9","37",5
"9","6",15
"9","10",5
"9","25",7
"9","21",14
"9","19",11
"9","5",5
"9","3",1
"9","49",2
"9","11",2
"17","31",13
"17","2",14
"17","7",18
"17","8",10
"17","9",12
"17","20",3
"17","23",5
"17","29",5
"17","34",9
"17","37",5
"17","6",28
"17","10",1
"17","21",17
"17","19",6
"17","32",9
"17","5",7
"17","49",6
"17","11",1
"17","30",8
"20","2",3
"20","8",10
"20","9",6
"20","17",2
"20","23",2
"20","29",6
"20","34",3
"20","37",5
"20","6",5
"20","10",1
"20","25",1
"20","5",1
"20","21",3
"23","31",1
"23","2",16
"23","7",1
"23","8",3
"23","9",23
"23","17",8
"23","20",5
"23","29",8
"23","34",9
"23","37",3
"23","6",16
"23","10",11
"23","25",6
"23","21",34
"23","19",20
"23","30",4
"23","5",4
"23","3",3
"23","22",1
"23","32",3
"23","49",9
"29","2",2
"29","7",3
"29","8",6
"29","9",8
"29","17",2
"29","20",4
"29","23",4
"29","34",4
"29","37",4
"29","6",6
"29","10",3
"29","21",3
"29","19",6
"29","3",1
"34","31",3
"34","2",15
"34","7",5
"34","8",5
"34","9",8
"34","17",15
"34","20",4
"34","23",8
"34","29",7
"34","37",2
"34","6",16
"34","10",3
"34","25",6
"34","21",13
"34","19",8
"34","5",17
"34","22",1
"34","32",3
"34","49",9
"37","2",6
"37","7",6
"37","8",9
"37","9",4
"37","17",4
"37","20",1
"37","23",3
"37","29",2
"37","6",2
"37","21",1
"6","31",1
"6","2",20
"6","7",7
"6","8",13
"6","9",7
"6","17",37
"6","20",8
"6","23",21
"6","29",6
"6","34",20
"6","37",4
"6","10",7
"6","25",7
"6","21",42
"6","19",21
"6","30",4
"6","5",25
"6","3",1
"6","32",4
"6","49",3
"10","7",1
"10","8",2
"10","9",4
"10","17",2
"10","23",1
"10","29",4
"10","34",2
"10","37",1
"10","6",6
"10","25",1
"10","21",4
"10","19",7
"10","49",2
"25","7",2
"25","9",6
"25","17",1
"25","20",1
"25","23",4
"25","34",3
"25","6",4
"25","10",3
"25","5",5
"25","19",9
"25","21",3
"25","49",1
"21","31",1
"21","2",20
"21","6",30
"21","7",8
"21","8",7
"21","9",24
"21","17",14
"21","23",38
"21","29",12
"21","10",6
"21","19",15
"21","34",10
"21","30",3
"21","5",8
"21","20",3
"21","3",4
"21","22",1
"21","32",2
"21","25",5
"21","49",4
"19","31",1
"19","2",3
"19","6",13
"19","7",5
"19","8",2
"19","9",11
"19","17",4
"19","21",14
"19","23",19
"19","29",6
"19","10",4
"19","34",7
"19","5",8
"19","25",5
"19","49",8
"19","30",2
"30","2",12
"30","5",11
"30","6",5
"30","9",2
"30","21",7
"30","23",2
"30","29",4
"30","3",1
"30","10",2
"30","17",6
"5","30",6
"5","2",14
"5","6",27
"5","8",9
"5","9",7
"5","20",2
"5","21",17
"5","23",6
"5","29",4
"5","34",13
"5","32",7
"5","17",6
"5","19",7
"5","25",7
"5","49",1
"5","7",5
"5","11",1
"3","30",1
"3","5",3
"3","6",3
"3","9",1
"3","21",1
"3","17",2
"3","19",5
"22","34",2
"22","10",1
"32","5",17
"32","6",1
"32","9",7
"32","17",1
"32","19",2
"32","21",3
"32","23",4
"32","25",2
"32","34",4
"32","49",1
"32","7",2
"32","2",6
"32","10",1
"49","5",2
"49","6",1
"49","9",4
"49","19",5
"49","21",4
"49","23",9
"49","25",3
"49","34",3
"49","11",2
"11","6",1
"11","19",1
