Source,Target,Weight
"12","4",12
"12","5",3
"12","6",24
"12","10",18
"12","14",12
"12","17",7
"12","23",2
"12","25",8
"12","55",13
"12","77",5
"12","11",1
"12","19",1
"12","80",5
"12","8",2
"12","20",2
"12","5",1
"12","35",4
"12","33",3
"12","7",2
"12","26",1
"12","22",1
"4","12",17
"4","5",4
"4","6",51
"4","10",8
"4","14",20
"4","17",43
"4","23",16
"4","25",13
"4","55",66
"4","77",25
"4","11",12
"4","19",2
"4","80",4
"4","8",13
"4","20",2
"4","5",11
"4","35",4
"4","33",7
"4","7",6
"4","26",2
"5","4",4
"5","6",4
"5","10",4
"5","14",1
"5","17",1
"5","23",6
"5","25",1
"5","55",7
"5","77",5
"6","12",15
"6","4",59
"6","5",5
"6","10",31
"6","14",69
"6","17",11
"6","23",19
"6","25",4
"6","55",54
"6","77",10
"6","11",6
"6","19",3
"6","80",9
"6","8",8
"6","20",1
"6","5",6
"6","35",3
"6","33",1
"6","7",2
"6","26",5
"6","22",8
"10","12",4
"10","4",6
"10","5",7
"10","6",15
"10","14",48
"10","17",4
"10","23",21
"10","25",8
"10","55",35
"10","77",12
"10","11",4
"10","19",5
"10","80",2
"10","8",17
"10","20",3
"10","5",10
"10","35",6
"10","33",1
"10","7",3
"10","26",2
"14","12",6
"14","4",20
"14","5",3
"14","6",56
"14","10",80
"14","17",2
"14","23",28
"14","25",14
"14","55",49
"14","77",3
"14","11",11
"14","19",8
"14","80",12
"14","8",17
"14","20",5
"14","5",17
"14","35",7
"14","33",1
"14","7",7
"14","26",2
"14","22",10
"17","12",20
"17","4",29
"17","5",2
"17","6",14
"17","10",10
"17","14",3
"17","23",10
"17","25",11
"17","55",40
"17","77",36
"17","11",5
"17","19",5
"17","80",1
"17","8",7
"17","5",8
"17","35",7
"17","7",3
"17","22",1
"23","4",11
"23","5",1
"23","6",6
"23","10",25
"23","14",21
"23","17",12
"23","25",5
"23","55",21
"23","77",9
"23","80",3
"23","8",5
"23","20",2
"23","5",6
"23","35",8
"23","33",3
"23","7",4
"25","4",5
"25","6",2
"25","10",7
"25","14",3
"25","17",5
"25","23",15
"25","55",4
"25","77",6
"25","11",1
"25","19",1
"25","8",1
"25","33",2
"25","7",2
"25","26",1
"25","22",1
"55","12",14
"55","4",65
"55","5",7
"55","6",53
"55","10",53
"55","14",63
"55","17",39
"55","23",29
"55","25",15
"55","77",30
"55","11",9
"55","19",8
"55","80",1
"55","8",26
"55","20",8
"55","5",21
"55","35",4
"55","33",8
"55","7",3
"55","26",13
"77","4",8
"77","5",3
"77","6",4
"77","10",12
"77","14",3
"77","17",25
"77","23",9
"77","25",8
"77","55",26
"77","11",7
"77","19",2
"77","80",1
"77","8",3
"77","20",5
"77","5",2
"77","35",1
"77","33",4
"77","7",3
"77","26",1
"11","12",2
"11","4",10
"11","6",5
"11","10",2
"11","14",7
"11","17",1
"11","23",1
"11","25",3
"11","55",18
"11","77",10
"11","19",2
"11","80",7
"11","7",5
"11","26",1
"11","33",1
"11","22",1
"11","35",1
"11","20",1
"19","12",1
"19","4",2
"19","6",2
"19","10",3
"19","14",4
"19","17",7
"19","25",3
"19","55",5
"19","77",4
"19","11",2
"19","80",1
"19","8",2
"19","20",2
"19","5",1
"80","4",2
"80","6",4
"80","10",3
"80","14",8
"80","17",2
"80","23",4
"80","25",2
"80","55",4
"80","77",1
"80","11",4
"80","20",1
"80","7",1
"80","33",1
"80","5",3
"80","22",5
"80","35",1
"8","12",3
"8","4",11
"8","6",11
"8","10",17
"8","14",11
"8","17",2
"8","23",6
"8","25",4
"8","55",13
"8","77",9
"8","19",1
"8","20",1
"8","80",1
"8","33",1
"8","35",2
"8","7",3
"20","4",2
"20","6",1
"20","8",3
"20","10",2
"20","14",1
"20","17",2
"20","23",3
"20","25",4
"20","55",8
"20","77",1
"20","19",1
"20","80",1
"20","5",2
"20","33",2
"20","7",1
"20","22",1
"20","11",1
"5","12",1
"5","4",9
"5","6",16
"5","10",5
"5","14",10
"5","17",7
"5","23",9
"5","35",1
"5","55",16
"5","77",6
"5","19",2
"5","20",3
"5","25",2
"5","22",3
"5","80",3
"5","11",1
"35","5",3
"35","10",4
"35","14",1
"35","17",1
"35","23",1
"35","55",3
"35","77",4
"35","20",3
"35","33",1
"35","7",3
"35","80",2
"35","11",1
"33","12",2
"33","4",2
"33","6",1
"33","8",2
"33","10",5
"33","14",1
"33","23",2
"33","25",1
"33","55",8
"33","77",7
"33","20",4
"33","35",1
"33","7",1
"33","11",1
"33","80",1
"7","4",1
"7","6",3
"7","10",3
"7","14",4
"7","17",2
"7","23",2
"7","25",4
"7","55",3
"7","77",7
"7","35",2
"7","11",3
"7","26",2
"7","80",3
"7","20",1
"26","4",1
"26","6",1
"26","7",2
"26","10",5
"26","11",6
"26","14",6
"26","25",3
"26","55",4
"26","77",1
"22","5",1
"22","6",3
"22","7",2
"22","14",8
"22","23",1
"22","35",1
"22","80",6
"22","11",1
"22","25",1
