Source,Target,Weight
"1","7",14
"1","8",10
"1","10",10
"1","11",6
"1","14",7
"1","16",2
"1","19",4
"1","21",38
"1","28",14
"1","9",5
"1","12",8
"1","27",21
"1","26",9
"1","2",4
"1","23",7
"1","4",15
"7","1",3
"7","8",31
"7","10",52
"7","11",25
"7","14",19
"7","16",4
"7","19",20
"7","21",29
"7","28",16
"7","9",7
"7","12",18
"7","27",37
"7","26",23
"7","2",1
"7","23",3
"7","4",14
"8","1",16
"8","7",24
"8","10",37
"8","11",11
"8","15",2
"8","16",9
"8","19",22
"8","21",21
"8","28",10
"8","9",3
"8","12",12
"8","27",5
"8","26",6
"8","23",1
"8","4",1
"10","1",1
"10","7",43
"10","8",35
"10","11",44
"10","14",15
"10","16",21
"10","19",21
"10","21",38
"10","28",7
"10","9",14
"10","12",22
"10","27",57
"10","26",35
"10","2",2
"10","23",10
"10","4",19
"10","24",1
"11","1",2
"11","7",17
"11","8",3
"11","10",24
"11","14",3
"11","16",8
"11","19",1
"11","21",3
"11","9",14
"11","12",5
"11","27",37
"11","26",16
"11","2",1
"11","23",4
"11","4",1
"14","1",5
"14","7",18
"14","10",16
"14","11",2
"14","15",3
"14","16",6
"14","19",7
"14","21",15
"14","28",9
"14","9",2
"14","27",5
"14","26",7
"14","4",3
"15","1",1
"15","7",1
"15","10",1
"15","11",2
"15","16",4
"15","19",1
"16","7",13
"16","8",12
"16","10",12
"16","11",5
"16","14",3
"16","15",3
"16","19",6
"16","21",1
"16","28",6
"16","9",3
"19","1",1
"19","7",15
"19","8",17
"19","10",16
"19","11",3
"19","14",6
"19","15",3
"19","16",8
"19","21",13
"19","28",1
"19","9",3
"19","27",5
"19","26",5
"19","23",6
"19","4",1
"21","1",17
"21","7",44
"21","8",30
"21","10",37
"21","11",6
"21","14",18
"21","15",2
"21","16",7
"21","19",10
"21","28",20
"21","9",4
"21","12",8
"21","27",20
"21","26",17
"21","23",2
"21","4",17
"21","24",1
"28","1",10
"28","7",10
"28","8",9
"28","10",20
"28","11",3
"28","14",4
"28","15",3
"28","16",1
"28","19",2
"28","21",20
"28","9",4
"28","12",6
"28","27",15
"28","26",4
"28","4",1
"28","24",1
"9","7",12
"9","8",3
"9","10",6
"9","11",8
"9","16",1
"9","19",1
"9","12",5
"9","27",6
"9","26",8
"9","23",2
"9","24",2
"12","1",1
"12","7",9
"12","8",10
"12","10",19
"12","11",6
"12","16",3
"12","19",1
"12","21",3
"12","9",2
"12","27",7
"12","26",10
"12","23",1
"12","4",7
"27","1",16
"27","7",46
"27","8",3
"27","10",57
"27","11",43
"27","14",7
"27","15",1
"27","16",6
"27","19",2
"27","21",24
"27","28",10
"27","9",19
"27","12",6
"27","26",25
"27","4",20
"27","24",3
"26","7",20
"26","8",4
"26","9",9
"26","10",31
"26","14",4
"26","19",4
"26","21",7
"26","27",17
"26","28",6
"26","11",22
"26","12",9
"26","23",9
"26","4",3
"2","1",3
"2","7",2
"2","10",2
"2","11",1
"2","21",1
"23","7",5
"23","10",9
"23","11",2
"23","19",2
"23","21",2
"23","26",7
"23","27",4
"23","12",1
"4","1",15
"4","7",13
"4","8",1
"4","10",12
"4","11",3
"4","19",6
"4","21",25
"4","23",3
"4","26",1
"4","27",17
"4","9",2
"4","12",9
"4","14",4
"4","24",1
"4","28",2
"24","7",1
"24","10",1
"24","11",1
"24","21",2
"24","27",3
"24","9",2
