Source,Target,Weight
"16","2",4
"16","3",20
"16","6",27
"16","15",8
"16","18",2
"16","20",1
"16","24",1
"16","27",5
"16","29",7
"16","34",1
"16","4",7
"16","14",21
"16","28",8
"16","99",2
"16","25",3
"16","10",2
"2","16",5
"2","3",26
"2","6",11
"2","11",6
"2","15",15
"2","18",4
"2","20",12
"2","24",1
"2","27",13
"2","29",28
"2","34",17
"2","4",2
"2","14",21
"2","28",29
"2","25",11
"2","10",4
"3","16",14
"3","2",18
"3","6",43
"3","11",1
"3","15",11
"3","18",3
"3","20",7
"3","24",1
"3","27",16
"3","29",10
"3","34",3
"3","77",1
"3","4",3
"3","14",3
"3","25",3
"3","28",6
"3","10",4
"3","99",1
"6","16",17
"6","2",12
"6","3",27
"6","11",4
"6","15",25
"6","18",10
"6","20",22
"6","24",4
"6","27",23
"6","29",5
"6","34",3
"6","77",2
"6","82",1
"6","4",24
"6","14",46
"6","28",16
"6","25",4
"6","10",13
"11","2",2
"11","6",1
"11","15",7
"11","18",1
"11","20",3
"11","24",1
"11","27",3
"11","29",5
"11","34",3
"11","4",4
"11","14",4
"11","28",4
"11","25",2
"11","10",2
"15","16",3
"15","2",21
"15","3",15
"15","6",17
"15","11",4
"15","18",7
"15","20",11
"15","24",1
"15","27",31
"15","29",21
"15","34",11
"15","4",12
"15","14",15
"15","28",14
"15","25",10
"15","10",12
"18","2",5
"18","3",4
"18","6",3
"18","11",2
"18","15",5
"18","20",5
"18","27",10
"18","29",5
"18","34",3
"18","4",4
"18","14",3
"18","28",5
"18","99",2
"18","10",1
"20","2",10
"20","3",1
"20","6",13
"20","11",4
"20","15",16
"20","18",4
"20","24",4
"20","27",16
"20","29",16
"20","34",2
"20","77",4
"20","82",1
"20","4",7
"20","14",9
"20","28",15
"20","25",4
"20","10",2
"24","2",1
"24","3",1
"24","6",2
"24","15",3
"24","20",5
"24","27",1
"27","16",3
"27","2",17
"27","3",14
"27","6",19
"27","11",5
"27","15",37
"27","18",6
"27","20",11
"27","24",2
"27","29",12
"27","34",5
"27","82",1
"27","4",2
"27","14",17
"27","25",11
"27","28",24
"27","10",14
"29","16",2
"29","2",12
"29","3",2
"29","6",4
"29","11",5
"29","15",13
"29","18",3
"29","20",9
"29","27",9
"29","34",2
"29","82",1
"29","4",4
"29","14",5
"29","28",12
"29","25",4
"29","10",5
"34","2",11
"34","3",7
"34","6",1
"34","11",3
"34","15",10
"34","18",1
"34","20",3
"34","27",8
"34","4",1
"34","14",1
"34","28",2
"34","25",2
"34","10",1
"77","11",1
"77","15",1
"77","27",2
"77","34",1
"82","6",1
"82","27",1
"4","16",2
"4","2",1
"4","6",10
"4","11",5
"4","14",5
"4","15",12
"4","20",13
"4","28",11
"4","29",5
"4","34",7
"4","18",6
"4","99",2
"4","25",7
"4","3",2
"4","27",5
"4","10",4
"14","16",10
"14","2",14
"14","4",1
"14","6",41
"14","11",1
"14","15",23
"14","20",10
"14","28",23
"14","29",13
"14","34",3
"14","18",5
"14","25",6
"14","3",4
"14","27",18
"14","10",18
"28","16",1
"28","2",15
"28","4",12
"28","6",14
"28","11",3
"28","14",18
"28","15",26
"28","20",15
"28","29",26
"28","34",10
"28","18",5
"28","25",3
"28","3",7
"28","27",15
"28","10",15
"9","18",1
"99","15",1
"99","28",1
"99","18",1
"99","3",1
"25","2",10
"25","4",4
"25","6",4
"25","11",2
"25","14",3
"25","15",12
"25","20",2
"25","28",4
"25","29",5
"25","3",1
"25","34",3
"25","27",8
"25","10",5
"10","16",1
"10","2",6
"10","4",4
"10","11",3
"10","14",8
"10","15",13
"10","25",4
"10","27",12
"10","28",9
"10","34",1
"10","3",4
"10","29",10
"10","18",2
