Source,Target,Weight
"936","937",1
"936","938",2
"936","939",2
"936","940",2
"936","941",1
"936","942",1
"936","943",1
"936","944",2
"936","945",1
"936","946",1
"936","947",1
"936","949",1
"936","1025",1
"936","1026",2
"936","1027",4
"936","1206",1
"936","1229",1
"936","1247",1
"937","936",4
"937","938",1
"937","939",4
"937","940",1
"937","941",3
"937","942",1
"937","943",1
"937","944",3
"937","945",1
"937","946",2
"937","948",1
"937","949",1
"937","1025",1
"937","1026",2
"937","1027",1
"937","1179",1
"937","1229",3
"937","1230",1
"937","1247",1
"938","936",1
"938","939",1
"938","940",3
"938","941",3
"938","942",1
"938","943",1
"938","944",2
"938","945",1
"938","946",1
"938","949",1
"938","1025",1
"938","1026",2
"938","1027",1
"938","1247",1
"939","936",2
"939","937",4
"939","938",2
"939","940",2
"939","941",4
"939","942",1
"939","943",2
"939","944",4
"939","945",2
"939","946",2
"939","947",1
"939","948",1
"939","949",1
"939","1025",2
"939","1026",5
"939","1027",1
"939","1179",1
"939","1206",1
"939","1229",2
"940","937",1
"940","938",1
"940","939",1
"940","941",3
"940","942",1
"940","943",1
"940","944",2
"940","945",3
"940","946",2
"940","948",1
"940","949",1
"940","1025",1
"940","1026",2
"940","1027",2
"940","1179",1
"940","1206",1
"940","1229",1
"941","936",1
"941","937",2
"941","938",3
"941","939",3
"941","940",5
"941","942",1
"941","943",2
"941","944",3
"941","945",4
"941","946",2
"941","947",1
"941","948",1
"941","949",1
"941","1025",3
"941","1026",7
"941","1027",2
"941","1179",1
"941","1206",1
"941","1229",1
"941","1230",1
"941","1247",1
"942","937",1
"942","938",1
"942","939",1
"942","940",1
"942","941",1
"942","943",1
"942","944",1
"942","945",1
"942","946",1
"942","947",1
"942","948",1
"943","938",2
"943","939",2
"943","940",1
"943","941",2
"943","942",1
"943","944",1
"943","945",1
"943","947",1
"943","948",1
"943","949",1
"943","1025",1
"943","1026",2
"943","1027",2
"943","1179",1
"943","1229",1
"943","1247",1
"944","936",2
"944","937",3
"944","938",2
"944","939",3
"944","940",4
"944","941",4
"944","942",1
"944","943",2
"944","945",4
"944","946",3
"944","948",1
"944","949",2
"944","1025",2
"944","1026",4
"944","1027",2
"944","1179",1
"944","1206",1
"944","1229",2
"944","1230",1
"945","936",1
"945","937",1
"945","938",2
"945","939",1
"945","940",3
"945","941",3
"945","942",1
"945","943",1
"945","944",3
"945","946",4
"945","947",1
"945","1025",2
"945","1026",2
"945","1027",1
"945","1179",1
"945","1206",1
"945","1229",2
"945","1230",1
"945","1247",1
"946","936",2
"946","937",3
"946","938",1
"946","939",2
"946","940",2
"946","941",3
"946","942",1
"946","943",1
"946","944",4
"946","945",5
"946","947",1
"946","949",1
"946","1025",2
"946","1026",1
"946","1027",1
"946","1179",1
"946","1206",2
"946","1247",1
"946","1229",1
"947","944",1
"947","945",1
"947","1179",1
"948","939",1
"948","940",1
"948","944",1
"948","945",1
"948","946",1
"948","1025",1
"948","1026",1
"949","937",1
"949","938",1
"949","940",1
"949","941",1
"949","943",1
"949","944",1
"949","946",1
"949","1179",1
"949","1206",1
"949","1026",1
"949","1027",1
"949","1247",1
"949","1229",1
"949","1025",1
"1025","937",1
"1025","938",1
"1025","939",2
"1025","940",3
"1025","941",2
"1025","944",2
"1025","945",1
"1025","1026",2
"1025","946",1
"1025","948",1
"1025","1179",1
"1025","947",1
"1025","1229",1
"1025","949",1
"1026","936",1
"1026","937",2
"1026","938",4
"1026","939",3
"1026","940",3
"1026","941",6
"1026","1025",2
"1026","944",4
"1026","945",3
"1026","946",1
"1026","948",1
"1026","943",3
"1026","1027",3
"1026","1179",2
"1026","947",1
"1026","1206",1
"1026","949",1
"1026","1229",1
"1026","1230",1
"1026","1247",1
"1027","937",1
"1027","938",1
"1027","939",1
"1027","940",3
"1027","941",1
"1027","944",2
"1027","945",1
"1027","1026",1
"1027","946",1
"1027","943",1
"1027","947",1
"1027","949",1
"1027","1229",1
"1027","1247",1
"1179","940",1
"1179","941",1
"1179","944",1
"1179","945",1
"1179","1026",2
"1179","946",1
"1179","1206",1
"1179","943",1
"1179","949",1
"1206","936",1
"1206","1179",1
"1206","939",2
"1206","940",1
"1206","941",1
"1206","943",1
"1206","944",1
"1206","945",1
"1206","1026",1
"1206","946",2
"1206","949",1
"1206","1027",1
"1229","936",1
"1229","937",2
"1229","938",1
"1229","939",1
"1229","940",2
"1229","941",2
"1229","1025",1
"1229","944",3
"1229","945",2
"1229","1026",1
"1229","943",1
"1229","1230",1
"1229","1027",2
"1229","1247",1
"1229","1206",1
"1229","949",1
"1229","946",2
"1230","941",1
"1230","1026",1
"1247","1206",1
"1247","949",1
"1247","943",1
"1247","1027",1
"1247","944",1
"1247","945",1
"1247","946",1
"1247","940",1
