Source,Target,Weight
"1709","1710",1
"1709","1711",3
"1709","1712",2
"1709","1715",2
"1709","1718",5
"1709","1834",1
"1710","1709",2
"1710","1712",4
"1710","1713",3
"1710","1714",4
"1710","1715",2
"1710","1716",7
"1710","1717",1
"1710","1718",3
"1710","1719",2
"1710","1720",1
"1710","1721",1
"1710","1833",1
"1711","1710",2
"1711","1712",1
"1711","1713",4
"1711","1714",3
"1711","1715",6
"1711","1716",2
"1711","1717",1
"1711","1718",4
"1711","1719",1
"1711","1720",2
"1711","1833",4
"1712","1709",2
"1712","1710",9
"1712","1711",3
"1712","1713",4
"1712","1714",7
"1712","1716",5
"1712","1717",1
"1712","1718",8
"1712","1719",2
"1712","1833",2
"1713","1709",1
"1713","1710",5
"1713","1711",5
"1713","1712",4
"1713","1714",9
"1713","1715",4
"1713","1716",3
"1713","1717",2
"1713","1718",5
"1713","1719",1
"1713","1720",4
"1713","1721",2
"1713","1833",2
"1713","1834",2
"1714","1709",1
"1714","1710",3
"1714","1711",5
"1714","1712",4
"1714","1713",7
"1714","1715",3
"1714","1716",5
"1714","1717",1
"1714","1718",4
"1714","1719",2
"1714","1720",3
"1714","1833",2
"1714","1834",4
"1715","1710",1
"1715","1711",3
"1715","1713",2
"1715","1714",4
"1715","1716",3
"1715","1719",1
"1715","1721",2
"1715","1833",2
"1716","1710",6
"1716","1711",2
"1716","1712",3
"1716","1713",3
"1716","1714",2
"1716","1715",4
"1716","1717",1
"1716","1718",1
"1716","1720",1
"1716","1833",1
"1716","1834",1
"1717","1710",3
"1717","1711",1
"1717","1713",1
"1717","1716",1
"1717","1719",2
"1718","1709",3
"1718","1710",1
"1718","1711",9
"1718","1712",6
"1718","1713",3
"1718","1714",5
"1718","1715",3
"1718","1716",1
"1718","1721",1
"1718","1833",5
"1718","1834",2
"1719","1713",2
"1719","1714",2
"1719","1715",3
"1719","1833",2
"1720","1710",2
"1720","1711",2
"1720","1712",1
"1720","1714",2
"1720","1715",2
"1720","1716",2
"1720","1834",2
"1721","1710",2
"1721","1711",1
"1721","1714",2
"1833","1711",4
"1833","1712",3
"1833","1713",2
"1833","1714",2
"1833","1715",2
"1833","1716",2
"1833","1718",2
"1833","1719",1
"1834","1710",1
"1834","1713",2
"1834","1714",1
"1834","1715",1
"1834","1720",2
