Source,Target,Weight
"34","2",6
"34","3",2
"34","5",1
"34","6",3
"34","7",1
"34","11",3
"34","77",3
"2","34",2
"2","3",8
"2","5",4
"2","6",15
"2","7",1
"2","11",2
"2","21",9
"2","27",1
"2","9",1
"3","34",1
"3","2",7
"3","5",2
"3","6",3
"3","7",6
"3","11",2
"3","21",4
"3","27",4
"3","38",3
"3","77",3
"3","9",14
"3","10",1
"3","16",1
"5","34",1
"5","2",7
"5","3",5
"5","6",5
"5","7",2
"5","11",2
"5","21",2
"5","38",2
"5","77",9
"5","9",2
"5","10",2
"5","16",2
"6","34",4
"6","2",6
"6","3",4
"6","5",8
"6","7",1
"6","11",2
"6","21",2
"6","38",4
"6","77",3
"6","9",3
"6","16",3
"7","2",1
"7","3",3
"7","5",2
"7","11",3
"7","21",1
"7","38",1
"7","77",2
"7","9",1
"7","10",2
"11","34",1
"11","3",6
"11","5",1
"11","6",1
"11","7",1
"11","21",5
"11","27",1
"11","38",3
"11","77",7
"11","9",1
"11","16",1
"21","34",1
"21","2",8
"21","3",8
"21","5",5
"21","6",2
"21","11",1
"21","38",1
"21","9",1
"27","3",2
"27","7",1
"27","11",2
"38","2",2
"38","5",1
"38","6",1
"38","7",1
"38","11",4
"38","77",3
"38","9",2
"38","10",2
"77","34",2
"77","2",3
"77","3",2
"77","5",9
"77","6",2
"77","7",5
"77","11",7
"77","21",2
"77","27",1
"77","38",5
"77","9",1
"77","10",1
"9","2",1
"9","3",8
"9","5",1
"9","7",4
"9","11",2
"9","21",1
"9","38",1
"9","16",2
"10","5",4
"10","11",1
"10","38",1
"10","77",2
"10","9",1
"10","16",1
"16","3",1
"16","5",1
"16","6",1
"16","7",1
"16","11",2
"16","77",2
"16","9",1
"16","10",3
