Source,Target,Weight
"1","3",8
"1","6",32
"1","7",14
"1","10",4
"1","11",2
"1","13",15
"1","14",23
"1","18",3
"1","19",16
"1","28",16
"1","17",6
"1","23",3
"1","20",9
"1","22",3
"1","4",18
"1","15",6
"1","29",3
"1","44",3
"3","1",7
"3","6",15
"3","7",48
"3","10",26
"3","11",6
"3","13",6
"3","14",13
"3","18",2
"3","19",2
"3","28",27
"3","17",5
"3","23",3
"3","15",6
"3","20",14
"3","4",2
"6","1",21
"6","3",21
"6","7",16
"6","10",19
"6","11",4
"6","13",22
"6","14",48
"6","18",25
"6","19",15
"6","28",55
"6","17",26
"6","23",11
"6","34",1
"6","20",55
"6","22",5
"6","4",40
"6","15",13
"6","29",1
"6","44",12
"6","16",1
"7","3",16
"7","6",7
"7","10",26
"7","11",9
"7","13",1
"7","14",2
"7","18",10
"7","19",25
"7","28",23
"7","17",19
"7","23",8
"7","20",21
"7","22",13
"7","4",7
"7","15",17
"7","29",6
"7","44",4
"10","3",17
"10","6",9
"10","7",27
"10","11",6
"10","13",4
"10","14",7
"10","18",5
"10","19",23
"10","28",23
"10","17",19
"10","23",9
"10","20",18
"10","22",9
"10","4",11
"10","15",13
"11","3",2
"11","6",2
"11","7",11
"11","10",4
"11","14",6
"11","18",3
"11","19",4
"11","28",5
"11","17",7
"11","23",1
"11","20",8
"11","4",3
"11","15",3
"13","1",11
"13","3",6
"13","6",24
"13","7",12
"13","10",7
"13","11",1
"13","14",8
"13","18",8
"13","19",12
"13","28",26
"13","17",9
"13","23",2
"13","15",2
"13","20",21
"13","4",7
"13","22",5
"13","29",4
"13","44",12
"13","16",2
"14","1",24
"14","3",19
"14","6",36
"14","7",19
"14","10",9
"14","11",4
"14","13",15
"14","18",8
"14","19",17
"14","28",59
"14","17",16
"14","23",4
"14","34",2
"14","20",45
"14","22",7
"14","4",10
"14","15",10
"14","16",2
"18","1",1
"18","3",10
"18","6",15
"18","7",15
"18","10",14
"18","11",3
"18","13",3
"18","14",9
"18","19",7
"18","28",12
"18","17",1
"18","23",1
"18","15",8
"18","20",13
"18","4",5
"19","1",8
"19","3",2
"19","6",20
"19","7",39
"19","10",20
"19","11",7
"19","13",12
"19","14",10
"19","18",3
"19","28",26
"19","17",24
"19","23",12
"19","34",5
"19","20",28
"19","22",2
"19","4",1
"19","15",13
"19","29",1
"28","1",2
"28","3",35
"28","6",38
"28","7",54
"28","10",30
"28","11",10
"28","13",15
"28","14",32
"28","18",15
"28","19",29
"28","17",32
"28","23",10
"28","34",6
"28","20",52
"28","22",24
"28","4",38
"28","15",22
"28","29",2
"28","44",4
"17","1",1
"17","3",10
"17","6",10
"17","7",29
"17","10",16
"17","11",8
"17","13",3
"17","14",5
"17","18",1
"17","19",12
"17","28",30
"17","23",10
"17","20",29
"17","22",10
"17","4",21
"17","15",7
"17","29",3
"17","44",4
"23","3",3
"23","6",8
"23","7",14
"23","10",10
"23","11",1
"23","14",3
"23","19",10
"23","28",6
"23","17",4
"23","20",4
"23","4",7
"23","15",4
"23","29",2
"34","7",1
"34","19",1
"34","28",3
"34","17",1
"34","23",1
"34","4",1
"34","15",1
"20","1",5
"20","6",37
"20","7",54
"20","10",34
"20","11",11
"20","14",42
"20","17",29
"20","19",28
"20","22",16
"20","28",49
"20","4",36
"20","15",34
"20","23",4
"20","3",15
"20","13",5
"20","18",10
"20","29",2
"20","44",1
"22","1",1
"22","6",2
"22","7",29
"22","10",7
"22","11",2
"22","14",8
"22","17",12
"22","19",3
"22","20",21
"22","28",18
"22","15",3
"22","23",1
"22","13",4
"22","29",3
"22","44",8
"22","16",3
"4","1",7
"4","6",50
"4","7",13
"4","10",17
"4","11",10
"4","14",7
"4","17",16
"4","20",48
"4","28",33
"4","15",19
"4","23",11
"4","3",5
"4","13",8
"4","18",7
"4","34",1
"4","29",5
"4","44",6
"4","16",1
"15","6",16
"15","7",21
"15","10",7
"15","11",12
"15","14",10
"15","17",10
"15","19",10
"15","20",14
"15","28",12
"15","4",16
"15","23",10
"15","3",9
"15","13",1
"15","18",3
"15","34",2
"29","4",1
"29","7",6
"29","17",1
"29","20",7
"29","22",2
"29","23",1
"29","28",7
"29","11",1
"29","19",1
"44","1",4
"44","4",10
"44","6",4
"44","7",3
"44","13",14
"44","17",3
"44","20",4
"44","22",7
"44","28",5
"44","29",1
"44","19",1
"16","4",1
"16","6",2
"16","7",3
"16","10",2
"16","14",3
"16","17",2
"16","20",1
"16","28",2
"16","13",2
