Source,Target,Weight
"930","131",6
"930","206",2
"930","132",1
"930","932",2
"930","933",6
"930","934",1
"930","136",2
"930","935",1
"930","139",1
"931","131",1
"931","206",7
"931","132",3
"931","932",4
"931","933",2
"931","934",4
"931","935",1
"931","139",1
"931","133",6
"931","262",3
"131","930",5
"131","931",1
"131","206",4
"131","132",8
"131","932",6
"131","933",16
"131","934",3
"131","136",13
"131","935",3
"131","139",3
"131","133",2
"131","262",3
"131","1028",2
"131","1029",2
"131","141",2
"206","930",2
"206","931",18
"206","131",2
"206","132",5
"206","932",4
"206","933",5
"206","934",3
"206","935",4
"206","133",4
"206","262",8
"206","1028",1
"206","1030",2
"206","141",1
"132","931",1
"132","131",9
"132","206",6
"132","932",3
"132","933",8
"132","934",2
"132","136",7
"132","935",2
"132","139",2
"132","133",6
"132","262",7
"132","1028",2
"132","1029",2
"132","1030",2
"932","931",2
"932","131",3
"932","206",3
"932","132",1
"932","933",2
"932","934",4
"932","136",9
"932","935",3
"932","139",1
"932","133",2
"932","262",1
"932","141",1
"933","930",5
"933","931",6
"933","131",8
"933","206",10
"933","132",6
"933","932",4
"933","934",4
"933","136",2
"933","935",7
"933","139",2
"933","133",5
"933","262",8
"933","1028",4
"933","1030",1
"933","141",2
"934","931",2
"934","131",3
"934","206",2
"934","132",4
"934","932",6
"934","933",3
"934","136",4
"934","935",3
"934","139",2
"934","133",6
"934","262",4
"136","931",2
"136","131",9
"136","206",2
"136","132",7
"136","932",11
"136","933",2
"136","934",7
"136","935",1
"136","139",5
"136","133",6
"136","262",4
"136","1029",2
"136","141",1
"935","930",2
"935","931",3
"935","131",2
"935","206",3
"935","132",2
"935","932",2
"935","933",6
"935","934",2
"935","136",1
"935","139",3
"935","133",2
"935","261",1
"139","930",1
"139","131",1
"139","206",1
"139","132",3
"139","932",2
"139","934",4
"139","136",4
"139","935",1
"133","931",7
"133","131",3
"133","206",3
"133","132",7
"133","932",5
"133","933",2
"133","934",5
"133","136",3
"133","935",1
"133","139",2
"133","262",7
"262","931",4
"262","131",4
"262","206",8
"262","132",3
"262","932",4
"262","933",4
"262","934",4
"262","136",3
"262","133",8
"262","1028",2
"262","1030",1
"1028","131",4
"1028","206",2
"1028","132",2
"1028","932",2
"1028","933",3
"1028","136",2
"1028","262",1
"1029","131",2
"1029","932",2
"1029","933",1
"1029","136",2
"1029","141",2
"1030","131",1
"1030","133",2
"1030","136",1
"1030","141",2
"141","206",3
"141","132",1
"141","932",1
"141","136",2
"141","1029",2
"141","1030",1
