Source,Target,Weight
"25","4",9
"25","8",2
"25","10",4
"25","13",8
"25","17",2
"25","19",4
"25","22",1
"25","26",6
"25","27",11
"25","53",6
"25","9",7
"25","11",16
"25","35",1
"25","3",3
"4","25",1
"4","8",24
"4","10",14
"4","13",10
"4","17",9
"4","19",4
"4","22",3
"4","26",3
"4","27",32
"4","53",8
"4","7",1
"4","9",9
"4","52",2
"4","3",1
"4","35",3
"4","50",3
"8","25",3
"8","4",24
"8","10",31
"8","13",35
"8","17",20
"8","19",17
"8","22",5
"8","26",18
"8","27",50
"8","53",17
"8","7",14
"8","9",8
"8","52",23
"8","11",35
"8","35",13
"8","55",1
"8","3",11
"10","25",4
"10","4",12
"10","8",29
"10","13",28
"10","17",11
"10","19",1
"10","22",2
"10","26",15
"10","27",24
"10","53",22
"10","7",4
"10","9",5
"10","52",16
"10","11",22
"10","50",3
"13","25",20
"13","4",11
"13","8",43
"13","10",34
"13","17",8
"13","19",4
"13","22",3
"13","26",23
"13","27",17
"13","53",9
"13","7",2
"13","9",2
"13","52",27
"13","11",43
"13","35",9
"13","55",4
"13","3",14
"13","50",1
"17","4",15
"17","8",15
"17","10",5
"17","13",5
"17","19",5
"17","26",2
"17","27",7
"17","53",10
"17","7",2
"17","9",4
"17","52",8
"17","11",2
"17","35",1
"17","3",2
"19","4",3
"19","8",5
"19","10",2
"19","13",2
"19","17",4
"19","26",2
"19","27",3
"19","53",4
"19","7",2
"19","9",3
"19","52",3
"19","11",4
"19","35",1
"22","4",2
"22","8",5
"22","10",4
"22","13",3
"22","17",4
"22","26",2
"22","53",2
"22","7",1
"22","9",2
"22","52",2
"26","25",5
"26","4",5
"26","8",29
"26","10",20
"26","13",35
"26","17",5
"26","19",2
"26","22",4
"26","27",21
"26","53",6
"26","7",4
"26","9",2
"26","52",5
"26","11",15
"26","35",2
"26","55",5
"27","25",7
"27","4",37
"27","8",40
"27","10",29
"27","13",14
"27","17",16
"27","19",6
"27","22",1
"27","26",34
"27","53",17
"27","7",11
"27","9",5
"27","52",11
"27","11",4
"27","35",7
"27","3",6
"27","50",2
"53","25",1
"53","4",7
"53","8",20
"53","10",13
"53","13",10
"53","17",11
"53","19",5
"53","22",3
"53","26",3
"53","27",7
"53","9",5
"53","52",4
"53","11",19
"7","4",1
"7","8",10
"7","10",3
"7","13",3
"7","17",3
"7","19",2
"7","26",3
"7","27",4
"7","53",2
"7","9",1
"7","52",2
"7","11",2
"9","4",10
"9","8",4
"9","10",2
"9","13",1
"9","17",8
"9","19",2
"9","22",1
"9","27",3
"9","53",6
"9","52",1
"9","11",3
"52","25",1
"52","4",2
"52","8",32
"52","10",17
"52","13",7
"52","17",7
"52","19",7
"52","22",3
"52","26",4
"52","27",6
"52","53",9
"52","7",2
"52","9",1
"52","11",26
"52","35",16
"52","55",2
"52","3",1
"11","25",4
"11","8",31
"11","10",27
"11","13",26
"11","17",12
"11","19",6
"11","26",9
"11","27",5
"11","52",46
"11","53",33
"11","7",4
"11","9",7
"11","35",4
"11","4",2
"11","3",1
"11","50",3
"35","25",2
"35","8",19
"35","11",9
"35","13",5
"35","17",3
"35","19",7
"35","26",1
"35","27",6
"35","52",13
"35","3",2
"35","4",5
"55","8",1
"55","11",1
"55","13",3
"55","26",1
"55","53",2
"55","17",1
"55","52",1
"3","25",5
"3","4",1
"3","8",5
"3","11",2
"3","13",16
"3","19",2
"3","27",11
"3","35",5
"3","52",1
"3","53",1
"50","4",1
"50","8",3
"50","10",5
"50","11",3
"50","13",1
"50","17",1
"50","27",1
"50","53",1
