Source,Target,Weight
"96","98",4
"96","99",4
"96","100",3
"96","101",2
"96","102",2
"96","103",1
"96","104",1
"96","105",2
"96","106",1
"96","107",1
"96","109",1
"96","145",1
"96","146",2
"97","100",2
"97","101",1
"97","103",2
"97","104",1
"97","106",1
"98","96",6
"98","99",4
"98","100",6
"98","101",10
"98","102",4
"98","103",4
"98","104",4
"98","105",2
"98","106",2
"98","107",2
"98","108",1
"98","109",5
"98","145",3
"98","146",1
"99","96",1
"99","97",1
"99","98",6
"99","100",3
"99","101",4
"99","102",3
"99","103",3
"99","104",3
"99","105",2
"99","106",2
"99","107",2
"99","108",1
"99","109",7
"99","145",1
"99","146",2
"100","96",2
"100","98",3
"100","99",6
"100","101",8
"100","102",3
"100","103",2
"100","104",8
"100","105",4
"100","107",2
"100","108",2
"100","109",3
"100","145",3
"100","146",2
"101","96",2
"101","98",7
"101","99",4
"101","100",10
"101","102",3
"101","103",4
"101","104",3
"101","105",1
"101","106",1
"101","107",1
"101","108",1
"101","109",3
"101","146",2
"102","96",1
"102","97",1
"102","98",2
"102","99",3
"102","100",3
"102","101",1
"102","103",2
"102","104",3
"102","105",4
"102","106",2
"102","107",1
"102","108",2
"102","109",2
"102","145",1
"102","146",1
"103","96",1
"103","98",3
"103","99",4
"103","100",3
"103","101",3
"103","102",4
"103","104",6
"103","105",3
"103","106",3
"103","107",1
"103","108",1
"103","109",3
"103","145",2
"104","96",1
"104","99",2
"104","100",4
"104","101",3
"104","102",5
"104","103",4
"104","105",1
"104","106",2
"104","109",6
"105","98",2
"105","99",2
"105","100",3
"105","101",2
"105","102",4
"105","103",3
"105","106",1
"105","107",2
"105","108",1
"105","109",2
"105","145",1
"106","97",1
"106","98",2
"106","99",3
"106","101",1
"106","102",2
"106","103",3
"106","104",1
"106","105",1
"107","98",1
"107","99",1
"107","101",2
"107","102",1
"107","103",2
"107","105",2
"107","108",2
"107","109",2
"107","146",1
"108","96",1
"108","102",1
"108","104",2
"108","105",2
"108","107",2
"108","109",2
"108","146",2
"109","98",9
"109","99",6
"109","100",4
"109","101",3
"109","102",3
"109","103",3
"109","104",4
"109","105",1
"109","107",2
"109","108",1
"109","145",3
"109","146",2
"145","99",2
"145","100",1
"145","103",1
"145","104",3
"145","105",1
"146","96",1
"146","98",2
"146","99",1
"146","100",2
"146","101",2
"146","109",3
"146","105",1
"146","107",2
"146","108",1
