Source,Target,Weight
"30","4",2
"30","6",1
"30","8",1
"30","16",4
"30","18",1
"30","20",4
"30","21",3
"30","23",2
"30","28",1
"30","25",1
"4","30",4
"4","6",6
"4","8",1
"4","16",6
"4","18",1
"4","20",3
"4","21",4
"4","23",2
"4","28",2
"6","4",3
"6","8",6
"6","16",1
"6","18",7
"6","20",5
"6","21",1
"6","23",4
"6","28",6
"8","4",5
"8","6",5
"8","16",3
"8","18",6
"8","20",4
"8","21",3
"8","23",4
"8","28",7
"8","25",1
"11","6",1
"11","8",2
"11","16",1
"11","18",1
"11","21",2
"11","28",1
"16","30",5
"16","4",7
"16","8",1
"16","11",3
"16","18",1
"16","20",3
"16","23",5
"16","28",4
"18","4",2
"18","6",2
"18","8",4
"18","11",3
"18","20",4
"18","21",5
"18","23",3
"18","28",5
"18","5",1
"18","7",1
"18","25",1
"20","30",1
"20","4",1
"20","6",5
"20","8",2
"20","11",3
"20","16",2
"20","18",6
"20","21",3
"20","23",4
"21","30",1
"21","4",1
"21","6",4
"21","8",7
"21","11",4
"21","18",8
"21","28",5
"21","7",1
"21","25",1
"23","30",1
"23","4",2
"23","6",6
"23","8",8
"23","16",4
"23","18",3
"23","20",4
"23","21",1
"23","28",2
"23","25",1
"28","4",5
"28","6",2
"28","8",4
"28","11",4
"28","16",2
"28","18",10
"28","21",13
"5","8",1
"5","18",1
"5","21",1
"7","6",2
"7","20",1
"7","5",1
"25","8",1
"25","18",1
"25","23",1
"25","28",1
