Source,Target,Weight
"1","3",31
"1","9",8
"1","10",28
"1","11",2
"1","16",4
"1","17",7
"1","19",31
"1","26",5
"1","33",6
"1","15",42
"1","12",7
"1","24",2
"1","8",7
"3","1",19
"3","9",10
"3","10",39
"3","11",10
"3","17",5
"3","19",83
"3","26",1
"3","27",10
"3","33",41
"3","15",6
"3","21",11
"3","6",6
"3","12",37
"3","8",29
"3","37",1
"9","3",6
"9","10",25
"9","11",6
"9","16",9
"9","17",4
"9","19",3
"9","26",2
"9","27",11
"9","33",9
"9","15",1
"9","21",11
"9","6",5
"9","12",10
"9","8",9
"10","3",36
"10","9",31
"10","11",24
"10","16",14
"10","17",12
"10","19",21
"10","26",6
"10","27",7
"10","33",29
"10","15",11
"10","21",18
"10","6",7
"10","7",1
"10","12",42
"10","24",1
"10","8",20
"10","37",4
"11","3",13
"11","9",9
"11","10",27
"11","16",18
"11","17",1
"11","19",11
"11","26",8
"11","27",11
"11","33",28
"11","15",8
"11","21",4
"11","6",3
"11","12",6
"11","8",1
"11","37",1
"16","1",1
"16","9",11
"16","10",10
"16","11",11
"16","17",6
"16","19",9
"16","26",18
"16","27",10
"16","33",5
"16","15",22
"16","21",12
"16","6",19
"16","7",2
"16","12",4
"16","24",1
"16","8",3
"17","9",9
"17","10",10
"17","11",3
"17","16",10
"17","26",5
"17","27",4
"17","33",2
"17","21",3
"17","6",3
"17","8",5
"17","12",4
"17","37",6
"19","1",18
"19","3",92
"19","9",9
"19","10",26
"19","11",14
"19","16",11
"19","17",4
"19","26",17
"19","27",19
"19","33",11
"19","15",74
"19","21",17
"19","6",15
"19","7",3
"19","12",7
"19","8",17
"19","37",2
"26","1",5
"26","3",1
"26","9",4
"26","10",4
"26","11",3
"26","16",26
"26","17",4
"26","19",14
"26","27",23
"26","33",1
"26","15",14
"26","21",9
"26","8",6
"26","6",5
"26","37",1
"27","3",2
"27","9",11
"27","10",6
"27","11",7
"27","16",12
"27","17",5
"27","19",8
"27","26",21
"27","15",13
"27","21",8
"27","8",7
"27","12",1
"27","37",2
"33","3",26
"33","9",16
"33","10",56
"33","11",15
"33","16",1
"33","17",6
"33","19",6
"33","26",1
"33","15",6
"33","21",4
"33","6",1
"33","12",2
"33","8",3
"33","37",1
"15","1",16
"15","3",8
"15","9",8
"15","10",23
"15","11",8
"15","16",46
"15","17",6
"15","19",73
"15","26",23
"15","27",9
"15","33",10
"15","21",10
"15","6",13
"15","7",2
"15","12",1
"15","24",2
"15","8",25
"15","37",7
"21","3",4
"21","9",12
"21","10",20
"21","11",7
"21","16",12
"21","17",5
"21","19",2
"21","26",7
"21","27",9
"21","33",5
"21","15",10
"21","6",2
"21","7",2
"21","12",7
"21","8",10
"6","3",4
"6","9",6
"6","10",5
"6","11",7
"6","15",15
"6","16",12
"6","19",7
"6","21",9
"6","33",2
"6","12",4
"6","8",2
"6","17",1
"6","37",2
"6","26",4
"7","6",2
"7","10",1
"7","15",2
"7","16",3
"7","12",1
"12","1",10
"12","3",20
"12","6",1
"12","9",15
"12","10",44
"12","11",6
"12","15",1
"12","19",13
"12","21",10
"12","33",3
"12","7",1
"12","8",13
"12","17",1
"12","37",1
"12","26",2
"12","27",4
"24","10",3
"24","15",1
"24","16",1
"8","1",3
"8","3",36
"8","6",4
"8","9",6
"8","10",14
"8","12",17
"8","15",25
"8","16",2
"8","17",5
"8","19",28
"8","7",1
"8","21",14
"8","37",2
"8","26",10
"8","27",10
"37","3",1
"37","6",1
"37","8",2
"37","10",2
"37","15",5
"37","17",1
"37","19",3
"37","7",3
"37","21",1
"37","11",3
"37","26",1
