Source,Target,Weight
"1906","1907",3
"1906","1908",1
"1906","1909",4
"1906","1910",1
"1906","1912",3
"1906","1913",4
"1906","1915",2
"1906","1916",1
"1906","807",2
"1906","1917",1
"1906","1940",1
"1906","1941",1
"1906","2023",1
"1907","1908",2
"1907","1910",2
"1907","1911",1
"1907","1912",2
"1907","1913",1
"1907","1914",1
"1907","1915",4
"1907","1916",3
"1907","807",1
"1907","1917",1
"1907","1918",1
"1907","1940",2
"1908","1906",2
"1908","1907",2
"1908","1909",6
"1908","1910",9
"1908","1911",2
"1908","1912",7
"1908","1913",8
"1908","1914",1
"1908","1915",5
"1908","1916",4
"1908","807",3
"1908","1917",2
"1908","1918",1
"1908","1940",3
"1908","1941",1
"1908","2023",1
"1909","1906",3
"1909","1907",1
"1909","1908",4
"1909","1910",5
"1909","1911",1
"1909","1912",8
"1909","1913",11
"1909","1914",1
"1909","1915",2
"1909","1916",1
"1909","807",3
"1909","1917",1
"1909","1940",1
"1909","1941",1
"1910","1906",1
"1910","1907",4
"1910","1908",9
"1910","1909",5
"1910","1911",5
"1910","1912",14
"1910","1913",7
"1910","1914",3
"1910","1915",6
"1910","1916",6
"1910","807",3
"1910","1917",3
"1910","1918",1
"1910","1940",6
"1910","1941",1
"1910","1942",1
"1910","2023",1
"1911","1907",1
"1911","1908",2
"1911","1909",1
"1911","1910",2
"1911","1912",1
"1911","1913",1
"1911","1914",2
"1911","1915",2
"1911","1916",2
"1911","807",2
"1911","1917",1
"1911","1940",3
"1912","1906",2
"1912","1907",2
"1912","1908",8
"1912","1909",5
"1912","1910",16
"1912","1911",3
"1912","1913",2
"1912","1914",3
"1912","1915",1
"1912","1916",3
"1912","807",2
"1912","1917",3
"1912","1918",1
"1912","1940",5
"1912","1941",1
"1912","1942",1
"1912","2023",3
"1913","1906",4
"1913","1907",3
"1913","1908",7
"1913","1909",12
"1913","1910",6
"1913","1911",2
"1913","1912",2
"1913","1914",1
"1913","1915",6
"1913","1916",3
"1913","807",4
"1913","1917",1
"1913","1918",1
"1913","1940",1
"1913","1941",1
"1913","2023",4
"1914","1907",1
"1914","1908",1
"1914","1909",1
"1914","1910",2
"1914","1911",1
"1914","1912",3
"1914","1915",1
"1914","1916",1
"1914","807",1
"1914","1917",1
"1915","1906",1
"1915","1907",3
"1915","1908",4
"1915","1909",1
"1915","1910",3
"1915","1911",3
"1915","1912",1
"1915","1913",5
"1915","1916",5
"1915","1918",1
"1915","1940",1
"1916","1906",1
"1916","1907",3
"1916","1908",2
"1916","1909",1
"1916","1910",5
"1916","1911",3
"1916","1912",2
"1916","1913",2
"1916","1914",2
"1916","1915",4
"1916","807",1
"1916","1917",1
"1916","1918",1
"1916","1940",3
"1916","1941",1
"807","1906",1
"807","1907",2
"807","1908",3
"807","1909",1
"807","1910",3
"807","1911",1
"807","1912",3
"807","1913",4
"807","1914",1
"807","1916",2
"807","1917",1
"807","1940",3
"807","2023",1
"1917","1907",1
"1917","1908",1
"1917","1909",1
"1917","1910",2
"1917","1911",1
"1917","1912",3
"1917","1913",1
"1917","1914",1
"1917","1915",1
"1917","1916",1
"1917","1940",1
"1917","1941",1
"1917","2023",1
"1918","1907",1
"1918","1910",1
"1918","1916",1
"1940","807",2
"1940","1917",1
"1940","1907",1
"1940","1908",4
"1940","1909",1
"1940","1910",6
"1940","1912",4
"1940","1913",1
"1940","1916",2
"1940","1941",1
"1940","1918",1
"1940","1915",1
"1940","1911",2
"1940","2023",1
"1941","1907",1
"1941","1910",1
"1941","1940",1
"1941","1912",1
"1941","1916",1
"1941","1918",1
"1941","1911",1
"1941","1915",1
"1941","2023",1
"1942","1910",1
"2023","1906",1
"2023","1917",1
"2023","1908",1
"2023","1910",1
"2023","1911",1
"2023","1912",3
"2023","1913",4
"2023","1916",1
"2023","1940",1
