Source,Target,Weight
"1","5",4
"1","8",1
"1","14",2
"1","23",2
"1","27",1
"1","30",2
"1","32",3
"1","33",13
"1","88",2
"1","7",1
"1","3",2
"1","99",1
"5","1",10
"5","10",4
"5","30",13
"5","32",2
"5","33",10
"5","88",2
"5","3",11
"8","5",3
"8","10",7
"8","14",1
"8","23",2
"8","27",3
"8","30",4
"8","33",2
"8","88",9
"8","3",4
"8","17",2
"8","99",1
"10","5",2
"10","8",5
"10","14",3
"10","23",5
"10","27",8
"10","30",13
"10","32",6
"10","33",3
"10","88",11
"10","7",4
"10","11",3
"10","3",4
"10","17",1
"10","99",2
"14","8",4
"14","23",3
"14","27",5
"14","30",1
"14","32",1
"14","33",1
"14","88",3
"14","7",1
"23","5",3
"23","8",1
"23","10",3
"23","14",1
"23","27",5
"23","30",1
"23","32",1
"23","33",1
"23","88",5
"23","7",1
"23","3",3
"27","5",1
"27","10",6
"27","14",2
"27","23",4
"27","30",1
"27","32",5
"27","88",9
"30","5",5
"30","8",6
"30","10",5
"30","14",2
"30","23",14
"30","27",5
"30","32",2
"30","88",5
"30","7",1
"30","3",5
"32","1",2
"32","5",2
"32","8",4
"32","10",5
"32","14",2
"32","27",5
"32","30",2
"32","33",4
"32","88",9
"32","7",4
"32","17",1
"33","1",6
"33","5",8
"33","8",7
"33","10",7
"33","23",3
"33","27",7
"33","30",3
"33","32",2
"33","88",11
"33","7",3
"33","3",1
"33","17",2
"88","1",3
"88","5",2
"88","8",3
"88","10",15
"88","14",4
"88","23",3
"88","27",8
"88","30",5
"88","32",20
"88","33",9
"88","7",13
"88","3",3
"88","17",2
"7","1",1
"7","5",1
"7","8",2
"7","10",2
"7","32",4
"7","33",4
"7","88",8
"11","8",1
"11","30",1
"20","88",1
"3","5",3
"3","10",4
"3","23",6
"3","27",3
"3","30",6
"3","33",1
"3","88",2
"3","8",1
"3","17",2
"3","99",3
"17","3",1
"17","88",1
"17","8",3
"17","99",1
"99","27",1
"99","30",1
"99","88",2
"99","8",1
