Source,Target,Weight
"1","8",3
"1","14",8
"1","18",1
"1","23",1
"1","24",3
"1","25",5
"1","27",1
"1","22",3
"2","4",4
"2","5",2
"2","14",1
"2","18",2
"2","24",2
"2","17",1
"4","1",1
"4","2",2
"4","5",5
"4","8",1
"4","14",6
"4","18",14
"4","24",12
"4","25",1
"4","27",4
"4","17",1
"4","20",2
"4","26",4
"4","22",1
"5","2",5
"5","4",7
"5","8",2
"5","14",5
"5","18",5
"5","23",15
"5","24",16
"5","25",5
"5","27",6
"5","17",3
"5","20",2
"5","26",3
"5","22",5
"8","2",2
"8","4",1
"8","5",2
"8","18",2
"8","24",1
"8","27",2
"8","17",1
"14","1",5
"14","2",3
"14","4",5
"14","5",7
"14","8",1
"14","18",5
"14","23",1
"14","24",11
"14","25",4
"14","27",1
"14","17",1
"14","20",1
"14","26",1
"14","22",4
"14","6",1
"18","1",2
"18","2",7
"18","4",5
"18","5",7
"18","14",5
"18","23",1
"18","24",3
"18","25",1
"18","27",1
"18","17",3
"18","20",1
"23","1",2
"23","4",1
"23","5",8
"23","14",1
"23","24",8
"23","25",4
"23","27",7
"23","20",1
"23","26",1
"23","22",7
"23","6",2
"24","1",1
"24","2",4
"24","4",15
"24","5",13
"24","8",3
"24","14",10
"24","18",7
"24","23",16
"24","25",6
"24","27",6
"24","17",2
"24","20",4
"24","26",1
"24","22",12
"24","6",3
"25","1",7
"25","4",1
"25","5",4
"25","8",3
"25","14",7
"25","18",2
"25","23",5
"25","24",6
"25","27",1
"25","26",1
"27","1",1
"27","2",1
"27","4",1
"27","5",6
"27","8",2
"27","18",4
"27","23",5
"27","24",5
"27","26",3
"17","2",2
"17","4",1
"17","8",1
"17","18",3
"17","23",1
"17","24",3
"17","27",1
"17","6",1
"20","2",1
"20","18",2
"20","23",1
"20","24",1
"20","27",1
"20","17",2
"26","1",1
"26","2",2
"26","4",2
"26","5",4
"26","14",1
"26","18",1
"26","23",1
"26","24",2
"26","27",2
"26","22",1
"22","4",8
"22","5",6
"22","14",5
"22","23",7
"22","24",8
"22","26",1
"22","27",1
"22","6",2
"22","20",1
"6","4",2
"6","23",3
"6","24",4
"6","27",1
"6","17",3
