Source,Target,Weight
"12","2",5
"12","3",2
"12","9",3
"12","14",5
"12","18",4
"12","20",5
"12","25",10
"12","32",3
"12","28",1
"12","19",2
"2","12",7
"2","9",1
"2","14",26
"2","18",4
"2","20",3
"2","21",12
"2","25",35
"2","32",4
"2","37",13
"2","33",2
"2","19",1
"3","12",2
"3","2",2
"3","14",1
"3","25",1
"9","2",1
"9","14",1
"9","18",5
"9","20",4
"9","21",4
"9","32",9
"9","37",3
"9","28",2
"9","19",2
"9","7",1
"14","12",2
"14","2",7
"14","9",5
"14","20",17
"14","21",2
"14","25",4
"14","32",13
"14","37",9
"14","13",2
"14","28",1
"14","33",3
"14","19",1
"14","7",2
"18","2",2
"18","9",3
"18","14",3
"18","20",3
"18","21",7
"18","25",3
"18","32",14
"18","37",4
"18","28",1
"18","19",6
"20","2",4
"20","9",1
"20","14",16
"20","21",6
"20","25",3
"20","32",7
"20","37",4
"20","28",2
"20","33",1
"20","19",5
"20","7",1
"20","27",1
"21","12",2
"21","2",12
"21","9",6
"21","14",6
"21","18",9
"21","20",6
"21","25",11
"21","32",19
"21","37",8
"21","33",2
"21","19",5
"25","12",6
"25","2",36
"25","9",2
"25","14",4
"25","18",3
"25","20",3
"25","21",16
"25","32",2
"25","37",17
"25","28",6
"25","33",1
"25","19",18
"25","27",1
"32","2",3
"32","9",8
"32","14",4
"32","18",15
"32","20",10
"32","21",6
"32","25",3
"32","37",7
"32","28",3
"32","19",5
"32","7",2
"32","27",1
"37","12",2
"37","2",11
"37","3",1
"37","9",2
"37","14",9
"37","18",1
"37","20",8
"37","21",16
"37","25",12
"37","32",12
"37","28",2
"37","19",6
"13","14",1
"13","20",1
"28","12",2
"28","2",2
"28","9",1
"28","18",3
"28","21",3
"28","25",3
"28","32",7
"28","37",1
"33","9",1
"33","20",1
"33","32",3
"33","19",1
"19","12",5
"19","2",5
"19","9",1
"19","18",13
"19","20",3
"19","21",5
"19","25",17
"19","32",6
"19","37",4
"19","7",1
"19","27",2
"7","9",1
"7","19",1
"7","21",1
"7","25",1
"27","20",1
"27","25",1
"27","32",1
