Source,Target,Weight
"22","6",20
"22","8",16
"22","10",1
"22","14",3
"22","17",10
"22","18",6
"22","19",5
"22","20",1
"22","31",1
"22","45",1
"22","21",5
"22","3",1
"22","37",36
"22","9",9
"22","2",2
"22","24",2
"22","4",7
"6","22",11
"6","8",26
"6","10",5
"6","14",19
"6","17",8
"6","18",13
"6","19",5
"6","20",8
"6","31",5
"6","45",4
"6","21",6
"6","29",1
"6","3",6
"6","37",18
"6","50",1
"6","2",3
"6","24",12
"6","23",3
"8","22",8
"8","6",17
"8","10",30
"8","14",36
"8","17",14
"8","18",28
"8","19",14
"8","20",11
"8","31",34
"8","45",2
"8","21",13
"8","29",2
"8","3",13
"8","37",21
"8","50",8
"8","9",5
"8","2",21
"8","24",19
"8","23",4
"8","4",2
"10","6",5
"10","8",18
"10","14",22
"10","17",6
"10","18",11
"10","19",3
"10","20",4
"10","31",33
"10","45",7
"10","3",3
"10","37",1
"10","50",6
"10","2",3
"10","24",5
"14","22",2
"14","6",17
"14","8",32
"14","10",24
"14","17",3
"14","18",10
"14","19",17
"14","20",10
"14","31",21
"14","45",7
"14","21",18
"14","29",2
"14","3",4
"14","37",23
"14","50",7
"14","9",2
"14","2",6
"14","24",11
"14","4",1
"17","22",10
"17","6",11
"17","8",14
"17","10",12
"17","14",4
"17","18",10
"17","19",1
"17","31",2
"17","21",4
"18","22",5
"18","6",8
"18","8",18
"18","10",14
"18","14",7
"18","17",5
"18","19",1
"18","20",18
"18","31",17
"18","45",3
"18","21",14
"18","29",7
"18","2",3
"18","24",10
"18","37",3
"18","23",7
"18","4",8
"18","9",1
"19","22",2
"19","6",6
"19","8",8
"19","10",1
"19","14",19
"19","17",1
"19","18",2
"19","20",5
"19","31",5
"19","45",2
"19","21",7
"19","29",2
"19","37",14
"19","50",18
"19","4",2
"19","23",5
"19","24",1
"20","6",2
"20","8",5
"20","10",4
"20","14",8
"20","17",1
"20","18",12
"20","19",9
"20","31",6
"20","45",5
"20","21",2
"20","29",1
"20","50",2
"20","9",2
"20","2",1
"20","24",12
"20","23",7
"20","4",3
"31","6",3
"31","8",24
"31","10",18
"31","14",16
"31","17",2
"31","18",10
"31","19",1
"31","20",5
"31","45",7
"31","21",9
"31","3",5
"31","37",1
"31","9",2
"31","2",13
"31","24",14
"31","23",1
"31","4",3
"45","8",2
"45","10",8
"45","14",9
"45","17",1
"45","18",4
"45","19",5
"45","20",4
"45","31",3
"45","21",2
"45","29",1
"45","37",1
"45","50",2
"45","2",2
"45","24",1
"21","22",2
"21","6",5
"21","8",24
"21","14",19
"21","17",1
"21","18",12
"21","19",9
"21","20",8
"21","31",14
"21","45",1
"21","29",2
"21","4",7
"21","23",13
"21","24",27
"21","37",32
"21","50",12
"21","2",10
"21","9",8
"21","3",2
"29","18",6
"29","19",2
"29","31",2
"29","45",2
"29","21",8
"29","4",2
"29","23",1
"29","24",2
"29","50",1
"3","22",3
"3","6",3
"3","8",5
"3","10",3
"3","14",5
"3","31",5
"3","37",2
"3","45",2
"3","50",2
"3","21",1
"3","24",1
"37","22",32
"37","3",2
"37","6",21
"37","8",31
"37","10",3
"37","14",23
"37","19",10
"37","31",5
"37","45",5
"37","50",7
"37","9",3
"37","20",5
"37","2",15
"37","18",2
"37","24",12
"37","23",8
"37","4",10
"37","21",30
"50","6",2
"50","8",7
"50","10",2
"50","14",4
"50","19",14
"50","31",2
"50","37",2
"50","45",2
"50","20",3
"50","2",15
"50","18",1
"50","24",5
"50","23",13
"50","21",5
"50","29",1
"9","8",8
"9","14",4
"9","19",3
"9","31",5
"9","37",1
"9","45",2
"9","20",1
"9","2",1
"9","21",6
"9","18",1
"2","22",4
"2","6",4
"2","8",9
"2","10",2
"2","14",7
"2","18",5
"2","24",13
"2","31",19
"2","37",12
"2","20",1
"2","23",1
"2","50",9
"2","4",7
"2","9",2
"2","21",14
"24","22",1
"24","2",12
"24","6",5
"24","8",26
"24","10",7
"24","14",14
"24","18",18
"24","31",26
"24","37",6
"24","45",1
"24","20",7
"24","23",10
"24","50",6
"24","4",9
"24","19",5
"24","21",22
"24","29",3
"24","9",2
"24","3",2
"23","22",1
"23","6",1
"23","8",9
"23","18",5
"23","24",10
"23","37",9
"23","20",5
"23","50",6
"23","4",4
"23","19",6
"23","21",12
"23","29",2
"4","22",9
"4","18",12
"4","19",1
"4","20",2
"4","21",8
"4","24",13
"4","29",4
"4","37",4
"4","50",2
"4","8",2
"4","31",1
"4","2",7
