Source,Target,Weight
"1760","1761",2
"1760","1763",2
"1760","1765",2
"1760","1766",3
"1760","1767",3
"1760","1769",5
"1760","1770",4
"1760","1771",2
"1760","1772",2
"1760","1773",2
"1761","1760",3
"1761","1762",2
"1761","1763",2
"1761","1765",2
"1761","1769",3
"1761","1771",2
"1761","1772",3
"1762","1760",2
"1762","1761",6
"1762","1763",4
"1762","1765",2
"1762","1766",4
"1762","1768",2
"1762","1769",5
"1762","1772",3
"1763","1761",2
"1763","1762",2
"1763","1764",2
"1763","1765",5
"1763","1767",3
"1763","1768",3
"1763","1770",2
"1763","1771",2
"1763","1772",3
"1763","1773",2
"1764","1762",2
"1764","1763",3
"1764","1768",2
"1765","1761",3
"1765","1763",2
"1765","1767",2
"1765","1773",2
"1766","1760",3
"1766","1762",4
"1766","1767",3
"1766","1768",2
"1766","1769",6
"1766","1770",2
"1766","1772",2
"1766","1773",2
"1767","1760",2
"1767","1762",3
"1767","1763",2
"1767","1765",2
"1767","1766",2
"1767","1768",3
"1767","1770",3
"1767","1772",2
"1767","1773",2
"1768","1761",3
"1768","1763",5
"1768","1764",2
"1768","1765",2
"1768","1767",2
"1768","1772",3
"1769","1760",4
"1769","1761",4
"1769","1762",2
"1769","1763",5
"1769","1764",2
"1769","1765",2
"1769","1766",5
"1769","1767",3
"1769","1770",2
"1769","1772",3
"1770","1760",2
"1770","1762",2
"1770","1763",2
"1770","1766",3
"1770","1768",2
"1770","1772",5
"1771","1763",3
"1771","1765",3
"1771","1772",3
"1772","1761",5
"1772","1762",5
"1772","1763",2
"1772","1765",3
"1772","1767",2
"1772","1768",10
"1772","1769",2
"1772","1770",3
"1773","1763",2
"1773","1765",3
"1773","1771",2
"1773","1772",2
