Source,Target,Weight
"1","3",10
"1","5",2
"1","6",8
"1","13",22
"1","17",7
"1","20",2
"1","21",12
"1","23",16
"1","22",1
"1","25",5
"1","8",7
"1","9",16
"1","28",6
"1","19",1
"1","2",1
"1","31",1
"1","7",1
"3","1",8
"3","5",20
"3","6",25
"3","13",3
"3","17",6
"3","19",5
"3","20",60
"3","21",11
"3","23",7
"3","28",1
"3","22",1
"3","8",15
"3","9",17
"3","28",13
"3","11",1
"3","19",5
"3","2",1
"3","31",4
"3","7",1
"5","3",21
"5","6",10
"5","13",12
"5","17",3
"5","19",3
"5","20",5
"5","21",3
"5","23",6
"5","28",1
"5","25",2
"5","8",11
"5","9",2
"5","28",8
"5","11",2
"5","2",2
"6","1",5
"6","3",52
"6","5",14
"6","13",17
"6","17",15
"6","19",2
"6","20",10
"6","21",15
"6","23",22
"6","28",2
"6","22",4
"6","25",5
"6","8",21
"6","9",10
"6","28",18
"6","11",1
"6","19",1
"6","2",5
"6","31",4
"6","7",3
"13","1",2
"13","3",2
"13","5",9
"13","6",12
"13","17",4
"13","19",1
"13","20",7
"13","21",1
"13","23",33
"13","28",1
"13","22",20
"13","25",3
"13","8",33
"13","9",11
"13","28",20
"13","11",2
"13","19",1
"13","2",2
"13","7",1
"17","1",13
"17","3",12
"17","5",2
"17","6",9
"17","13",11
"17","20",2
"17","21",12
"17","23",4
"17","28",3
"17","25",1
"17","8",13
"17","9",3
"17","28",2
"17","11",1
"17","2",14
"17","31",2
"19","3",4
"19","5",2
"19","6",2
"19","13",1
"19","20",2
"19","23",1
"19","28",5
"20","3",28
"20","5",7
"20","6",17
"20","13",5
"20","17",3
"20","19",5
"20","21",2
"20","23",5
"20","28",5
"20","22",2
"20","8",9
"20","9",14
"20","28",28
"20","2",1
"20","31",1
"20","7",2
"21","1",9
"21","3",19
"21","5",2
"21","6",8
"21","13",3
"21","17",6
"21","20",6
"21","23",4
"21","28",3
"21","22",1
"21","25",1
"21","8",12
"21","9",3
"21","28",1
"23","3",4
"23","5",8
"23","6",15
"23","13",20
"23","17",1
"23","19",1
"23","20",8
"23","28",4
"23","22",1
"23","25",1
"23","8",24
"23","9",9
"23","28",26
"23","11",1
"23","19",2
"23","2",9
"23","31",1
"28","3",1
"28","6",5
"28","13",1
"28","17",1
"28","19",4
"28","20",1
"28","23",1
"22","3",1
"22","5",1
"22","6",3
"22","13",12
"22","23",2
"22","28",1
"22","8",12
"22","28",7
"25","1",8
"25","5",2
"25","6",2
"25","13",7
"25","17",1
"25","21",2
"25","23",3
"25","22",2
"25","8",3
"25","28",2
"25","19",1
"8","1",5
"8","3",33
"8","6",41
"8","9",12
"8","13",33
"8","17",8
"8","20",14
"8","21",6
"8","23",23
"8","28",22
"8","5",14
"8","11",1
"8","25",7
"8","19",1
"8","2",9
"8","31",4
"8","7",4
"8","22",9
"9","3",4
"9","6",4
"9","8",6
"9","13",4
"9","17",1
"9","20",10
"9","21",1
"9","23",10
"9","28",25
"9","19",2
"9","2",1
"9","31",1
"9","7",1
"28","3",27
"28","6",20
"28","8",14
"28","9",19
"28","13",14
"28","17",4
"28","20",21
"28","21",3
"28","23",25
"28","5",2
"28","25",1
"28","2",2
"28","22",2
"11","3",1
"11","8",2
"11","9",1
"11","20",1
"11","23",1
"11","5",2
"19","3",3
"19","6",1
"19","9",3
"19","13",2
"19","23",2
"19","28",2
"19","5",2
"19","31",1
"2","1",3
"2","6",5
"2","8",5
"2","9",6
"2","17",6
"2","23",8
"2","28",1
"2","5",2
"2","13",4
"2","19",2
"2","31",1
"31","1",2
"31","3",2
"31","6",6
"31","8",4
"31","9",1
"31","17",2
"31","20",1
"31","23",1
"31","28",1
"31","19",1
"7","2",2
"7","6",2
"7","8",1
"7","20",1
"7","23",1
"7","19",1
"7","13",1
