Source,Target,Weight
"1","3",24
"1","4",9
"1","8",1
"1","11",3
"1","14",9
"1","20",5
"1","25",6
"1","42",10
"1","10",7
"1","17",6
"1","30",21
"1","26",8
"1","5",1
"1","6",6
"1","15",5
"1","18",2
"1","22",14
"1","72",1
"3","1",15
"3","4",49
"3","7",9
"3","8",10
"3","11",1
"3","14",5
"3","20",8
"3","21",17
"3","25",38
"3","42",43
"3","10",8
"3","17",52
"3","30",22
"3","26",32
"3","6",31
"3","15",100
"4","1",3
"4","3",56
"4","7",7
"4","8",2
"4","11",5
"4","14",3
"4","20",11
"4","21",8
"4","25",18
"4","42",11
"4","10",3
"4","17",2
"4","30",38
"4","5",1
"4","15",16
"4","6",8
"4","22",4
"7","1",2
"7","3",6
"7","4",2
"7","8",1
"7","11",37
"7","14",5
"7","20",2
"7","21",20
"7","25",22
"7","42",18
"7","10",13
"7","17",15
"7","30",2
"7","5",1
"7","6",10
"7","15",2
"7","18",4
"7","22",21
"7","72",2
"8","3",6
"8","11",1
"8","14",5
"8","20",1
"8","21",13
"8","25",6
"8","42",8
"8","30",1
"11","1",3
"11","3",1
"11","7",55
"11","8",2
"11","14",8
"11","20",8
"11","21",17
"11","25",26
"11","42",8
"11","10",5
"11","17",16
"11","30",16
"11","6",2
"11","18",10
"11","22",1
"14","3",3
"14","4",1
"14","7",7
"14","8",1
"14","11",2
"14","20",1
"14","21",6
"14","25",2
"14","42",16
"14","17",2
"14","30",1
"14","15",6
"14","6",1
"14","22",1
"20","1",18
"20","3",11
"20","4",9
"20","8",2
"20","11",26
"20","21",7
"20","25",23
"20","42",19
"20","10",2
"20","17",5
"20","30",46
"20","5",1
"20","15",2
"20","6",8
"20","18",4
"20","22",30
"20","26",7
"21","3",21
"21","4",7
"21","7",39
"21","8",10
"21","11",25
"21","14",4
"21","20",12
"21","25",49
"21","42",36
"21","10",24
"21","17",27
"21","30",7
"21","26",4
"21","5",1
"21","6",22
"21","15",20
"21","18",6
"21","22",39
"25","1",1
"25","3",38
"25","4",20
"25","7",29
"25","8",9
"25","11",29
"25","14",6
"25","20",29
"25","21",56
"25","42",63
"25","10",29
"25","17",38
"25","30",32
"25","26",5
"25","5",2
"25","6",28
"25","15",29
"25","18",5
"25","22",42
"25","72",2
"42","1",6
"42","3",40
"42","4",18
"42","7",18
"42","8",7
"42","11",22
"42","14",10
"42","20",31
"42","21",45
"42","25",59
"42","10",20
"42","17",22
"42","30",43
"42","26",11
"42","5",7
"42","6",29
"42","15",32
"42","18",7
"42","22",29
"10","3",7
"10","7",16
"10","11",3
"10","20",6
"10","21",35
"10","25",25
"10","42",16
"10","17",21
"10","30",1
"10","26",1
"10","5",2
"10","6",22
"10","15",15
"10","22",18
"10","18",1
"10","72",3
"17","1",2
"17","3",36
"17","4",3
"17","7",11
"17","8",1
"17","11",5
"17","14",2
"17","20",5
"17","21",32
"17","25",30
"17","42",29
"17","10",32
"17","30",12
"17","26",7
"17","5",1
"17","6",22
"17","15",33
"17","18",3
"17","22",31
"17","72",2
"30","1",16
"30","3",40
"30","4",37
"30","7",10
"30","11",22
"30","14",4
"30","20",30
"30","21",11
"30","25",30
"30","42",36
"30","10",10
"30","17",27
"30","26",26
"30","5",9
"30","6",33
"30","15",17
"30","18",5
"30","22",70
"26","1",11
"26","3",27
"26","7",1
"26","10",3
"26","11",6
"26","17",6
"26","21",5
"26","25",12
"26","30",19
"26","42",14
"26","5",13
"26","6",18
"26","15",15
"26","18",3
"26","22",8
"26","20",7
"5","1",1
"5","10",4
"5","17",1
"5","25",1
"5","26",6
"5","30",3
"5","42",8
"5","6",4
"5","15",23
"5","14",1
"6","1",3
"6","3",46
"6","7",2
"6","10",13
"6","11",7
"6","17",26
"6","21",29
"6","25",49
"6","26",18
"6","30",37
"6","42",45
"6","5",7
"6","15",10
"6","20",9
"6","4",13
"6","18",2
"6","22",34
"6","72",3
"15","1",6
"15","3",73
"15","7",3
"15","10",22
"15","11",1
"15","17",36
"15","21",18
"15","25",32
"15","26",8
"15","30",10
"15","42",48
"15","5",10
"15","6",16
"15","14",9
"15","20",1
"15","4",6
"15","22",7
"15","72",2
"18","1",1
"18","6",5
"18","7",5
"18","11",9
"18","25",1
"18","30",2
"18","42",9
"18","17",4
"18","26",1
"18","22",9
"18","20",1
"18","21",8
"22","1",9
"22","3",1
"22","6",27
"22","10",41
"22","15",5
"22","17",38
"22","25",43
"22","26",4
"22","30",38
"22","42",29
"22","7",29
"22","18",10
"22","11",1
"22","20",12
"22","21",48
"22","14",1
"22","4",7
"22","72",2
"13","6",1
"13","30",1
"13","42",1
"72","6",1
"72","7",1
"72","10",1
"72","21",1
"72","22",1
"72","25",2
"72","15",3
"72","17",2
