Source,Target,Weight
"1682","628",1
"1682","1262",1
"1682","745",2
"1682","577",1
"1682","418",1
"1682","1683",1
"908","464",4
"908","628",3
"908","1262",1
"908","745",1
"908","577",1
"908","418",2
"908","1683",3
"908","1684",1
"908","1685",2
"908","582",1
"908","1062",2
"908","1634",2
"908","1832",1
"908","1608",3
"908","1848",1
"908","1973",1
"908","763",1
"908","2006",1
"464","908",3
"464","628",3
"464","1262",1
"464","745",2
"464","577",2
"464","418",3
"464","1683",1
"464","1684",2
"464","1685",4
"464","1062",1
"464","1634",4
"464","1832",3
"464","764",3
"464","571",1
"464","1608",2
"464","1848",1
"464","575",1
"464","1973",2
"464","2005",1
"628","908",2
"628","464",3
"628","1262",1
"628","745",2
"628","577",2
"628","418",2
"628","1683",1
"628","1684",2
"628","1685",1
"628","1062",1
"628","1634",3
"628","1832",1
"628","764",2
"628","571",1
"628","1608",2
"628","575",1
"628","1948",1
"628","1848",1
"628","1973",2
"1262","908",2
"1262","464",1
"1262","628",1
"1262","577",1
"1262","1683",1
"1262","1684",1
"1262","1685",1
"1262","1832",1
"745","1682",1
"745","908",3
"745","464",2
"745","628",2
"745","1262",1
"745","577",4
"745","418",9
"745","1683",1
"745","1684",6
"745","1685",5
"745","1062",2
"745","1634",6
"745","1832",4
"745","764",3
"745","571",4
"745","1608",2
"745","1848",5
"745","575",2
"745","762",1
"745","1948",1
"745","1973",1
"745","2005",1
"745","2006",1
"577","1682",1
"577","908",1
"577","464",3
"577","628",3
"577","1262",2
"577","745",3
"577","418",3
"577","1683",1
"577","1684",1
"577","1685",3
"577","582",1
"577","1062",1
"577","1634",4
"577","1832",2
"577","764",2
"577","571",1
"577","1848",2
"577","1608",2
"577","1973",1
"577","2005",1
"577","763",1
"577","2006",1
"418","1682",1
"418","908",4
"418","464",3
"418","628",2
"418","1262",1
"418","745",9
"418","577",5
"418","1683",3
"418","1684",4
"418","1685",2
"418","582",1
"418","1062",2
"418","1634",9
"418","1832",2
"418","764",2
"418","571",3
"418","1608",2
"418","1848",3
"418","575",1
"418","762",1
"418","1973",2
"418","2005",1
"418","2006",1
"1683","1682",1
"1683","908",4
"1683","464",1
"1683","628",2
"1683","1262",1
"1683","745",1
"1683","577",2
"1683","418",2
"1683","1684",1
"1683","582",1
"1683","1062",1
"1683","1634",1
"1683","1832",2
"1684","908",2
"1684","464",3
"1684","628",3
"1684","1262",1
"1684","745",5
"1684","577",1
"1684","418",3
"1684","1683",1
"1684","1685",3
"1684","1062",2
"1684","1634",3
"1684","571",1
"1684","1608",2
"1684","575",4
"1684","762",2
"1684","764",1
"1684","1848",1
"1684","1832",4
"1684","1973",3
"1685","1682",1
"1685","908",3
"1685","464",3
"1685","628",2
"1685","1262",1
"1685","745",4
"1685","577",2
"1685","418",2
"1685","1684",3
"1685","1062",1
"1685","1634",2
"1685","1832",2
"1685","764",2
"1685","571",1
"1685","1608",2
"1685","1848",1
"1685","575",1
"1685","1948",1
"1685","1973",2
"582","908",1
"582","628",1
"582","577",1
"582","1683",1
"582","1634",1
"1062","908",1
"1062","464",1
"1062","628",1
"1062","745",2
"1062","577",1
"1062","418",3
"1062","1684",1
"1062","1685",1
"1062","1634",2
"1062","571",1
"1062","1608",2
"1062","764",1
"1062","1832",1
"1062","1848",1
"1062","575",1
"1062","762",1
"1062","1973",1
"1062","2005",1
"1062","763",1
"1062","2006",1
"1634","908",4
"1634","464",5
"1634","628",5
"1634","1262",1
"1634","745",5
"1634","577",3
"1634","418",7
"1634","1683",1
"1634","1684",3
"1634","1685",3
"1634","582",1
"1634","1062",1
"1634","1832",3
"1634","764",3
"1634","571",2
"1634","1608",4
"1634","1848",6
"1634","575",2
"1634","762",1
"1634","1973",4
"1634","2005",1
"1634","2006",1
"1832","1682",1
"1832","908",1
"1832","464",2
"1832","628",2
"1832","1262",1
"1832","745",4
"1832","577",2
"1832","418",2
"1832","1683",2
"1832","1685",2
"1832","764",1
"1832","1634",2
"1832","571",1
"1832","1608",1
"1832","1848",2
"1832","575",4
"1832","1062",1
"1832","762",2
"1832","1684",3
"1832","1973",2
"764","908",1
"764","464",3
"764","628",1
"764","745",2
"764","577",2
"764","418",1
"764","1832",1
"764","1685",2
"764","1634",2
"764","571",1
"764","1608",1
"764","1062",1
"764","1684",1
"764","762",1
"764","1973",1
"571","908",1
"571","464",1
"571","1608",1
"571","745",3
"571","418",4
"571","764",1
"571","1832",1
"571","1634",3
"571","1685",1
"571","1848",1
"571","575",1
"571","1062",3
"571","628",1
"571","1684",1
"571","762",1
"571","1973",1
"571","577",1
"571","2005",1
"571","2006",1
"1608","571",1
"1608","908",2
"1608","464",2
"1608","418",1
"1608","764",1
"1608","1832",1
"1608","1634",2
"1608","1685",1
"1608","1848",3
"1608","575",1
"1608","1062",1
"1608","628",2
"1608","1684",2
"1608","1973",1
"1608","763",1
"1848","571",1
"1848","908",3
"1848","464",1
"1848","1608",4
"1848","745",5
"1848","418",4
"1848","764",1
"1848","1832",2
"1848","1634",5
"1848","1685",1
"1848","1062",2
"1848","628",2
"1848","1684",1
"1848","1973",2
"1848","577",1
"575","571",1
"575","908",1
"575","464",1
"575","1608",2
"575","745",1
"575","1832",3
"575","1634",1
"575","1685",1
"575","1848",1
"575","628",1
"575","1684",4
"575","762",1
"575","1973",3
"762","571",1
"762","1608",1
"762","628",1
"762","745",2
"762","418",1
"762","575",2
"762","1684",3
"762","764",1
"762","1848",1
"762","1832",1
"762","1973",1
"762","1062",1
"1948","628",1
"1948","1634",1
"1973","571",1
"1973","762",1
"1973","1848",3
"1973","1608",2
"1973","628",2
"1973","745",1
"1973","1832",3
"1973","575",2
"1973","1684",3
"1973","1634",3
"1973","908",1
"1973","418",1
"1973","1062",1
"1973","464",1
"1973","577",1
"1973","764",1
"1973","1685",1
"1973","2005",1
"2005","571",1
"2005","908",1
"2005","464",1
"2005","745",1
"2005","1634",1
"2005","1973",1
"2005","577",1
"2005","763",1
"763","2005",1
"763","577",1
"2006","571",1
"2006","908",1
"2006","464",1
"2006","1608",1
"2006","418",1
"2006","1062",1
"2006","1634",1
"2006","1973",1
"2006","577",1
"2006","763",1
