Source,Target,Weight
"16","2",1
"16","3",10
"16","4",10
"16","5",7
"16","8",2
"16","13",3
"16","19",3
"16","20",1
"16","23",2
"16","18",2
"16","22",1
"16","20",1
"16","6",3
"16","12",6
"16","21",1
"16","28",1
"2","16",3
"2","3",20
"2","4",3
"2","5",2
"2","8",2
"2","10",4
"2","13",1
"2","19",2
"2","20",8
"2","23",22
"2","11",2
"2","10",6
"2","19",8
"2","20",11
"2","6",1
"3","16",4
"3","2",28
"3","4",37
"3","5",12
"3","8",3
"3","10",5
"3","13",13
"3","19",4
"3","20",8
"3","23",23
"3","11",2
"3","18",4
"3","22",19
"3","10",11
"3","19",4
"3","20",23
"3","6",8
"3","12",14
"3","1",1
"3","7",3
"3","9",4
"3","21",2
"3","25",5
"3","28",4
"3","30",5
"4","16",10
"4","2",5
"4","3",51
"4","5",27
"4","8",14
"4","10",3
"4","13",14
"4","19",2
"4","20",4
"4","23",12
"4","11",2
"4","18",2
"4","22",13
"4","10",17
"4","19",5
"4","20",6
"4","6",6
"4","12",2
"4","15",4
"4","1",3
"4","7",2
"4","30",2
"4","14",1
"5","16",3
"5","3",7
"5","4",23
"5","8",31
"5","10",3
"5","13",24
"5","19",1
"5","20",2
"5","23",16
"5","11",2
"5","18",6
"5","22",5
"5","1",4
"5","7",12
"5","9",3
"5","10",22
"5","20",10
"5","6",1
"5","19",3
"5","12",3
"5","21",9
"5","25",3
"5","28",1
"5","30",1
"5","14",1
"8","3",5
"8","4",4
"8","5",15
"8","10",1
"8","13",15
"8","19",1
"8","20",1
"8","23",2
"8","11",3
"8","22",3
"8","9",3
"8","10",17
"8","20",11
"8","6",3
"8","19",5
"8","12",1
"8","21",1
"8","14",2
"10","2",6
"10","3",3
"10","8",4
"10","13",5
"10","19",1
"10","20",1
"10","23",4
"13","16",3
"13","2",4
"13","3",13
"13","4",23
"13","5",32
"13","8",10
"13","10",3
"13","19",3
"13","20",2
"13","23",12
"13","11",2
"13","18",3
"13","22",14
"13","10",14
"13","19",2
"13","20",10
"13","12",7
"13","9",1
"13","21",13
"13","25",6
"13","30",2
"13","14",4
"19","16",1
"19","2",2
"19","3",2
"19","8",3
"19","13",3
"19","23",4
"20","2",9
"20","3",6
"20","5",1
"20","10",4
"20","13",2
"20","19",4
"20","23",5
"20","18",1
"23","16",2
"23","2",10
"23","3",28
"23","4",20
"23","5",10
"23","8",10
"23","10",11
"23","13",9
"23","19",2
"23","20",10
"23","18",2
"23","22",8
"23","10",17
"23","19",4
"23","20",17
"23","6",6
"23","12",2
"23","15",2
"23","7",3
"23","9",2
"11","8",2
"11","10",1
"11","13",2
"11","20",1
"11","22",1
"11","20",5
"11","14",1
"18","3",5
"18","4",3
"18","5",2
"18","10",1
"18","13",3
"18","20",1
"18","23",4
"18","11",1
"18","22",9
"18","10",1
"18","19",2
"18","20",1
"22","16",1
"22","2",1
"22","3",12
"22","4",15
"22","5",4
"22","8",10
"22","10",1
"22","13",20
"22","23",12
"22","11",2
"22","18",15
"22","10",6
"22","19",10
"22","20",17
"22","12",4
"22","7",2
"22","9",1
"10","2",3
"10","3",15
"10","4",4
"10","13",17
"10","18",3
"10","19",10
"10","20",27
"10","22",2
"10","23",13
"10","6",6
"10","12",3
"10","15",1
"10","1",1
"10","5",12
"10","7",3
"10","8",14
"10","9",2
"10","21",4
"10","25",3
"10","11",2
"10","28",2
"10","14",1
"19","2",4
"19","3",2
"19","4",3
"19","10",6
"19","13",4
"19","18",2
"19","20",9
"19","22",5
"19","23",5
"19","6",6
"19","12",3
"19","15",1
"19","7",2
"19","8",3
"20","2",10
"20","3",15
"20","4",9
"20","10",17
"20","13",13
"20","19",11
"20","22",13
"20","23",13
"20","6",6
"20","12",6
"20","15",1
"20","5",7
"20","7",2
"20","8",21
"20","9",3
"20","21",2
"20","25",6
"20","11",3
"20","14",3
"6","16",1
"6","2",8
"6","3",4
"6","4",8
"6","10",8
"6","19",6
"6","20",4
"6","22",1
"6","23",3
"6","15",2
"6","5",7
"6","7",1
"6","8",1
"12","16",6
"12","3",14
"12","4",3
"12","10",5
"12","13",10
"12","19",7
"12","20",10
"12","22",4
"12","23",2
"12","6",3
"12","5",3
"12","8",3
"12","9",1
"12","21",6
"12","25",7
"12","11",1
"12","28",3
"15","2",1
"15","4",2
"15","5",1
"1","3",3
"1","4",2
"1","5",4
"1","7",1
"1","9",1
"1","10",2
"1","22",1
"7","3",1
"7","4",1
"7","5",5
"7","9",1
"7","10",7
"7","20",1
"7","22",3
"7","23",1
"7","13",1
"9","1",1
"9","3",5
"9","4",1
"9","5",1
"9","7",1
"9","8",3
"9","10",2
"9","20",5
"9","23",3
"9","13",1
"9","15",1
"21","16",5
"21","3",2
"21","5",4
"21","8",2
"21","9",1
"21","10",6
"21","12",3
"21","13",9
"21","20",3
"21","25",2
"25","16",2
"25","3",6
"25","5",2
"25","8",2
"25","10",2
"25","12",7
"25","13",3
"25","20",3
"25","21",2
"25","28",1
"28","3",1
"28","5",1
"28","10",3
"28","12",3
"28","25",2
"28","6",1
"30","4",1
"30","8",1
"30","11",2
"30","12",1
"30","13",1
"30","19",3
"30","20",2
"30","22",2
"30","7",1
"30","10",1
"14","5",1
"14","8",1
"14","11",4
"14","13",3
"14","20",4
