Source,Target,Weight
"13","2",11
"13","3",19
"13","5",16
"13","7",10
"13","8",5
"13","15",1
"13","18",3
"13","22",11
"13","6",6
"13","17",2
"13","20",3
"13","9",1
"13","16",2
"13","27",4
"13","23",1
"13","24",11
"13","11",1
"13","10",10
"13","25",1
"13","12",1
"2","13",6
"2","3",4
"2","5",24
"2","7",68
"2","8",31
"2","16",3
"2","18",10
"2","22",28
"2","6",14
"2","17",21
"2","20",6
"2","13",1
"2","9",21
"2","27",14
"2","16",27
"2","24",11
"2","23",1
"2","21",1
"2","11",7
"2","26",1
"2","1",1
"2","10",6
"2","25",3
"2","12",1
"3","13",16
"3","2",11
"3","5",24
"3","7",14
"3","8",12
"3","15",17
"3","16",4
"3","18",21
"3","22",20
"3","6",16
"3","17",4
"3","20",6
"3","13",4
"3","9",11
"3","27",2
"3","16",27
"3","24",9
"3","21",7
"3","23",2
"3","10",5
"3","25",13
"3","12",1
"5","13",13
"5","2",35
"5","3",19
"5","7",23
"5","8",26
"5","15",4
"5","16",5
"5","18",11
"5","22",17
"5","45",1
"5","6",19
"5","17",2
"5","20",3
"5","13",3
"5","9",9
"5","27",7
"5","16",24
"5","24",2
"5","21",14
"5","23",1
"5","10",7
"5","25",7
"5","12",1
"7","13",2
"7","2",38
"7","3",10
"7","5",12
"7","8",16
"7","15",6
"7","16",5
"7","18",8
"7","22",56
"7","6",14
"7","17",7
"7","20",1
"7","9",18
"7","27",9
"7","16",33
"7","24",4
"7","21",4
"7","10",4
"7","25",5
"7","12",2
"8","13",1
"8","2",28
"8","3",13
"8","5",17
"8","7",20
"8","15",3
"8","16",8
"8","18",8
"8","22",36
"8","45",2
"8","6",8
"8","17",12
"8","20",10
"8","9",5
"8","16",16
"8","21",5
"8","11",6
"8","24",15
"8","23",5
"8","27",6
"8","10",13
"8","25",10
"8","12",1
"15","13",1
"15","3",12
"15","5",3
"15","7",7
"15","8",2
"15","16",3
"15","18",12
"15","22",22
"15","45",1
"15","6",4
"15","17",6
"15","20",1
"15","9",4
"15","16",9
"15","24",1
"16","13",1
"16","2",4
"16","3",2
"16","5",6
"16","7",2
"16","8",3
"16","15",5
"16","18",7
"16","22",3
"18","13",2
"18","2",15
"18","3",14
"18","5",7
"18","7",15
"18","8",8
"18","15",10
"18","16",7
"18","22",21
"18","45",1
"18","6",23
"18","17",8
"18","20",14
"18","13",1
"18","9",6
"18","27",2
"18","16",9
"18","24",14
"18","21",8
"18","11",9
"18","26",3
"22","13",1
"22","2",29
"22","3",16
"22","5",13
"22","7",40
"22","8",19
"22","15",11
"22","16",5
"22","18",29
"22","45",1
"22","6",26
"22","17",6
"22","9",19
"22","27",4
"22","16",31
"22","24",10
"22","21",4
"22","10",16
"22","25",13
"45","8",1
"45","18",1
"45","22",1
"6","13",1
"6","2",12
"6","3",18
"6","5",22
"6","7",18
"6","8",12
