Source,Target,Weight
"116","1394",1
"116","1395",1
"116","120",1
"116","121",1
"116","1396",1
"116","123",2
"116","896",1
"116","1397",2
"116","897",1
"116","145",1
"116","1398",1
"116","126",1
"116","125",1
"116","119",1
"1394","116",2
"1394","1395",4
"1394","120",1
"1394","121",2
"1394","899",1
"1394","1396",1
"1394","123",5
"1394","896",2
"1394","1397",1
"1394","897",2
"1394","126",2
"1394","119",1
"1395","116",1
"1395","1394",3
"1395","120",3
"1395","121",6
"1395","899",1
"1395","1396",5
"1395","123",4
"1395","896",9
"1395","1397",4
"1395","897",3
"1395","145",2
"1395","1398",1
"1395","126",5
"1395","125",1
"1395","1544",1
"1395","119",3
"1395","1573",1
"1395","1637",1
"1395","1638",1
"1395","1639",3
"120","1394",1
"120","1395",3
"120","121",5
"120","899",1
"120","1396",2
"120","123",1
"120","896",3
"120","1397",2
"120","897",2
"120","145",2
"120","1398",1
"120","126",3
"120","1544",1
"120","119",2
"120","1637",1
"120","1639",1
"121","116",1
"121","1394",1
"121","1395",4
"121","120",4
"121","899",1
"121","1396",2
"121","123",1
"121","896",5
"121","1397",2
"121","897",1
"121","145",1
"121","1398",2
"121","126",3
"121","1544",1
"121","119",2
"121","1638",1
"121","1639",1
"899","1394",1
"899","1395",2
"899","120",1
"899","121",1
"899","1396",1
"899","123",1
"899","896",2
"899","1397",1
"899","897",1
"1396","1394",1
"1396","1395",3
"1396","120",2
"1396","121",3
"1396","899",1
"1396","123",2
"1396","896",2
"1396","1397",3
"1396","897",1
"1396","1398",1
"1396","126",2
"1396","125",1
"1396","1544",1
"1396","119",1
"1396","1637",1
"1396","1638",1
"1396","1639",1
"123","116",3
"123","1394",5
"123","1395",4
"123","120",1
"123","121",1
"123","899",2
"123","1396",2
"123","896",1
"123","1397",6
"123","1398",1
"123","126",3
"123","125",1
"123","119",1
"896","116",2
"896","1394",3
"896","1395",7
"896","120",3
"896","121",4
"896","899",2
"896","1396",2
"896","123",1
"896","1397",1
"896","897",5
"896","145",2
"896","1398",1
"896","126",2
"896","125",2
"896","1544",1
"1397","116",1
"1397","1394",1
"1397","1395",4
"1397","120",3
"1397","121",2
"1397","899",1
"1397","1396",3
"1397","123",5
"1397","896",1
"1397","897",1
"1397","145",1
"1397","1398",1
"1397","126",3
"1397","125",1
"1397","1544",1
"1397","119",1
"897","1394",1
"897","1395",3
"897","120",2
"897","121",2
"897","1396",2
"897","123",1
"897","896",4
"897","1397",1
"897","145",1
"897","1398",1
"897","126",2
"897","125",1
"897","119",1
"897","1638",1
"145","1395",2
"145","120",2
"145","121",1
"145","1396",1
"145","123",1
"145","896",1
"145","1397",1
"145","126",1
"145","125",1
"145","1544",1
"145","119",1
"145","1637",1
"145","1638",1
"145","1639",1
"1398","1394",1
"1398","1395",1
"1398","120",2
"1398","121",1
"1398","1396",1
"1398","896",1
"1398","1397",1
"1398","897",1
"1398","126",1
"1398","1544",1
"1398","119",1
"1398","1638",1
"126","116",1
"126","1394",1
"126","1395",6
"126","120",3
"126","121",6
"126","1396",5
"126","123",2
"126","896",2
"126","1397",5
"126","897",1
"126","145",1
"126","1398",1
"126","125",1
"126","1544",1
"126","119",2
"126","1638",1
"126","1639",3
"125","116",1
"125","1395",2
"125","145",1
"125","120",1
"125","121",1
"125","1396",1
"125","123",1
"125","896",3
"125","1397",1
"125","126",2
"125","1398",1
"125","897",1
"125","1636",1
"125","119",2
"125","1638",4
"125","1639",1
"1544","1395",1
"1544","145",1
"1544","120",1
"1544","121",1
"1544","1396",1
"1544","1397",1
"1544","1398",1
"1544","897",1
"119","116",1
"119","1394",2
"119","1395",2
"119","120",1
"119","121",2
"119","1396",1
"119","123",1
"119","896",1
"119","897",2
"119","126",3
"119","145",1
"119","1397",1
"119","1636",1
"119","1637",1
"119","1639",1
"119","125",2
"1573","121",1
"1573","145",1
"1636","1396",1
"1636","1638",1
"1636","1639",1
"1636","125",1
"1636","121",1
"1636","896",1
"1637","1395",1
"1637","119",1
"1637","145",1
"1637","126",1
"1637","121",1
"1637","896",1
"1638","1636",2
"1638","1395",2
"1638","119",1
"1638","145",1
"1638","120",1
"1638","1637",1
"1638","1396",1
"1638","1639",3
"1638","125",4
"1638","126",1
"1638","121",1
"1638","1398",1
"1638","897",1
"1638","896",1
"1639","1636",1
"1639","1395",2
"1639","145",2
"1639","120",1
"1639","1638",3
"1639","125",1
"1639","126",2
"1639","121",2
"1639","897",1
"1639","896",1
