Source,Target,Weight
"1","2",22
"1","8",6
"1","9",5
"1","10",3
"1","12",2
"1","15",6
"1","19",2
"1","20",6
"1","21",6
"1","23",24
"1","13",7
"1","17",3
"1","26",1
"1","5",1
"1","11",2
"1","27",1
"1","3",3
"2","1",16
"2","8",20
"2","10",6
"2","12",15
"2","15",5
"2","19",7
"2","20",11
"2","21",29
"2","23",25
"2","13",11
"2","27",5
"2","3",9
"2","14",7
"2","5",4
"8","1",3
"8","2",20
"8","9",5
"8","10",24
"8","12",32
"8","15",23
"8","19",32
"8","20",15
"8","21",35
"8","23",17
"8","13",17
"8","17",9
"8","26",3
"8","5",4
"8","14",10
"8","11",12
"8","27",4
"8","3",28
"8","7",5
"9","2",1
"9","8",4
"9","10",4
"9","12",2
"9","15",2
"9","19",18
"9","20",3
"9","21",2
"9","13",2
"9","26",1
"9","14",2
"9","11",1
"9","27",1
"10","2",2
"10","8",19
"10","9",9
"10","12",19
"10","15",6
"10","19",30
"10","20",10
"10","21",14
"10","23",3
"10","13",7
"10","17",3
"10","26",3
"10","5",1
"10","14",8
"10","11",7
"10","27",5
"10","3",9
"10","7",3
"12","2",7
"12","8",25
"12","9",2
"12","10",16
"12","15",8
"12","19",39
"12","20",24
"12","21",17
"12","23",3
"12","13",48
"12","17",1
"12","26",3
"12","5",13
"12","14",1
"12","11",10
"12","3",10
"15","1",6
"15","2",3
"15","8",24
"15","9",2
"15","10",18
"15","12",5
"15","19",24
"15","20",4
"15","21",14
"15","23",12
"15","17",1
"15","26",3
"15","14",5
"15","11",2
"15","3",6
"15","7",7
"19","2",4
"19","8",24
"19","9",11
"19","10",45
"19","12",36
"19","15",26
"19","20",26
"19","21",9
"19","23",3
"19","13",36
"19","17",8
"19","26",14
"19","5",4
"19","14",5
"19","11",11
"19","27",1
"19","3",8
"20","1",7
"20","2",17
"20","8",9
"20","9",3
"20","10",10
"20","12",15
"20","15",2
"20","19",27
"20","21",8
"20","23",3
"20","13",9
"20","17",3
"20","11",1
"20","27",8
"20","3",2
"20","14",11
"20","5",3
"20","7",1
"21","1",2
"21","2",18
"21","8",42
"21","9",4
"21","10",8
"21","12",26
"21","15",24
"21","19",18
"21","20",14
"21","23",17
"21","13",36
"21","17",2
"21","26",1
"21","5",7
"21","14",17
"21","11",2
"21","27",6
"21","3",10
"21","7",4
"23","1",11
"23","2",18
"23","8",22
"23","9",4
"23","10",9
"23","12",12
"23","15",20
"23","19",12
"23","20",1
"23","21",15
"23","13",3
"23","26",2
"23","5",9
"23","14",8
"23","11",3
"23","3",6
"13","1",6
"13","2",12
"13","8",20
"13","9",5
"13","10",13
"13","12",37
"13","15",1
"13","19",45
"13","20",8
"13","21",17
"13","23",8
"13","17",2
"13","26",5
"13","5",2
"13","14",4
"13","27",1
"17","8",7
"17","10",3
"17","12",3
"17","19",8
"17","20",8
"17","13",5
"17","3",3
"26","2",1
"26","8",3
"26","10",3
"26","12",4
"26","15",2
"26","19",4
"26","21",3
"26","23",3
"26","13",4
"26","5",1
"26","14",1
"5","1",5
"5","8",7
"5","10",1
"5","13",16
"5","14",6
"5","15",1
"5","19",9
"5","21",3
"5","23",10
"5","26",1
"5","12",7
"5","2",3
"5","3",1
"5","17",2
"5","20",6
"14","1",2
"14","5",1
"14","8",12
"14","10",8
"14","13",7
"14","15",3
"14","19",10
"14","21",12
"14","23",6
"14","26",4
"14","9",2
"14","11",1
"14","12",3
"14","2",2
"14","3",7
"14","20",9
"14","27",7
"14","7",2
"11","1",1
"11","8",9
"11","10",10
"11","13",1
"11","15",5
"11","19",4
"11","21",1
"11","23",1
"11","9",2
"11","12",8
"11","3",5
"11","17",1
"27","8",6
"27","10",1
"27","15",2
"27","19",3
"27","20",11
"27","21",2
"27","3",1
"27","14",4
"27","4",1
"3","1",2
"3","2",9
"3","8",15
"3","9",2
"3","10",17
"3","13",1
"3","14",8
"3","19",6
"3","21",5
"3","23",4
"3","12",10
"3","20",1
"3","27",3
"3","5",1
"3","11",14
"3","7",8
"3","15",7
"7","3",5
"7","8",8
"7","10",4
"7","14",3
"7","15",2
"7","21",3
"7","27",2
"4","2",1
"4","27",1
