Source,Target,Weight
"30","3",23
"30","4",10
"30","9",15
"30","10",6
"30","15",9
"30","17",9
"30","20",5
"30","24",11
"30","25",1
"30","28",4
"30","11",3
"30","14",3
"30","29",3
"30","23",5
"30","13",3
"30","7",5
"30","21",14
"30","2",7
"3","30",24
"3","4",18
"3","9",1
"3","10",7
"3","15",7
"3","17",11
"3","20",28
"3","24",17
"3","25",6
"3","28",9
"3","11",3
"3","14",6
"3","29",1
"3","23",2
"3","13",1
"3","7",7
"3","21",14
"3","2",16
"4","30",12
"4","3",17
"4","9",4
"4","10",4
"4","15",8
"4","17",4
"4","20",8
"4","24",2
"4","25",19
"4","28",2
"4","11",2
"4","14",1
"4","29",6
"4","23",6
"4","13",6
"4","2",2
"4","7",4
"4","21",1
"9","3",1
"9","10",6
"9","15",4
"9","17",7
"9","20",3
"9","24",1
"9","25",4
"9","28",8
"9","14",12
"9","29",2
"9","7",5
"9","2",3
"9","13",2
"10","3",3
"10","4",2
"10","9",5
"10","15",18
"10","17",10
"10","20",10
"10","24",5
"10","25",9
"10","28",35
"10","11",3
"10","14",6
"10","29",2
"10","23",3
"10","13",1
"10","7",14
"10","21",3
"10","2",6
"15","30",3
"15","3",3
"15","4",3
"15","9",18
"15","10",38
"15","17",15
"15","20",12
"15","24",3
"15","25",10
"15","28",31
"15","11",3
"15","14",10
"15","29",11
"15","7",14
"15","21",14
"15","2",1
"15","13",4
"15","23",1
"17","30",3
"17","3",5
"17","4",7
"17","9",5
"17","10",6
"17","15",6
"17","20",7
"17","24",19
"17","25",7
"17","28",15
"17","14",2
"17","29",3
"17","23",9
"17","13",1
"17","7",6
"17","21",1
"17","2",1
"20","30",3
"20","3",20
"20","4",13
"20","9",1
"20","10",15
"20","15",12
"20","17",11
"20","24",9
"20","25",9
"20","28",27
"20","11",3
"20","14",12
"20","29",2
"20","23",2
"20","13",5
"20","7",8
"20","21",7
"20","2",10
"24","30",2
"24","3",15
"24","4",4
"24","9",7
"24","10",8
"24","15",1
"24","17",15
"24","20",7
"24","25",2
"24","28",10
"24","11",3
"24","14",5
"24","29",3
"24","23",2
"24","13",6
"24","7",6
"24","21",2
"25","30",1
"25","3",7
"25","4",5
"25","9",4
"25","10",11
"25","15",11
"25","17",9
"25","20",12
"25","24",3
"25","28",19
"25","11",2
"25","14",2
"25","29",9
"25","23",8
"25","13",2
"25","2",4
"28","3",2
"28","4",3
"28","9",15
"28","10",29
"28","15",26
"28","17",30
"28","20",15
"28","24",9
"28","25",11
"28","11",6
"28","14",8
"28","29",5
"28","23",3
"28","13",1
"28","7",10
"28","21",2
"28","2",8
"11","3",2
"11","4",1
"11","9",2
"11","10",6
"11","15",2
"11","20",3
"11","24",2
"11","25",3
"11","28",3
"11","14",4
"11","13",1
"11","7",6
"11","21",1
"11","2",3
"14","3",4
"14","9",11
"14","10",9
"14","15",7
"14","20",7
"14","24",5
"14","28",8
"14","11",9
"14","29",4
"14","23",3
"14","13",2
"14","7",10
"14","21",1
"14","2",17
"29","3",1
"29","4",3
"29","9",3
"29","10",2
"29","15",5
"29","17",1
"29","20",2
"29","24",6
"29","25",5
"29","28",12
"29","11",3
"29","14",6
"29","23",2
"29","13",6
"29","7",2
"29","21",1
"23","30",1
"23","4",4
"23","10",2
"23","17",9
"23","24",2
"23","25",5
"23","28",6
"23","29",8
"23","11",1
"23","13",4
"23","14",3
"23","7",8
"23","9",7
"23","21",1
"23","15",4
"13","30",1
"13","3",3
"13","4",4
"13","10",1
"13","20",5
"13","23",5
"13","24",2
"13","25",5
"13","28",1
"13","29",3
"13","11",1
"13","14",10
"13","2",6
"13","7",7
"13","15",5
"13","21",5
"7","3",5
"7","9",11
"7","10",8
"7","15",18
"7","17",6
"7","20",4
"7","21",6
"7","24",1
"7","28",14
"7","2",12
"7","11",7
"7","14",19
"7","13",4
"7","4",1
"7","25",1
"7","29",6
"7","23",8
"21","30",9
"21","3",11
"21","7",15
"21","9",4
"21","10",10
"21","15",9
"21","17",2
"21","20",13
"21","24",2
"21","28",5
"21","2",2
"21","11",2
"21","14",2
"21","13",4
"21","4",2
"21","23",5
"21","25",1
"2","30",6
"2","3",18
"2","7",16
"2","9",8
"2","10",4
"2","15",3
"2","17",2
"2","20",7
"2","24",1
"2","28",9
"2","11",6
"2","14",32
"2","13",8
"2","4",1
"2","25",2
"2","29",1
"2","23",2
