Source,Target,Weight
"954","955",1
"954","823",2
"954","244",1
"954","956",1
"954","957",2
"954","958",1
"954","959",1
"954","50",6
"954","963",3
"954","1042",2
"955","954",2
"955","823",3
"955","244",4
"955","956",2
"955","957",7
"955","958",3
"955","959",2
"955","960",2
"955","50",7
"955","961",7
"955","962",5
"955","963",2
"955","1042",1
"955","1043",1
"955","1044",2
"823","955",2
"823","244",3
"823","956",2
"823","957",2
"823","958",1
"823","959",2
"823","960",2
"823","50",2
"823","961",4
"823","962",3
"823","1042",1
"244","954",1
"244","955",4
"244","823",4
"244","956",3
"244","957",2
"244","958",3
"244","960",4
"244","50",1
"244","961",2
"244","962",2
"244","963",3
"244","1042",2
"244","1044",1
"956","955",2
"956","823",2
"956","244",1
"956","957",1
"956","959",1
"956","960",2
"956","50",2
"956","961",3
"956","962",1
"957","954",2
"957","955",6
"957","823",1
"957","244",6
"957","956",2
"957","958",2
"957","960",4
"957","50",6
"957","961",2
"957","962",2
"957","1042",4
"957","1044",1
"958","954",1
"958","955",1
"958","823",1
"958","244",5
"958","957",3
"958","959",2
"958","960",4
"958","50",2
"958","963",2
"959","955",3
"959","823",2
"959","244",3
"959","957",2
"959","958",1
"959","50",2
"959","961",3
"960","954",1
"960","955",3
"960","823",3
"960","244",2
"960","956",1
"960","957",3
"960","958",4
"960","959",2
"960","50",3
"50","954",3
"50","955",7
"50","823",4
"50","244",3
"50","956",2
"50","957",5
"50","958",1
"50","959",2
"50","960",3
"50","961",9
"50","962",4
"50","963",1
"50","964",1
"50","1042",2
"961","954",1
"961","955",4
"961","823",8
"961","244",2
"961","956",1
"961","957",3
"961","959",4
"961","960",2
"961","50",9
"961","962",3
"961","963",1
"961","964",2
"961","1044",2
"962","955",4
"962","244",4
"962","956",2
"962","957",2
"962","50",5
"962","961",3
"962","963",1
"962","964",1
"962","1042",2
"962","1044",1
"963","823",2
"963","244",3
"963","956",2
"963","960",1
"963","50",1
"963","962",2
"964","960",1
"964","962",1
"964","1042",1
"1042","954",2
"1042","955",3
"1042","244",3
"1042","956",2
"1042","957",2
"1042","962",4
"1042","50",4
"1042","963",2
"1042","961",2
"1043","50",1
"1044","1042",1
"1044","961",1
"1044","964",1
