Source,Target,Weight
"35","2",5
"35","4",21
"35","7",7
"35","14",1
"35","18",2
"35","23",5
"35","24",15
"35","25",5
"35","66",7
"35","88",2
"35","15",1
"35","42",3
"35","6",2
"35","3",1
"35","10",6
"2","35",5
"2","4",10
"2","7",29
"2","14",3
"2","18",21
"2","23",9
"2","24",29
"2","25",25
"2","66",24
"2","88",4
"2","15",9
"2","42",1
"2","19",4
"2","3",3
"2","10",5
"4","35",12
"4","2",17
"4","7",4
"4","14",3
"4","18",7
"4","23",11
"4","24",31
"4","25",17
"4","66",26
"4","88",8
"4","15",2
"4","42",20
"4","6",6
"4","19",2
"4","3",3
"4","10",14
"7","35",1
"7","2",23
"7","4",5
"7","14",1
"7","18",4
"7","23",10
"7","24",3
"7","25",15
"7","66",20
"7","88",1
"7","6",2
"7","10",1
"14","35",2
"14","4",1
"14","7",1
"14","18",2
"14","23",2
"14","24",2
"14","25",2
"14","66",3
"14","3",1
"14","10",2
"18","35",3
"18","2",15
"18","4",2
"18","7",4
"18","14",3
"18","23",8
"18","24",10
"18","25",13
"18","66",9
"18","88",16
"18","15",3
"18","42",3
"18","6",2
"18","3",3
"18","10",3
"23","35",1
"23","2",14
"23","4",6
"23","7",7
"23","14",3
"23","18",9
"23","24",4
"23","25",24
"23","66",19
"23","88",8
"23","8",4
"23","15",2
"23","42",20
"23","6",8
"23","3",1
"23","10",1
"24","35",16
"24","2",32
"24","4",29
"24","7",9
"24","14",6
"24","18",10
"24","23",10
"24","25",16
"24","66",45
"24","88",1
"24","8",2
"24","15",2
"24","42",11
"24","6",2
"24","19",5
"24","3",5
"24","10",5
"25","2",15
"25","4",12
"25","7",21
"25","14",3
"25","18",26
"25","23",29
"25","24",12
"25","66",48
"25","88",18
"25","15",4
"25","42",15
"25","6",4
"25","19",3
"25","3",7
"25","10",16
"66","2",24
"66","4",23
"66","7",16
"66","14",3
"66","18",29
"66","23",20
"66","24",36
"66","25",48
"66","88",13
"66","8",6
"66","15",5
"66","42",18
"66","6",7
"66","19",6
"66","3",8
"66","10",19
"88","2",3
"88","4",1
"88","7",1
"88","18",11
"88","23",8
"88","24",4
"88","25",16
"88","66",5
"88","15",1
"88","42",2
"88","10",9
"8","18",1
"8","23",1
"8","66",2
"8","88",2
"8","15",2
"15","2",5
"15","18",1
"15","23",5
"15","24",3
"15","25",2
"15","66",5
"15","88",3
"15","42",1
"15","3",1
"15","10",1
"42","35",5
"42","2",3
"42","4",12
"42","18",9
"42","23",18
"42","24",7
"42","25",19
"42","66",16
"42","88",2
"42","8",1
"42","6",7
"42","19",2
"42","3",1
"42","10",8
"6","35",4
"6","4",5
"6","18",2
"6","23",6
"6","24",1
"6","25",7
"6","42",15
"6","66",8
"19","2",3
"19","18",3
"19","24",4
"19","25",7
"19","42",2
"19","66",1
"19","88",1
"19","10",1
"3","35",1
"3","2",6
"3","4",8
"3","10",6
"3","18",2
"3","24",4
"3","25",5
"3","66",9
"3","88",4
"3","23",2
"3","14",1
"3","7",1
"10","2",3
"10","3",5
"10","4",5
"10","18",8
"10","24",4
"10","25",17
"10","42",7
"10","66",24
"10","88",5
"10","15",1
"10","19",1
"10","7",2
"10","14",1
