Source,Target,Weight
"972","1034",1
"972","976",3
"972","978",1
"972","979",2
"972","1352",4
"972","981",4
"972","982",1
"972","984",1
"972","1353",1
"972","1035",2
"972","974",1
"972","975",1
"972","1463",1
"972","1588",1
"972","1487",1
"972","1486",1
"972","1614",1
"1034","976",1
"1034","978",1
"1034","979",1
"1034","981",3
"1034","982",2
"1034","984",1
"1034","1353",1
"1034","974",1
"1034","975",1
"1034","1486",1
"1034","1487",1
"976","972",1
"976","1034",2
"976","977",1
"976","978",5
"976","979",5
"976","1352",4
"976","981",9
"976","982",7
"976","984",2
"976","1353",1
"976","1035",9
"976","974",2
"976","975",4
"976","1463",2
"976","1464",1
"976","1486",2
"976","1487",1
"976","1588",3
"976","1614",1
"976","1615",2
"976","1644",1
"977","1034",1
"977","976",1
"977","978",1
"977","979",1
"977","981",1
"977","984",1
"977","1353",1
"978","972",1
"978","1034",1
"978","976",3
"978","977",1
"978","979",4
"978","1352",1
"978","981",1
"978","982",2
"978","984",5
"978","1353",1
"978","1035",5
"978","974",2
"978","975",3
"978","1463",1
"978","1464",1
"978","1485",1
"978","1486",2
"978","1588",1
"978","1644",1
"979","972",3
"979","1034",1
"979","976",5
"979","977",1
"979","978",7
"979","1352",5
"979","981",3
"979","982",4
"979","984",2
"979","1353",1
"979","1035",6
"979","974",1
"979","975",1
"979","1463",1
"979","1464",1
"979","1485",1
"979","1486",1
"979","1487",1
"979","1588",1
"979","1614",1
"979","1644",1
"1352","972",4
"1352","1034",2
"1352","976",4
"1352","977",1
"1352","978",1
"1352","979",8
"1352","981",7
"1352","982",2
"1352","984",1
"1352","1353",1
"1352","1035",4
"1352","1354",1
"1352","974",1
"1352","975",1
"1352","1463",1
"1352","1464",1
"1352","1588",2
"1352","1614",1
"1352","1615",2
"1352","1644",1
"981","972",2
"981","1034",3
"981","976",7
"981","977",1
"981","978",1
"981","979",2
"981","1352",6
"981","982",6
"981","984",3
"981","1353",1
"981","1035",6
"981","1354",1
"981","974",1
"981","975",5
"981","1463",2
"981","1464",1
"981","1486",1
"981","1487",1
"981","1588",7
"981","1615",1
"981","1644",1
"982","972",1
"982","1034",1
"982","976",5
"982","977",1
"982","978",3
"982","979",2
"982","1352",2
"982","981",6
"982","984",3
"982","1353",1
"982","1035",3
"982","974",2
"982","975",4
"982","1463",1
"982","1464",1
"982","1486",1
"982","1487",1
"982","1588",2
"982","1614",1
"982","1615",1
"984","1034",1
"984","976",2
"984","978",3
"984","979",2
"984","981",2
"984","982",2
"984","1353",1
"984","1035",3
"984","974",1
"984","975",1
"984","1463",1
"984","1486",1
"984","1487",1
"984","1588",1
"1353","1034",1
"1353","976",1
"1353","979",1
"1353","1352",1
"1353","981",1
"1353","982",1
"1353","984",1
"1035","972",1
"1035","1034",1
"1035","976",7
"1035","978",5
"1035","979",4
"1035","1352",4
"1035","981",9
"1035","982",5
"1035","984",3
"1035","1353",1
"1035","974",2
"1035","975",2
"1035","1463",1
"1035","1464",1
"1035","1486",1
"1035","1487",1
"1035","1588",4
"1035","1614",1
"1035","1644",1
"1354","1034",1
"1354","976",1
"1354","1353",1
"974","1034",1
"974","1035",1
"974","976",1
"974","978",1
"974","981",1
"974","982",3
"974","984",1
"974","975",2
"974","1463",1
"974","1588",1
"975","1035",3
"975","974",1
"975","976",3
"975","978",2
"975","979",2
"975","1352",1
"975","981",4
"975","982",3
"975","984",1
"975","1463",1
"975","1464",1
"975","1486",1
"975","1588",2
"975","1614",1
"975","1615",1
"1463","972",1
"1463","1035",1
"1463","976",2
"1463","978",1
"1463","1352",1
"1463","981",1
"1463","982",1
"1463","984",1
"1463","975",1
"1463","1464",1
"1463","1486",1
"1463","1644",1
"1464","1035",1
"1464","976",1
"1464","978",1
"1464","1352",1
"1464","981",1
"1464","982",1
"1464","975",1
"1464","1588",1
"1464","1614",1
"1464","1615",1
"1485","1487",1
"1485","976",1
"1485","978",1
"1485","979",1
"1485","981",1
"1485","975",1
"1486","1485",1
"1486","1034",1
"1486","974",1
"1486","1487",1
"1486","976",3
"1486","978",1
"1486","979",1
"1486","981",2
"1486","982",1
"1486","984",1
"1486","1035",1
"1486","975",1
"1486","1588",1
"1486","1463",1
"1486","1352",1
"1486","1644",1
"1487","1485",1
"1487","1034",1
"1487","974",1
"1487","1486",1
"1487","976",1
"1487","978",1
"1487","979",1
"1487","981",1
"1487","982",1
"1487","1035",1
"1487","972",1
"1487","1588",1
"1588","972",1
"1588","1035",3
"1588","974",1
"1588","1487",1
"1588","975",1
"1588","976",2
"1588","979",1
"1588","981",5
"1588","982",3
"1588","984",1
"1588","1352",1
"1588","1464",1
"1588","1615",1
"1614","972",1
"1614","1588",1
"1614","1035",1
"1614","974",1
"1614","975",3
"1614","976",1
"1614","979",1
"1614","1352",1
"1614","982",1
"1614","1486",1
"1614","1615",1
"1614","1464",1
"1615","972",1
"1615","1614",2
"1615","976",1
"1615","1352",2
"1615","981",1
"1615","982",1
"1615","1486",1
"1644","975",1
"1644","976",1
"1644","978",1
"1644","979",1
"1644","982",1
"1644","1463",1
"1644","1486",1
