Source,Target,Weight
"900","901",9
"900","902",5
"900","903",2
"900","904",3
"900","905",1
"900","906",1
"900","907",3
"900","908",2
"900","909",3
"900","910",2
"901","900",3
"901","902",11
"901","903",3
"901","904",14
"901","906",4
"901","907",14
"901","908",3
"901","909",2
"901","910",2
"901","912",2
"901","913",2
"902","900",5
"902","901",8
"902","903",5
"902","904",14
"902","905",2
"902","906",6
"902","907",4
"902","908",3
"902","909",8
"902","910",2
"902","911",1
"902","912",3
"902","1052",1
"903","901",2
"903","902",1
"903","904",4
"903","905",4
"903","906",3
"903","907",4
"903","908",6
"903","909",2
"903","910",4
"904","900",6
"904","901",13
"904","902",11
"904","903",5
"904","905",5
"904","906",4
"904","907",12
"904","908",7
"904","909",9
"904","910",5
"904","912",3
"904","1052",1
"905","900",1
"905","901",1
"905","903",4
"905","904",1
"905","906",3
"905","908",2
"905","910",2
"906","900",1
"906","901",3
"906","902",5
"906","903",3
"906","904",7
"906","905",1
"906","907",4
"906","908",1
"906","909",6
"906","910",6
"906","912",1
"906","913",2
"907","900",4
"907","901",8
"907","902",3
"907","903",7
"907","904",16
"907","905",2
"907","906",4
"907","908",12
"907","910",4
"907","911",2
"907","912",1
"907","913",2
"907","1052",1
"908","902",2
"908","903",2
"908","904",9
"908","905",4
"908","906",2
"908","907",6
"908","910",2
"908","912",1
"909","900",4
"909","901",3
"909","902",8
"909","903",3
"909","904",9
"909","905",2
"909","906",6
"909","907",2
"909","908",2
"909","910",3
"909","912",3
"909","913",1
"910","902",2
"910","903",4
"910","904",4
"910","905",2
"910","906",5
"910","907",3
"910","908",2
"910","909",3
"911","907",1
"912","902",2
"912","903",2
"912","904",2
"912","909",2
"912","1052",1
"913","901",1
"913","906",1
"913","907",2
"913","909",1
"1052","905",2
"1052","906",1
