Source,Target,Weight
"27","3",2
"27","4",5
"27","14",1
"27","24",1
"27","29",1
"27","31",1
"27","44",2
"27","5",1
"27","10",1
"3","6",3
"3","7",3
"3","14",4
"3","17",2
"3","24",3
"3","29",5
"3","31",3
"3","44",1
"3","10",3
"4","6",4
"4","7",1
"4","14",1
"4","17",2
"4","24",1
"4","29",5
"4","31",3
"4","44",9
"4","10",1
"6","3",6
"6","4",2
"6","7",2
"6","14",2
"6","17",2
"6","24",6
"6","29",9
"6","31",3
"6","44",6
"6","5",4
"6","9",3
"6","10",3
"7","3",1
"7","6",2
"7","17",1
"7","24",1
"7","29",3
"7","31",3
"7","44",1
"7","10",1
"14","3",5
"14","4",1
"14","6",1
"14","7",1
"14","24",4
"14","29",2
"14","31",1
"14","10",2
"17","27",1
"17","3",1
"17","7",1
"17","24",4
"17","29",3
"24","27",1
"24","3",3
"24","4",4
"24","6",7
"24","7",2
"24","14",2
"24","17",2
"24","29",10
"24","44",1
"24","5",3
"24","9",1
"24","10",4
"29","3",9
"29","4",4
"29","6",12
"29","7",8
"29","14",3
"29","17",1
"29","24",6
"29","31",4
"29","44",5
"29","5",1
"29","10",5
"31","3",9
"31","6",5
"31","7",3
"31","14",4
"31","17",1
"31","29",2
"31","44",6
"31","9",2
"31","10",3
"44","27",1
"44","4",5
"44","6",5
"44","29",8
"44","31",6
"44","5",4
"44","10",1
"5","27",1
"5","6",4
"5","7",1
"5","24",3
"5","29",3
"5","44",4
"9","6",2
"9","10",3
"10","6",2
"10","7",1
"10","14",2
"10","24",3
"10","29",4
"10","31",4
"10","5",2
