Source,Target,Weight
"70","1095",2
"70","1096",1
"70","1097",1
"70","75",2
"70","113",1
"70","76",1
"70","1098",3
"70","80",2
"70","1099",2
"70","397",1
"70","110",1
"70","396",2
"70","1239",1
"70","1266",1
"70","1217",1
"1095","70",1
"1095","253",1
"1095","1096",2
"1095","1097",4
"1095","75",3
"1095","76",6
"1095","1098",5
"1095","80",2
"1095","1099",4
"1095","397",5
"1095","1100",1
"1095","1101",4
"1095","396",2
"1095","1217",2
"1095","110",2
"1095","1239",1
"1095","790",1
"253","70",1
"253","1095",1
"253","1096",1
"253","75",1
"253","113",1
"253","76",1
"253","1098",1
"253","80",1
"253","1099",2
"253","397",2
"253","1101",1
"253","110",1
"253","1239",1
"1096","70",2
"1096","1095",2
"1096","253",2
"1096","1097",1
"1096","75",2
"1096","113",1
"1096","76",3
"1096","1098",2
"1096","80",2
"1096","1099",1
"1096","397",1
"1096","1100",1
"1096","1101",1
"1096","1216",1
"1096","396",1
"1096","1217",1
"1096","110",1
"1096","1239",2
"1097","1095",1
"1097","253",1
"1097","1096",1
"1097","75",1
"1097","113",1
"1097","76",3
"1097","80",1
"1097","1099",2
"1097","397",1
"1097","1101",1
"1097","396",2
"1097","1217",1
"75","70",2
"75","1095",3
"75","253",1
"75","1096",3
"75","1097",1
"75","113",1
"75","76",3
"75","1098",4
"75","80",6
"75","1099",2
"75","397",2
"75","1101",1
"75","1216",2
"75","396",4
"75","1217",2
"75","110",2
"75","1239",2
"75","1266",1
"113","70",1
"113","1095",1
"113","253",1
"113","1096",1
"113","1097",2
"113","75",1
"113","76",1
"113","1098",1
"113","80",2
"113","1099",2
"113","397",1
"113","1101",1
"113","1216",1
"113","1217",1
"113","1239",1
"113","790",1
"76","70",1
"76","1095",6
"76","253",1
"76","1096",3
"76","1097",4
"76","75",2
"76","113",2
"76","1098",3
"76","80",4
"76","1099",3
"76","397",5
"76","1100",1
"76","1101",2
"76","396",2
"76","1217",3
"76","110",2
"76","1239",2
"1098","70",4
"1098","1095",5
"1098","253",1
"1098","1096",2
"1098","75",2
"1098","113",1
"1098","76",3
"1098","80",3
"1098","1099",2
"1098","397",2
"1098","1100",1
"1098","1101",1
"1098","1216",1
"1098","396",2
"1098","1217",2
"1098","110",1
"1098","1239",2
"1098","790",1
"1098","1266",1
"80","70",1
"80","1095",2
"80","253",2
"80","1096",1
"80","1097",1
"80","75",4
"80","113",4
"80","76",5
"80","1098",3
"80","1099",3
"80","397",2
"80","1101",1
"80","1216",1
"80","396",2
"80","1217",3
"80","1239",2
"80","1266",1
"1099","1095",2
"1099","253",2
"1099","1096",2
"1099","1097",2
"1099","75",1
"1099","113",2
"1099","76",2
"1099","1098",1
"1099","80",2
"1099","397",4
"1099","1101",1
"1099","396",1
"1099","1217",1
"1099","1239",1
"1099","790",1
"1099","1266",1
"397","70",1
"397","1095",3
"397","253",1
"397","1096",2
"397","1097",2
"397","75",2
"397","113",2
"397","76",2
"397","1098",2
"397","80",2
"397","1099",4
"397","1101",2
"397","1216",1
"397","396",1
"397","1217",1
"397","110",1
"397","1239",3
"1100","76",1
"1100","1098",1
"1100","1101",1
"1100","396",1
"1101","1095",3
"1101","1097",1
"1101","75",1
"1101","113",1
"1101","76",2
"1101","1098",1
"1101","80",1
"1101","1099",1
"1101","397",1
"1101","1100",1
"1101","396",1
"1101","1217",1
"1101","1239",1
"1101","790",1
"1216","1095",1
"1216","1097",1
"1216","397",1
"1216","396",3
"1216","75",1
"1216","113",1
"1216","76",1
"1216","80",1
"1216","1217",1
"1216","1099",1
"1216","1098",1
"1216","1100",1
"1216","110",1
"396","1216",1
"396","1095",6
"396","1097",2
"396","397",1
"396","75",3
"396","76",2
"396","80",2
"396","1217",2
"396","1099",1
"396","1101",1
"396","1098",1
"396","1096",1
"396","110",1
"396","1239",1
"396","70",2
"1217","1095",1
"1217","1097",1
"1217","397",2
"1217","396",2
"1217","75",1
"1217","113",1
"1217","76",4
"1217","80",2
"1217","1099",1
"1217","1101",1
"1217","1098",2
"1217","1096",2
"1217","1100",1
"110","1216",1
"110","1095",3
"110","253",2
"110","1096",1
"110","397",1
"110","75",1
"110","76",1
"110","1098",1
"110","1099",1
"110","396",1
"110","1217",1
"110","70",1
"1239","1095",1
"1239","253",1
"1239","1096",2
"1239","397",2
"1239","75",2
"1239","76",2
"1239","1098",2
"1239","1099",4
"1239","396",1
"1239","1101",1
"1239","113",2
"1239","80",2
"1239","790",1
"1239","1266",1
"790","1095",1
"790","113",1
"790","1098",1
"790","1239",1
"790","1099",1
"790","1101",1
"1266","70",1
"1266","1095",1
"1266","397",1
"1266","76",1
"1266","1098",1
"1266","80",1
"1266","1239",1
"1266","1099",1
