Source,Target,Weight
"1643","426",2
"1643","674",6
"1643","429",1
"1643","518",1
"1643","1235",1
"1643","430",2
"1643","1666",1
"1643","438",1
"1643","37",1
"1643","427",2
"1643","798",1
"1643","263",1
"1643","1264",1
"1643","433",1
"1643","1944",1
"1643","1945",1
"1643","1281",1
"1643","15",1
"426","1643",2
"426","674",4
"426","429",1
"426","518",4
"426","436",1
"426","1235",1
"426","430",1
"426","1666",4
"426","438",2
"426","37",1
"426","427",1
"426","798",2
"426","263",1
"426","1264",2
"426","433",1
"426","1944",1
"426","1281",1
"426","15",2
"426","1996",1
"426","270",1
"674","1643",2
"674","426",3
"674","429",3
"674","518",11
"674","436",1
"674","1235",1
"674","430",11
"674","1666",1
"674","438",5
"674","37",2
"674","427",4
"674","798",1
"674","263",1
"674","1264",3
"674","1944",1
"674","1281",1
"674","15",1
"674","1945",1
"674","270",1
"429","426",1
"429","674",1
"429","518",4
"429","436",3
"429","1235",2
"429","430",3
"429","1666",1
"429","438",3
"429","37",4
"429","427",1
"429","798",1
"429","263",3
"429","1264",3
"429","433",1
"429","1944",1
"429","1281",2
"429","15",2
"429","270",2
"518","1643",1
"518","426",3
"518","674",7
"518","429",6
"518","436",4
"518","1235",5
"518","430",7
"518","1666",5
"518","438",12
"518","37",8
"518","427",3
"518","798",1
"518","263",4
"518","1264",9
"518","433",1
"518","1944",3
"518","1945",1
"518","1281",3
"518","15",3
"518","270",3
"436","426",1
"436","674",1
"436","429",3
"436","518",2
"436","1235",1
"436","430",2
"436","1666",1
"436","438",1
"436","37",2
"436","427",1
"436","798",1
"436","263",2
"436","1264",1
"436","433",1
"436","1944",1
"436","15",1
"436","270",1
"436","1281",1
"1235","426",1
"1235","674",1
"1235","429",3
"1235","518",2
"1235","436",2
"1235","430",3
"1235","1666",2
"1235","438",3
"1235","37",1
"1235","427",1
"1235","798",1
"1235","263",1
"1235","1264",1
"1235","15",1
"1235","270",1
"1235","1944",1
"1235","1281",1
"430","1643",1
"430","426",1
"430","674",5
"430","429",5
"430","518",7
"430","436",3
"430","1235",4
"430","1666",1
"430","438",2
"430","37",5
"430","427",2
"430","263",1
"430","1264",3
"430","1944",1
"430","1281",3
"430","15",1
"430","1945",1
"430","270",1
"1666","1643",1
"1666","426",3
"1666","674",1
"1666","429",2
"1666","518",4
"1666","436",1
"1666","1235",3
"1666","430",1
"1666","438",7
"1666","37",3
"1666","427",4
"1666","798",1
"1666","263",2
"1666","1264",2
"1666","1944",2
"1666","1996",1
"1666","270",2
"1666","1281",1
"438","1643",1
"438","426",2
"438","674",5
"438","429",3
"438","518",10
"438","436",2
"438","1235",5
"438","430",2
"438","1666",9
"438","37",5
"438","427",5
"438","798",1
"438","263",3
"438","1264",4
"438","433",1
"438","1944",2
"438","1945",1
"438","1281",1
"438","15",4
"438","270",2
"37","426",1
"37","674",2
"37","429",5
"37","518",7
"37","436",3
"37","1235",2
"37","430",4
"37","1666",3
"37","438",4
"37","427",1
"37","798",1
"37","263",2
"37","1264",3
"37","433",1
"37","1944",1
"37","1945",1
"37","1281",1
"37","15",3
"37","270",2
"427","1643",2
"427","426",1
"427","674",4
"427","429",1
"427","518",4
"427","436",1
"427","1235",1
"427","430",1
"427","1666",4
"427","438",7
"427","37",2
