Source,Target,Weight
"867","868",1
"867","869",2
"867","870",5
"867","871",2
"867","872",2
"867","873",1
"867","874",2
"867","875",1
"867","876",2
"867","878",1
"867","879",1
"867","880",1
"867","1053",2
"867","1056",1
"867","1057",1
"867","1077",3
"867","1078",1
"867","1079",2
"867","1080",1
"867","1257",1
"868","867",2
"868","869",2
"868","870",2
"868","871",2
"868","872",2
"868","873",1
"868","874",4
"868","875",3
"868","876",2
"868","877",1
"868","878",1
"868","1077",1
"868","1053",2
"868","1079",1
"868","1080",1
"869","867",1
"869","868",3
"869","870",4
"869","871",2
"869","872",1
"869","873",1
"869","874",2
"869","875",3
"869","876",2
"869","877",2
"869","878",3
"869","879",1
"869","880",1
"869","1053",4
"869","1054",1
"869","1055",1
"869","1057",1
"869","1077",2
"869","1078",1
"869","1079",2
"869","1080",1
"870","867",4
"870","868",2
"870","869",3
"870","871",3
"870","872",2
"870","874",1
"870","875",2
"870","876",1
"870","877",2
"870","878",3
"870","880",1
"870","1053",2
"870","1054",1
"870","1055",1
"870","1056",1
"870","1057",1
"870","1077",2
"870","1078",1
"870","1079",5
"870","1080",2
"870","1257",2
"870","1258",1
"871","867",1
"871","868",1
"871","869",2
"871","870",2
"871","872",3
"871","873",1
"871","874",4
"871","875",2
"871","876",1
"871","877",2
"871","878",3
"871","1053",3
"871","1054",1
"871","1055",1
"871","1056",1
"871","1057",1
"871","1077",1
"871","1079",3
"871","1080",1
"871","1258",1
"872","868",2
"872","869",1
"872","870",1
"872","871",2
"872","873",1
"872","874",3
"872","875",3
"872","876",1
"872","877",1
"872","878",1
"872","880",1
"872","1053",3
"872","1055",1
"872","1056",1
"872","1077",1
"872","1078",1
"872","1079",1
"872","1258",1
"873","868",1
"873","869",1
"873","870",1
"873","871",1
"873","872",2
"873","874",1
"873","875",1
"873","876",1
"873","877",1
"873","878",1
"873","879",1
"873","880",1
"874","867",1
"874","868",3
"874","869",1
"874","870",1
"874","871",3
"874","872",2
"874","873",1
"874","875",2
"874","876",1
"874","877",1
"874","878",2
"874","880",1
"874","1053",2
"874","1055",1
"874","1056",1
"874","1057",2
"874","1077",1
"874","1078",1
"874","1079",2
"874","1080",1
"874","1258",1
"875","867",1
"875","868",2
"875","869",3
"875","870",2
"875","871",2
"875","872",2
"875","873",1
"875","874",2
"875","876",1
"875","877",2
"875","878",2
"875","880",1
"875","1053",4
"875","1054",1
"875","1055",1
"875","1056",1
"875","1057",1
"875","1077",1
"875","1079",2
"875","1080",1
"876","867",1
"876","868",2
"876","869",1
"876","870",1
"876","871",2
"876","872",2
"876","873",1
"876","874",1
"876","878",1
"876","880",2
"876","1056",2
"876","1053",2
